Local Time,CO,NO,NO2,NOX,O3,PM25,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM10,SO2,NH3
2025-02-19 02:00:00+05:30,1.52,27.4,42.3,0.0448,2.7,70.0,92.5,14.0,54.0,0.8,,,
2025-02-19 03:00:00+05:30,1.77,96.1,35.7,0.0971,3.55,77.0,92.0,13.9,44.8,0.9,,,
2025-02-19 04:00:00+05:30,1.83,101.0,40.0,0.104,3.93,88.0,91.8,14.0,46.5,1.0,,,
2025-02-19 05:00:00+05:30,1.55,99.3,37.2,0.101,3.78,97.0,91.0,13.6,58.8,1.13,,,
2025-02-19 06:00:00+05:30,1.44,133.0,45.6,0.132,2.83,110.0,91.0,13.5,60.5,0.825,,,
2025-02-19 07:00:00+05:30,1.29,96.0,30.3,0.0942,3.0,84.0,91.0,13.4,71.5,0.725,,,
2025-02-19 08:00:00+05:30,1.2,44.1,43.4,0.0589,4.6,63.0,91.0,13.9,88.0,0.95,,,
2025-02-19 09:00:00+05:30,1.11,12.8,55.5,0.0399,31.6,66.0,77.0,18.0,63.8,1.95,,,
2025-02-19 10:00:00+05:30,1.04,8.68,51.1,0.0342,57.8,69.0,55.3,20.8,62.0,2.4,,,
2025-02-19 11:00:00+05:30,0.843,9.3,42.3,0.0301,86.1,78.0,44.0,23.1,84.0,2.4,,,
2025-02-19 12:00:00+05:30,0.828,5.4,31.4,0.0211,114.0,58.0,41.3,24.1,91.0,2.28,,,
2025-02-19 13:00:00+05:30,0.8,5.38,28.0,0.0193,138.0,53.0,38.5,24.8,88.3,2.25,,,
2025-02-19 14:00:00+05:30,0.7,4.33,25.6,0.0171,136.0,51.0,37.3,25.4,90.0,2.35,,,
2025-02-19 15:00:00+05:30,0.588,3.7,16.3,0.0117,133.0,44.0,33.5,26.5,88.3,2.33,,,
2025-02-19 16:00:00+05:30,0.59,4.45,17.8,0.0131,125.0,28.0,33.3,26.0,68.8,2.35,,,
2025-02-19 17:00:00+05:30,0.633,5.25,19.9,0.0149,119.0,25.0,38.8,24.2,75.3,1.65,,,
2025-02-19 18:00:00+05:30,0.76,4.35,32.9,0.0211,77.8,27.0,49.0,22.2,79.5,0.825,,,
2025-02-19 19:00:00+05:30,0.788,5.18,33.4,0.022,45.0,34.0,65.3,19.0,67.8,0.85,,,
2025-02-19 20:00:00+05:30,1.15,8.08,69.7,0.0437,10.4,30.0,71.5,18.1,54.0,0.825,,,
2025-02-19 21:00:00+05:30,1.71,17.5,85.5,0.0597,3.7,38.0,74.3,17.8,97.0,0.775,,,
2025-02-19 22:00:00+05:30,1.86,23.9,92.5,0.0685,14.9,57.0,63.8,19.3,95.0,1.43,,,
2025-02-19 23:00:00+05:30,1.43,5.85,77.8,0.0461,16.8,83.0,66.5,19.0,134.0,1.18,,,
2025-02-20 00:00:00+05:30,1.41,6.2,78.2,0.0466,9.83,61.0,69.3,18.6,123.0,1.2,,,
2025-02-20 01:00:00+05:30,1.46,38.5,61.5,0.064,3.35,58.0,84.5,16.6,113.0,1.05,,,
2025-02-20 02:00:00+05:30,1.42,37.2,73.9,0.0695,5.5,63.0,85.3,17.3,135.0,1.63,,,
2025-02-20 03:00:00+05:30,1.16,22.9,51.6,0.046,4.83,55.0,93.0,17.4,113.0,1.75,,,
2025-02-20 04:00:00+05:30,1.16,40.1,57.0,0.0629,4.1,50.0,93.0,17.5,166.0,1.15,,,
2025-02-20 05:00:00+05:30,0.85,5.58,35.2,0.0232,13.6,38.0,92.8,17.4,139.0,1.5,,,
2025-02-20 06:00:00+05:30,0.86,5.43,42.2,0.0268,15.6,29.0,92.0,17.4,150.0,1.13,,,
2025-02-20 07:00:00+05:30,0.943,6.8,49.2,0.0317,10.6,39.0,91.8,16.9,167.0,0.9,,,
