Local Time,NO,NO2,NOX,PM25,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM10,SO2,CO,O3,NH3
2025-02-19 02:00:00+05:30,25.9,5.65,0.0241,66.0,74.0,14.0,289.0,0.3,,,,,
2025-02-19 03:00:00+05:30,25.8,2.1,0.0218,61.0,76.0,13.6,289.0,0.3,,,,,
2025-02-19 04:00:00+05:30,28.2,5.78,0.026,72.0,78.8,13.0,289.0,0.3,,,,,
2025-02-19 05:00:00+05:30,29.3,4.08,0.026,147.0,79.8,13.0,289.0,0.3,,,,,
2025-02-19 06:00:00+05:30,28.8,5.9,0.0266,172.0,80.3,12.9,289.0,0.3,,,,,
2025-02-19 07:00:00+05:30,27.2,5.35,0.025,160.0,80.0,12.8,289.0,0.3,,,,,
2025-02-19 08:00:00+05:30,27.7,5.2,0.0253,133.0,78.8,13.3,289.0,0.3,,,,,
2025-02-19 09:00:00+05:30,29.4,5.58,0.0269,129.0,68.0,15.3,289.0,0.35,,,,,
2025-02-19 10:00:00+05:30,30.3,5.2,0.0274,119.0,53.3,18.4,290.0,0.75,,,,,
2025-02-19 11:00:00+05:30,28.4,6.63,0.0266,99.0,48.5,20.1,290.0,0.875,,,,,
2025-02-19 12:00:00+05:30,23.1,8.73,0.0234,86.0,43.5,21.8,290.0,1.4,,,,,
2025-02-19 13:00:00+05:30,18.2,11.0,0.0205,64.0,40.3,22.5,290.0,1.53,,,,,
2025-02-19 14:00:00+05:30,16.8,9.95,0.019,45.0,38.5,22.5,290.0,1.35,,,,,
2025-02-19 15:00:00+05:30,15.6,9.05,0.0174,35.0,38.8,23.1,290.0,1.4,,,,,
2025-02-19 16:00:00+05:30,14.9,8.08,0.0163,45.0,42.5,21.7,290.0,1.13,,,,,
2025-02-19 17:00:00+05:30,14.7,9.68,0.0171,61.0,44.8,20.6,290.0,0.5,,,,,
2025-02-19 18:00:00+05:30,18.4,8.28,0.0194,58.0,48.0,19.4,289.0,0.3,,,,,
2025-02-19 19:00:00+05:30,19.7,7.73,0.0201,53.0,51.0,18.2,289.0,0.3,,,,,
2025-02-19 20:00:00+05:30,20.5,9.05,0.0213,68.0,51.8,18.3,289.0,0.45,,,,,
2025-02-19 21:00:00+05:30,22.1,9.15,0.0228,103.0,53.3,18.0,289.0,0.425,,,,,
2025-02-19 22:00:00+05:30,30.9,6.63,0.0287,173.0,54.8,17.7,289.0,1.15,,,,,
2025-02-19 23:00:00+05:30,29.8,7.63,0.0282,123.0,58.0,16.9,290.0,0.3,,,,,
