Local Time,NO,NOX,O3,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,PM10,NO2,CO,NH3
2025-02-19 02:00:00+05:30,62.6,0.0851,,75.5,12.3,15.0,71.0,0.3,,,,,
2025-02-19 03:00:00+05:30,37.6,0.061,9.23,77.0,9.5,14.8,71.0,0.375,,,,,
2025-02-19 04:00:00+05:30,35.4,0.0626,9.78,77.8,9.55,14.5,71.0,0.375,,,,,
2025-02-19 05:00:00+05:30,24.4,0.0538,10.3,77.8,8.23,14.5,71.0,0.35,,,,,
2025-02-19 06:00:00+05:30,32.2,0.0582,9.65,78.3,7.93,14.4,71.8,2.03,,,,,
2025-02-19 07:00:00+05:30,21.5,0.0499,10.9,77.3,7.35,14.4,67.8,2.88,,,,,
2025-02-19 08:00:00+05:30,18.2,0.0481,13.3,74.0,8.13,15.1,83.5,0.55,,,,,
2025-02-19 09:00:00+05:30,21.8,0.0471,15.3,70.5,9.0,16.0,130.0,1.2,,,,,
2025-02-19 10:00:00+05:30,16.5,0.0413,26.0,60.3,10.8,18.9,130.0,1.35,,,,,
2025-02-19 11:00:00+05:30,6.65,0.0315,49.0,51.0,12.2,21.4,122.0,1.4,,,,,
2025-02-19 12:00:00+05:30,3.55,0.0237,80.8,44.3,11.6,22.7,87.8,1.93,,,,,
2025-02-19 13:00:00+05:30,1.95,0.0208,95.8,42.8,11.4,23.0,92.3,2.6,,,,,
2025-02-19 14:00:00+05:30,1.53,0.0197,104.0,40.8,11.7,24.4,106.0,1.73,,,,,
2025-02-19 15:00:00+05:30,2.58,0.0204,100.0,40.5,10.6,24.0,115.0,1.73,,,,,
2025-02-19 16:00:00+05:30,3.6,0.021,92.0,41.5,9.1,23.4,90.0,2.08,,,,,
2025-02-19 17:00:00+05:30,2.08,0.023,80.7,45.3,8.05,21.8,87.0,1.38,,,,,
2025-02-19 18:00:00+05:30,3.63,0.028,67.8,46.5,7.88,20.8,77.3,0.7,,,,,
2025-02-19 19:00:00+05:30,6.65,0.051,31.9,54.5,9.95,19.2,66.0,0.3,,,,,
2025-02-19 20:00:00+05:30,4.3,0.0399,35.9,57.8,10.5,18.6,66.0,0.3,,,,,
2025-02-19 21:00:00+05:30,4.88,0.0369,33.7,57.8,8.58,18.5,71.8,0.4,,,,,
2025-02-19 22:00:00+05:30,4.58,0.0336,44.4,56.8,9.05,19.1,57.3,1.05,,,,,
2025-02-19 23:00:00+05:30,4.78,0.0335,38.3,61.8,7.43,18.5,69.8,0.675,,,,,
2025-02-20 00:00:00+05:30,9.43,0.0431,20.9,63.7,6.93,18.2,56.3,0.567,,,,,
2025-02-20 01:00:00+05:30,17.3,0.0514,10.7,69.0,7.15,17.3,57.5,0.75,,,,,
2025-02-20 02:00:00+05:30,6.85,0.0298,,69.5,6.7,17.4,96.0,1.63,,,,,
2025-02-20 03:00:00+05:30,4.1,0.0274,20.8,79.3,5.5,16.3,96.8,1.23,,,,,
2025-02-20 04:00:00+05:30,13.9,0.0394,12.8,84.8,5.9,15.9,109.0,0.85,,,,,
2025-02-20 05:00:00+05:30,16.5,0.0426,11.0,83.8,5.98,16.1,123.0,1.13,,,,,
2025-02-20 06:00:00+05:30,18.4,0.0484,11.7,81.8,6.03,16.4,210.0,1.5,,,,,
2025-02-20 07:00:00+05:30,13.3,0.0471,13.7,78.3,6.13,16.5,222.0,1.58,,,,,
2025-02-20 08:00:00+05:30,30.1,0.0589,13.2,79.8,7.13,16.7,205.0,0.45,,,,,
2025-02-20 09:00:00+05:30,28.9,0.063,30.3,71.3,8.3,18.0,192.0,0.825,,,,,
2025-02-20 10:00:00+05:30,12.7,0.0446,39.4,63.8,9.43,19.1,202.0,1.98,,,,,
2025-02-20 11:00:00+05:30,7.93,0.0381,51.1,59.0,10.2,20.0,194.0,3.25,,,,,
2025-02-20 12:00:00+05:30,7.0,0.0307,62.6,52.3,10.9,21.6,113.0,3.78,,,,,
2025-02-20 13:00:00+05:30,4.25,0.0241,70.8,49.8,9.05,22.1,106.0,4.43,,,,,
2025-02-20 14:00:00+05:30,3.88,0.0243,80.6,49.5,9.88,22.4,103.0,4.2,,,,,
2025-02-20 15:00:00+05:30,5.98,0.0316,78.8,49.3,12.8,22.6,99.3,3.98,,,,,
2025-02-20 16:00:00+05:30,6.17,0.035,73.1,50.7,12.6,22.3,105.0,3.9,,,,,
2025-02-20 17:00:00+05:30,3.68,0.0293,70.6,53.0,10.7,21.3,105.0,3.43,,,,,
2025-02-20 18:00:00+05:30,2.9,0.0228,76.1,56.0,9.1,20.6,106.0,3.33,,,,,
2025-02-20 19:00:00+05:30,2.93,0.0245,61.5,58.8,8.45,19.7,95.5,3.15,,,,,
2025-02-20 20:00:00+05:30,3.53,0.029,42.3,60.3,7.38,19.3,89.0,3.73,,,,,
2025-02-20 21:00:00+05:30,4.68,0.0321,35.4,61.0,8.33,18.9,85.5,3.23,,,,,
2025-02-20 22:00:00+05:30,5.55,0.0327,38.2,60.0,9.48,18.8,85.8,3.03,,,,,
2025-02-20 23:00:00+05:30,4.9,0.0325,37.6,59.0,10.9,18.7,83.0,1.8,,,,,
2025-02-21 00:00:00+05:30,6.03,0.0352,28.6,61.3,10.3,18.3,67.0,0.833,,,,,
2025-02-21 01:00:00+05:30,6.15,0.0329,19.0,72.0,6.5,16.4,69.5,0.3,,,,,
2025-02-21 02:00:00+05:30,5.07,0.0299,,74.3,5.9,16.0,69.3,0.4,,,,,
2025-02-21 03:00:00+05:30,7.5,0.0294,16.0,75.8,5.3,15.6,66.5,0.5,,,,,
2025-02-21 04:00:00+05:30,6.48,0.0301,17.6,76.8,5.55,15.4,78.0,0.8,,,,,
2025-02-21 05:00:00+05:30,4.5,0.0255,26.1,73.8,5.53,15.7,93.8,0.525,,,,,
2025-02-21 06:00:00+05:30,4.3,0.0286,20.5,75.3,6.38,15.5,97.8,0.325,,,,,
2025-02-21 07:00:00+05:30,12.5,0.039,12.2,77.8,6.48,15.3,105.0,0.425,,,,,
2025-02-21 08:00:00+05:30,28.2,0.0576,10.9,72.0,8.15,16.3,112.0,0.525,,,,,
2025-02-21 09:00:00+05:30,25.4,0.0579,18.4,61.3,9.98,18.7,88.8,0.55,,,,,
2025-02-21 10:00:00+05:30,14.4,0.0472,34.0,52.8,12.7,20.6,53.5,1.18,,,,,
2025-02-21 11:00:00+05:30,10.1,0.042,51.3,47.3,12.5,22.5,67.3,1.25,,,,,
2025-02-21 12:00:00+05:30,6.0,0.0326,77.6,50.0,11.9,22.8,73.3,2.43,,,,,
2025-02-21 13:00:00+05:30,3.83,0.0255,87.1,52.5,11.0,22.1,74.8,2.78,,,,,
2025-02-21 14:00:00+05:30,2.25,0.0203,91.4,54.0,10.1,21.4,69.5,3.83,,,,,
2025-02-21 15:00:00+05:30,2.35,0.0182,90.4,53.5,8.95,21.5,69.0,3.9,,,,,
2025-02-21 16:00:00+05:30,2.2,0.0186,88.7,58.0,8.25,20.9,74.0,4.18,,,,,
2025-02-21 17:00:00+05:30,3.05,0.0198,86.4,60.8,7.85,20.3,75.3,3.85,,,,,
2025-02-21 18:00:00+05:30,3.03,0.0237,73.7,65.8,9.0,19.3,59.8,2.53,,,,,
2025-02-21 19:00:00+05:30,3.05,0.0235,58.5,70.5,7.9,18.2,64.0,1.43,,,,,
2025-02-21 20:00:00+05:30,3.98,0.0276,39.2,76.0,7.13,17.4,58.3,1.35,,,,,
2025-02-21 21:00:00+05:30,4.08,0.0264,31.9,79.3,6.2,17.0,63.0,1.28,,,,,
2025-02-21 22:00:00+05:30,4.55,0.0278,25.7,82.0,5.98,16.4,61.0,1.5,,,,,
2025-02-21 23:00:00+05:30,4.43,0.0232,29.6,82.5,5.55,16.0,69.3,1.6,,,,,
2025-02-22 00:00:00+05:30,4.23,0.0231,27.7,83.7,5.53,15.7,69.7,1.3,,,,,
2025-02-22 01:00:00+05:30,4.9,0.0244,22.7,86.0,6.5,15.3,72.0,1.2,,,,,
2025-02-22 02:00:00+05:30,4.05,0.0216,,87.5,6.18,15.0,75.5,1.08,,,,,
2025-02-22 03:00:00+05:30,3.1,0.0209,23.7,88.8,6.0,14.7,78.0,1.35,,,,,
2025-02-22 04:00:00+05:30,4.65,0.0227,18.7,90.5,6.03,14.1,67.5,1.63,,,,,
2025-02-22 05:00:00+05:30,4.48,0.0196,21.1,92.3,5.65,13.7,68.5,1.63,,,,,
2025-02-22 06:00:00+05:30,3.7,0.0184,26.6,92.3,5.78,13.7,71.5,1.85,,,,,
2025-02-22 07:00:00+05:30,3.73,0.0197,25.8,92.0,5.38,13.6,76.0,1.45,,,,,
2025-02-22 08:00:00+05:30,12.7,0.0326,16.1,92.0,5.5,13.6,84.0,0.725,,,,,
2025-02-22 09:00:00+05:30,8.65,0.0271,23.5,83.8,5.9,15.2,52.3,1.83,,,,,
2025-02-22 10:00:00+05:30,10.4,0.0298,28.1,71.3,6.6,17.7,72.0,1.4,,,,,
2025-02-22 11:00:00+05:30,6.88,0.0258,45.6,61.8,7.23,19.6,76.8,1.83,,,,,
2025-02-22 12:00:00+05:30,3.83,0.0204,68.3,58.3,8.25,20.3,76.3,2.93,,,,,
2025-02-22 13:00:00+05:30,2.98,0.0191,78.7,53.8,10.4,21.0,73.3,3.7,,,,,
2025-02-22 14:00:00+05:30,3.68,0.0182,81.5,51.3,12.4,21.0,78.0,4.13,,,,,
2025-02-22 15:00:00+05:30,2.65,0.0159,82.1,48.5,10.4,21.4,77.3,3.8,,,,,
