Local Time,CO,NO,NOX,O3,PM10,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,NO2,NH3
2025-02-19 02:00:00+05:30,0.865,30.6,0.0648,7.7,176.0,88.0,13.5,16.2,323.0,0.5,,,
2025-02-19 03:00:00+05:30,0.93,20.5,0.0567,6.65,134.0,85.8,13.2,16.1,265.0,0.675,,,
2025-02-19 04:00:00+05:30,0.785,26.6,0.0592,7.5,101.0,87.8,13.5,15.5,232.0,0.275,,,
2025-02-19 05:00:00+05:30,0.683,24.2,0.0535,5.43,86.8,91.0,11.0,14.8,124.0,0.4,,,
2025-02-19 06:00:00+05:30,0.628,24.2,0.0507,5.28,76.5,90.8,10.1,14.6,82.3,0.5,,,
2025-02-19 07:00:00+05:30,0.628,31.0,0.0579,4.8,79.8,90.5,10.9,14.5,240.0,0.5,,,
2025-02-19 08:00:00+05:30,0.763,36.9,0.0652,5.05,104.0,91.0,10.8,15.0,284.0,0.375,,,
2025-02-19 09:00:00+05:30,0.838,24.9,0.0557,14.6,138.0,86.3,11.3,16.9,302.0,0.65,,,
2025-02-19 10:00:00+05:30,0.795,11.1,0.0419,50.0,146.0,78.0,12.3,18.9,320.0,0.775,,,
2025-02-19 11:00:00+05:30,0.747,8.6,0.038,81.1,132.0,67.7,16.2,21.4,313.0,0.567,,,
2025-02-19 13:00:00+05:30,0.795,4.13,0.0355,153.0,105.0,42.3,18.6,26.2,252.0,0.6,,,
2025-02-19 14:00:00+05:30,0.805,4.7,0.035,163.0,97.8,40.8,17.0,26.2,257.0,0.55,,,
2025-02-19 15:00:00+05:30,0.858,3.0,0.0347,163.0,85.5,41.8,15.5,25.8,278.0,0.6,,,
2025-02-19 16:00:00+05:30,0.898,4.58,0.0365,147.0,74.5,43.3,13.2,24.8,307.0,0.575,,,
2025-02-19 17:00:00+05:30,0.92,4.6,0.0379,140.0,60.8,43.5,14.7,24.3,291.0,0.5,,,
2025-02-19 18:00:00+05:30,1.02,3.75,0.0371,151.0,60.8,50.8,16.2,23.5,87.5,0.6,,,
2025-02-19 19:00:00+05:30,1.08,4.63,0.0404,125.0,98.5,58.3,17.4,21.8,83.5,0.575,,,
2025-02-19 20:00:00+05:30,1.26,5.2,0.048,88.6,133.0,58.3,15.9,21.0,109.0,0.525,,,
2025-02-19 21:00:00+05:30,1.35,4.5,0.0516,67.9,174.0,61.8,17.4,20.4,228.0,0.8,,,
2025-02-19 22:00:00+05:30,0.995,5.85,0.0418,92.0,203.0,70.3,14.7,20.4,280.0,0.65,,,
2025-02-19 23:00:00+05:30,0.91,5.75,0.0396,82.7,158.0,73.0,13.2,19.8,201.0,0.85,,,
2025-02-20 00:00:00+05:30,0.89,5.3,0.0397,66.6,116.0,77.0,11.9,19.3,204.0,1.03,,,
2025-02-20 01:00:00+05:30,0.45,5.95,0.0398,48.8,96.5,83.0,6.6,18.1,143.0,0.65,,,
2025-02-20 02:00:00+05:30,0.46,6.13,0.0418,43.2,80.3,84.8,8.93,18.3,218.0,0.75,,,
