Local Time,CO,NO,NO2,NOX,PM25,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM10,O3,NH3
2025-02-19 02:00:00+05:30,2.25,52.6,7.89,0.0373,94.9,68.3,1.77,17.0,260.0,0.275,,,
2025-02-19 03:00:00+05:30,2.03,52.5,7.94,0.0373,87.2,73.0,1.44,16.4,205.0,0.553,,,
2025-02-19 04:00:00+05:30,1.67,52.6,7.92,0.0373,73.9,68.4,1.56,16.7,306.0,0.988,,,
2025-02-19 05:00:00+05:30,1.34,52.5,7.92,0.0373,64.3,70.3,1.62,16.3,293.0,1.03,,,
2025-02-19 06:00:00+05:30,1.05,52.5,7.89,0.0372,53.9,80.3,1.34,15.5,174.0,0.525,,,
2025-02-19 07:00:00+05:30,1.06,52.5,7.94,0.0373,58.0,98.2,1.29,14.5,221.0,0.538,,,
2025-02-19 08:00:00+05:30,1.24,52.4,7.85,0.0372,72.1,81.6,1.0,16.3,197.0,0.595,,,
2025-02-19 09:00:00+05:30,1.5,52.3,7.89,0.0371,79.9,55.5,1.5,19.9,176.0,0.698,,,
2025-02-19 10:00:00+05:30,0.77,26.2,3.96,0.0186,39.5,23.4,75.0,10.8,168.0,0.365,,,
2025-02-19 11:00:00+05:30,1.33,52.2,7.87,0.037,96.0,38.4,1.7,22.4,310.0,1.19,,,
2025-02-19 12:00:00+05:30,1.07,52.0,7.85,0.0369,94.1,34.0,1.55,23.5,318.0,1.12,,,
2025-02-19 13:00:00+05:30,0.575,52.1,7.8,0.0369,81.6,30.9,1.24,24.5,324.0,0.858,,,
2025-02-19 14:00:00+05:30,0.4,52.1,7.87,0.0369,72.8,29.2,1.52,25.3,324.0,0.935,,,
2025-02-19 15:00:00+05:30,0.845,39.2,5.92,0.0349,59.8,12.4,174.0,13.1,96.9,0.688,,,
2025-02-19 16:00:00+05:30,1.02,52.2,7.82,0.0369,50.7,25.2,1.84,25.9,232.0,1.09,,,
2025-02-19 17:00:00+05:30,0.683,52.1,7.85,0.0369,50.9,29.9,1.65,25.5,312.0,0.918,,,
2025-02-19 18:00:00+05:30,0.685,52.1,7.9,0.037,46.7,33.3,1.68,24.4,300.0,1.2,,,
2025-02-19 19:00:00+05:30,0.72,52.2,7.83,0.0369,59.1,37.6,1.64,23.2,304.0,0.905,,,
2025-02-19 20:00:00+05:30,0.947,52.1,7.86,0.0369,68.5,39.7,2.02,22.5,265.0,0.777,,,
2025-02-19 21:00:00+05:30,1.12,52.2,7.85,0.037,83.1,46.0,2.3,21.6,114.0,0.43,,,
2025-02-19 22:00:00+05:30,1.15,52.2,7.87,0.037,99.5,50.5,2.31,21.3,185.0,0.59,,,
2025-02-19 23:00:00+05:30,1.03,52.2,7.86,0.037,94.3,55.8,2.24,20.4,248.0,0.588,,,
2025-02-20 00:00:00+05:30,0.995,52.2,7.82,0.037,86.7,63.3,2.03,19.8,67.5,0.36,,,
2025-02-20 01:00:00+05:30,0.69,52.2,7.91,0.037,62.8,63.2,2.1,19.5,223.0,0.455,,,
2025-02-20 02:00:00+05:30,0.59,52.2,7.89,0.037,56.4,76.6,2.02,18.8,189.0,0.49,,,
2025-02-20 03:00:00+05:30,0.64,52.2,7.84,0.037,55.0,99.8,2.1,17.6,126.0,0.37,,,
2025-02-20 04:00:00+05:30,0.52,52.2,7.87,0.037,53.0,100.0,2.19,17.1,204.0,0.778,,,
2025-02-20 05:00:00+05:30,0.483,52.2,7.86,0.037,41.9,100.0,2.24,16.5,127.0,0.385,,,
2025-02-20 06:00:00+05:30,0.333,52.3,7.85,0.0371,32.5,100.0,2.36,16.0,256.0,0.513,,,
2025-02-20 07:00:00+05:30,0.39,52.3,7.83,0.037,24.5,100.0,2.68,15.8,233.0,0.283,,,
2025-02-20 08:00:00+05:30,0.403,52.2,7.82,0.037,20.2,100.0,2.58,16.4,143.0,0.413,,,
2025-02-20 09:00:00+05:30,0.395,26.9,3.94,0.0375,22.1,0.0,304.0,0.0,107.0,0.258,,,
2025-02-20 10:00:00+05:30,0.45,52.5,8.03,0.0374,23.4,75.2,283.0,19.0,101.0,0.89,,,
2025-02-20 11:00:00+05:30,1.94,36.5,4.06,0.0269,16.9,0.0,317.0,0.0,82.8,1.14,,,
2025-02-20 12:00:00+05:30,0.29,56.2,8.1,0.0404,36.1,48.6,0.0,23.3,88.6,1.46,,,
2025-02-20 13:00:00+05:30,0.398,53.9,7.98,0.0385,37.2,48.1,1.0,23.6,58.2,0.99,,,
2025-02-20 14:00:00+05:30,0.458,51.6,7.83,0.0365,33.9,49.0,1.44,23.7,155.0,1.23,,,
2025-02-20 15:00:00+05:30,0.505,51.7,7.81,0.0365,32.8,52.2,1.48,23.7,150.0,1.04,,,
2025-02-20 16:00:00+05:30,0.43,51.6,7.82,0.0365,47.3,54.6,1.65,23.5,90.9,0.993,,,
2025-02-20 17:00:00+05:30,0.268,51.7,7.8,0.0365,52.8,57.5,1.76,22.9,86.8,1.11,,,
2025-02-20 18:00:00+05:30,0.275,51.7,7.8,0.0365,45.4,57.6,1.53,22.2,97.8,1.33,,,
2025-02-20 19:00:00+05:30,0.355,51.7,7.85,0.0366,44.8,61.0,1.49,21.2,74.9,0.728,,,
2025-02-20 20:00:00+05:30,0.428,51.7,7.83,0.0365,51.8,66.5,1.63,20.4,92.2,1.28,,,
2025-02-20 21:00:00+05:30,0.768,51.7,7.77,0.0365,49.2,67.6,1.57,19.8,145.0,1.18,,,
2025-02-20 22:00:00+05:30,0.825,51.7,7.82,0.0366,39.2,63.7,1.81,19.7,98.2,1.15,,,
2025-02-20 23:00:00+05:30,0.823,51.8,7.84,0.0366,42.7,59.6,1.62,19.8,99.7,1.12,,,
2025-02-21 00:00:00+05:30,0.835,51.7,7.8,0.0366,49.7,59.1,1.67,19.5,208.0,0.54,,,
2025-02-21 01:00:00+05:30,0.47,51.7,7.76,0.0365,52.9,65.7,3.82,18.8,306.0,1.01,,,
2025-02-21 02:00:00+05:30,0.465,51.7,7.83,0.0365,44.7,68.3,4.06,18.5,239.0,0.518,,,
2025-02-21 03:00:00+05:30,0.43,51.7,7.84,0.0366,47.7,78.5,4.21,17.7,252.0,0.638,,,
2025-02-21 04:00:00+05:30,0.58,51.7,7.79,0.0365,56.9,79.6,3.98,17.3,200.0,0.55,,,
2025-02-21 05:00:00+05:30,0.68,51.7,7.83,0.0366,62.7,73.2,4.07,16.9,182.0,0.61,,,
2025-02-21 06:00:00+05:30,0.62,51.8,7.8,0.0366,61.4,79.6,3.93,16.3,290.0,0.468,,,
2025-02-21 07:00:00+05:30,0.738,51.8,7.85,0.0366,67.6,99.3,4.03,15.3,216.0,0.39,,,
2025-02-21 08:00:00+05:30,1.03,51.8,7.86,0.0367,79.3,95.2,3.73,16.4,298.0,0.83,,,
2025-02-21 09:00:00+05:30,0.933,51.8,7.8,0.0366,98.2,64.6,3.9,19.5,205.0,0.478,,,
2025-02-21 10:00:00+05:30,0.96,51.6,7.8,0.0364,100.0,50.4,3.96,22.1,266.0,0.7,,,
2025-02-21 11:00:00+05:30,1.44,34.3,5.2,0.036,94.0,29.5,106.0,15.7,225.0,0.777,,,
2025-02-21 12:00:00+05:30,0.643,51.6,7.83,0.0365,85.3,41.7,5.2,24.2,336.0,0.893,,,
2025-02-21 13:00:00+05:30,0.668,52.8,7.89,0.0375,79.7,53.4,5.23,23.1,310.0,1.57,,,
2025-02-21 14:00:00+05:30,0.23,26.6,3.97,0.0189,38.6,31.0,2.88,11.0,152.0,1.01,,,
2025-02-21 15:00:00+05:30,0.423,50.2,6.58,0.0541,71.7,39.7,0.808,17.2,313.0,1.72,,,
2025-02-21 16:00:00+05:30,0.403,56.4,8.15,0.0406,84.2,49.8,0.0075,23.2,312.0,1.7,,,
2025-02-21 17:00:00+05:30,0.83,55.5,8.05,0.0398,147.0,58.0,0.0,22.2,306.0,2.23,,,
2025-02-21 18:00:00+05:30,0.963,53.3,7.97,0.038,141.0,64.9,0.0025,21.1,305.0,1.98,,,
2025-02-21 19:00:00+05:30,0.98,53.2,7.94,0.0378,94.3,77.0,0.0,19.8,307.0,1.42,,,
2025-02-21 20:00:00+05:30,0.97,53.1,7.89,0.0378,89.9,76.8,0.0,19.2,306.0,1.52,,,
2025-02-21 21:00:00+05:30,0.92,53.1,7.92,0.0378,94.2,81.1,0.0,18.7,306.0,1.42,,,
2025-02-21 22:00:00+05:30,0.903,53.1,7.96,0.0378,85.0,88.5,0.0,18.2,307.0,1.31,,,
2025-02-21 23:00:00+05:30,0.953,53.1,7.91,0.0378,90.4,97.0,0.0,17.5,305.0,1.5,,,
2025-02-22 00:00:00+05:30,0.92,53.1,7.93,0.0378,90.2,99.9,0.0,16.5,308.0,1.39,,,
2025-02-22 01:00:00+05:30,0.685,53.1,7.94,0.0378,67.9,100.0,7.01,15.7,305.0,1.78,,,
2025-02-22 02:00:00+05:30,0.63,53.2,7.94,0.0379,61.8,100.0,7.08,15.2,306.0,1.35,,,
2025-02-22 03:00:00+05:30,0.56,53.1,7.92,0.0378,56.5,100.0,6.85,14.7,311.0,1.56,,,
2025-02-22 04:00:00+05:30,0.523,53.2,7.87,0.0378,57.4,100.0,7.09,14.4,307.0,1.18,,,
2025-02-22 05:00:00+05:30,0.488,53.2,7.9,0.0378,56.2,100.0,7.32,13.9,307.0,1.28,,,
2025-02-22 06:00:00+05:30,0.525,53.2,7.9,0.0378,59.4,100.0,7.14,13.4,309.0,1.12,,,
2025-02-22 07:00:00+05:30,0.528,53.1,7.94,0.0378,61.1,100.0,6.82,12.9,311.0,1.43,,,
2025-02-22 08:00:00+05:30,0.555,53.1,7.97,0.0378,53.8,100.0,7.26,13.3,307.0,1.61,,,
2025-02-22 09:00:00+05:30,0.538,53.1,7.89,0.0377,55.4,100.0,6.68,15.5,237.0,1.0,,,
2025-02-22 10:00:00+05:30,0.56,53.0,7.93,0.0377,56.3,99.8,6.84,17.1,252.0,0.803,,,
2025-02-22 11:00:00+05:30,0.598,52.8,7.89,0.0375,53.4,90.6,7.13,18.1,314.0,1.49,,,
2025-02-22 12:00:00+05:30,0.628,52.7,7.94,0.0375,56.0,70.8,7.14,19.3,312.0,1.56,,,
2025-02-22 13:00:00+05:30,0.545,52.8,7.91,0.0375,54.6,54.3,6.7,20.9,317.0,1.48,,,
2025-02-22 14:00:00+05:30,0.523,52.8,7.88,0.0375,57.4,47.9,7.06,21.6,309.0,1.93,,,
2025-02-22 15:00:00+05:30,0.458,52.9,7.9,0.0376,51.8,47.2,6.97,21.8,309.0,2.13,,,
2025-02-22 16:00:00+05:30,0.403,52.9,7.9,0.0376,53.1,46.2,6.81,22.0,310.0,1.69,,,
2025-02-22 17:00:00+05:30,0.248,52.9,7.88,0.0376,48.9,44.7,6.7,21.6,307.0,1.9,,,
2025-02-22 18:00:00+05:30,0.248,52.9,7.9,0.0376,49.3,46.7,6.74,21.1,306.0,1.49,,,
2025-02-22 19:00:00+05:30,0.253,52.9,7.9,0.0376,41.2,52.6,6.63,20.2,299.0,1.32,,,
2025-02-22 20:00:00+05:30,0.363,52.9,7.92,0.0376,51.0,60.7,6.72,19.5,295.0,1.11,,,
2025-02-22 21:00:00+05:30,0.638,52.9,7.89,0.0376,65.9,64.3,6.69,18.8,306.0,0.788,,,
2025-02-22 22:00:00+05:30,0.778,52.9,7.91,0.0376,76.3,66.6,7.04,18.5,299.0,1.21,,,
2025-02-22 23:00:00+05:30,0.81,52.9,7.93,0.0376,81.3,68.2,6.91,18.0,302.0,1.17,,,
2025-02-23 00:00:00+05:30,0.88,52.9,7.9,0.0376,82.6,71.3,6.83,17.6,297.0,1.22,,,
2025-02-23 01:00:00+05:30,0.61,52.9,7.88,0.0376,78.5,79.5,7.13,16.6,279.0,0.53,,,
2025-02-23 02:00:00+05:30,0.59,52.9,7.9,0.0376,78.6,85.7,7.23,16.1,252.0,0.535,,,
2025-02-23 03:00:00+05:30,0.603,52.9,7.92,0.0376,75.6,95.2,7.23,15.6,271.0,0.545,,,
2025-02-23 04:00:00+05:30,0.543,52.9,7.93,0.0376,74.0,99.3,7.16,15.1,190.0,0.593,,,
2025-02-23 05:00:00+05:30,0.278,53.0,7.88,0.0376,72.3,100.0,7.2,14.6,289.0,0.625,,,
2025-02-23 06:00:00+05:30,0.313,52.9,7.91,0.0376,70.3,100.0,7.23,14.3,305.0,0.673,,,
2025-02-23 07:00:00+05:30,0.238,52.9,7.89,0.0376,70.2,100.0,7.26,14.2,242.0,0.693,,,
2025-02-23 08:00:00+05:30,0.365,52.9,7.93,0.0376,70.5,100.0,6.91,15.2,314.0,0.398,,,
2025-02-23 09:00:00+05:30,0.63,52.8,7.91,0.0375,71.1,72.5,7.29,18.5,171.0,0.625,,,
2025-02-23 10:00:00+05:30,0.665,52.7,7.89,0.0374,74.5,62.0,7.61,19.6,323.0,1.0,,,
2025-02-23 11:00:00+05:30,0.9,39.5,5.92,0.0359,74.5,28.1,180.0,10.5,326.0,1.0,,,
2025-02-23 12:00:00+05:30,0.503,52.7,7.89,0.0375,73.5,0.0,305.0,0.0,313.0,1.13,,,
2025-02-23 13:00:00+05:30,0.443,52.7,7.89,0.0374,64.1,0.0,305.0,0.0,305.0,1.58,,,
2025-02-23 14:00:00+05:30,0.423,52.7,7.93,0.0375,50.8,0.0,305.0,0.0,310.0,1.47,,,
2025-02-23 15:00:00+05:30,0.373,52.8,7.92,0.0375,44.9,0.0,305.0,0.0,322.0,1.08,,,
2025-02-23 16:00:00+05:30,0.375,52.8,7.9,0.0375,39.5,0.0,305.0,0.0,336.0,0.748,,,
2025-02-23 17:00:00+05:30,0.36,52.8,7.86,0.0375,38.0,0.0,305.0,0.0,245.0,0.76,,,
2025-02-23 18:00:00+05:30,0.313,52.8,7.87,0.0375,41.4,0.0,305.0,0.0,124.0,0.538,,,
2025-02-23 19:00:00+05:30,0.333,52.8,7.85,0.0375,41.9,0.0,305.0,0.0,141.0,0.43,,,
2025-02-23 20:00:00+05:30,0.448,52.8,7.89,0.0375,48.5,0.0,305.0,0.0,236.0,0.758,,,
2025-02-23 21:00:00+05:30,0.83,52.8,7.9,0.0375,60.0,14.7,253.0,4.87,257.0,0.715,,,
2025-02-23 22:00:00+05:30,1.23,52.8,7.91,0.0375,77.8,67.2,7.44,18.5,229.0,0.583,,,
2025-02-23 23:00:00+05:30,1.74,52.8,7.89,0.0375,109.0,76.2,8.02,17.7,190.0,0.653,,,
2025-02-24 00:00:00+05:30,1.9,52.8,7.87,0.0375,126.0,77.6,8.29,17.6,279.0,0.8,,,
2025-02-24 01:00:00+05:30,1.58,52.8,7.9,0.0375,128.0,99.6,8.42,15.7,117.0,0.615,,,
2025-02-24 02:00:00+05:30,1.58,52.9,7.87,0.0376,135.0,100.0,8.26,15.4,106.0,0.473,,,
2025-02-24 03:00:00+05:30,1.64,52.9,7.9,0.0376,138.0,100.0,8.27,15.0,132.0,0.728,,,
2025-02-24 04:00:00+05:30,1.54,52.9,7.89,0.0376,129.0,100.0,8.21,14.6,104.0,0.74,,,
2025-02-24 05:00:00+05:30,1.58,52.8,7.92,0.0376,127.0,100.0,8.1,14.5,197.0,0.573,,,
2025-02-24 06:00:00+05:30,1.33,52.9,7.9,0.0376,125.0,100.0,8.31,14.5,172.0,0.2,,,
2025-02-24 07:00:00+05:30,1.18,52.8,7.88,0.0375,119.0,100.0,8.33,14.3,281.0,0.71,,,
2025-02-24 08:00:00+05:30,1.1,52.8,7.94,0.0375,118.0,100.0,8.08,15.5,299.0,0.855,,,
2025-02-24 09:00:00+05:30,0.978,52.8,7.83,0.0374,117.0,88.0,8.3,18.1,309.0,1.31,,,
2025-02-24 10:00:00+05:30,0.985,52.6,7.88,0.0374,126.0,63.6,8.35,20.4,322.0,0.948,,,
2025-02-24 11:00:00+05:30,0.888,52.5,7.89,0.0373,123.0,53.6,8.4,22.0,334.0,0.738,,,
2025-02-24 12:00:00+05:30,0.44,52.9,7.94,0.0376,119.0,48.7,2.78,22.3,312.0,1.21,,,
2025-02-24 13:00:00+05:30,0.698,41.3,6.03,0.0395,29.8,31.7,111.0,17.3,309.0,1.34,,,
2025-02-24 14:00:00+05:30,2.38,57.2,8.16,0.0412,40.3,40.5,73.5,23.8,310.0,1.25,,,
2025-02-24 15:00:00+05:30,7.85,57.8,8.23,0.0418,68.4,40.1,1.4,24.4,310.0,1.42,,,
2025-02-24 16:00:00+05:30,0.403,56.6,8.18,0.0408,50.8,35.9,2.53,24.4,310.0,1.85,,,
2025-02-24 17:00:00+05:30,0.42,54.2,7.97,0.0387,53.0,38.6,3.21,24.3,306.0,1.64,,,
2025-02-24 18:00:00+05:30,0.448,53.5,7.91,0.0381,59.6,47.9,3.29,23.3,304.0,1.76,,,
2025-02-24 19:00:00+05:30,0.538,53.4,7.9,0.038,61.5,51.4,3.07,22.1,301.0,1.3,,,
2025-02-24 20:00:00+05:30,0.675,53.3,7.9,0.0379,62.2,53.7,3.5,21.2,300.0,0.94,,,
2025-02-24 21:00:00+05:30,0.863,53.3,7.93,0.038,77.5,61.5,3.55,19.9,299.0,0.723,,,
2025-02-24 22:00:00+05:30,1.12,53.3,7.93,0.038,104.0,71.8,3.52,18.6,276.0,0.468,,,
2025-02-24 23:00:00+05:30,1.51,53.3,7.95,0.038,143.0,78.0,3.72,18.2,241.0,0.69,,,
2025-02-25 00:00:00+05:30,1.79,53.4,7.92,0.038,157.0,88.8,3.67,17.5,162.0,0.645,,,
2025-02-25 01:00:00+05:30,2.11,53.5,7.9,0.0381,153.0,99.9,1.72,16.2,169.0,0.81,,,
2025-02-25 02:00:00+05:30,2.19,53.5,7.94,0.0381,158.0,100.0,1.64,15.8,157.0,0.633,,,
2025-02-25 03:00:00+05:30,2.23,53.5,7.96,0.0381,162.0,100.0,2.13,15.4,155.0,0.65,,,
2025-02-25 04:00:00+05:30,2.0,53.5,7.92,0.0381,157.0,100.0,1.73,15.7,149.0,0.748,,,
2025-02-25 05:00:00+05:30,1.57,53.5,7.9,0.0381,151.0,100.0,1.43,15.4,201.0,0.703,,,
2025-02-25 06:00:00+05:30,1.51,53.5,7.99,0.0381,153.0,100.0,2.1,15.3,162.0,0.808,,,
2025-02-25 07:00:00+05:30,1.33,53.5,7.91,0.0381,152.0,100.0,1.95,15.3,283.0,0.69,,,
2025-02-25 08:00:00+05:30,1.45,53.5,7.98,0.0381,168.0,100.0,2.51,16.5,160.0,0.323,,,
2025-02-25 09:00:00+05:30,1.42,53.4,7.93,0.038,174.0,74.1,2.42,19.9,176.0,0.575,,,
2025-02-25 10:00:00+05:30,1.37,53.3,7.92,0.038,167.0,58.8,2.32,21.5,314.0,0.94,,,
2025-02-25 11:00:00+05:30,1.24,53.2,7.98,0.0379,154.0,50.5,2.56,22.9,310.0,1.02,,,
2025-02-25 12:00:00+05:30,0.983,53.1,7.93,0.0378,130.0,43.0,2.34,23.9,324.0,0.97,,,
2025-02-25 13:00:00+05:30,0.948,53.2,7.9,0.0378,106.0,34.4,1.97,24.6,326.0,0.725,,,
2025-02-25 14:00:00+05:30,0.798,53.1,7.93,0.0378,94.1,28.9,1.96,25.5,318.0,1.08,,,
2025-02-25 15:00:00+05:30,0.67,53.2,7.91,0.0378,82.4,26.4,1.84,26.1,248.0,0.805,,,
2025-02-25 16:00:00+05:30,0.578,53.6,7.94,0.0382,73.4,32.5,1.6,25.9,320.0,0.813,,,
2025-02-25 17:00:00+05:30,0.895,55.5,8.09,0.0398,69.7,33.8,1.69,25.6,319.0,0.818,,,
2025-02-25 18:00:00+05:30,0.98,55.3,8.03,0.0396,68.7,34.5,1.4,24.9,297.0,1.16,,,
2025-02-25 19:00:00+05:30,0.73,53.6,7.93,0.0382,74.7,41.5,1.62,23.5,278.0,0.77,,,
2025-02-25 20:00:00+05:30,0.963,53.2,7.88,0.0378,95.1,55.1,1.72,21.1,296.0,0.79,,,
2025-02-25 21:00:00+05:30,1.3,53.2,7.9,0.0378,135.0,63.6,1.79,20.2,258.0,0.513,,,
2025-02-25 22:00:00+05:30,2.14,53.2,7.89,0.0378,266.0,64.0,1.88,19.7,305.0,0.623,,,
2025-02-25 23:00:00+05:30,2.24,53.2,7.88,0.0378,201.0,64.3,2.03,19.2,296.0,0.643,,,
2025-02-26 00:00:00+05:30,2.25,53.2,7.94,0.0379,175.0,63.9,2.01,19.0,185.0,0.625,,,
2025-02-26 01:00:00+05:30,1.84,53.2,7.93,0.0379,93.4,69.6,1.49,18.5,160.0,0.25,,,
2025-02-26 02:00:00+05:30,1.7,53.2,7.91,0.0379,101.0,67.8,1.63,18.6,206.0,0.558,,,
2025-02-26 03:00:00+05:30,1.49,53.2,7.93,0.0379,90.4,67.2,1.47,18.9,155.0,0.383,,,
2025-02-26 04:00:00+05:30,1.24,53.2,7.89,0.0378,80.0,65.5,1.49,18.9,161.0,0.363,,,
2025-02-26 05:00:00+05:30,0.998,53.2,7.93,0.0378,55.8,62.3,1.66,19.3,192.0,0.315,,,
2025-02-26 06:00:00+05:30,0.805,53.2,7.87,0.0378,53.2,62.7,1.11,19.6,224.0,0.358,,,
2025-02-26 07:00:00+05:30,0.643,53.2,7.92,0.0378,52.3,72.0,1.25,19.0,216.0,0.393,,,
2025-02-26 08:00:00+05:30,1.16,40.0,5.98,0.0379,61.1,18.1,226.0,4.83,149.0,0.55,,,
2025-02-26 09:00:00+05:30,1.04,53.4,7.93,0.038,73.8,0.0,299.0,0.0,127.0,0.453,,,
2025-02-26 10:00:00+05:30,1.02,53.2,7.88,0.0378,78.8,0.0,299.0,0.0,320.0,0.72,,,
2025-02-26 11:00:00+05:30,0.998,53.2,7.9,0.0378,81.5,0.0,299.0,0.0,312.0,1.12,,,
2025-02-26 12:00:00+05:30,0.853,53.2,7.92,0.0379,69.9,0.0,299.0,0.0,239.0,0.868,,,
2025-02-26 13:00:00+05:30,0.655,53.4,7.96,0.038,60.3,0.0,299.0,0.0,145.0,0.688,,,
2025-02-26 14:00:00+05:30,0.615,53.5,7.91,0.0381,54.2,0.0,300.0,0.0,336.0,0.793,,,
2025-02-26 15:00:00+05:30,1.01,39.9,5.92,0.0284,29.0,0.0,226.0,0.0,244.0,0.805,,,
2025-02-26 16:00:00+05:30,0.423,53.7,7.93,0.0383,39.2,0.0,300.0,0.0,262.0,0.598,,,
2025-02-26 17:00:00+05:30,0.213,53.6,7.92,0.0381,36.7,0.0,300.0,0.0,315.0,0.535,,,
2025-02-26 18:00:00+05:30,0.0,53.3,7.93,0.038,60.9,0.0,300.0,0.0,178.0,0.407,,,
2025-02-26 19:00:00+05:30,0.0,53.3,7.92,0.0379,68.2,0.0,300.0,0.0,280.0,0.568,,,
2025-02-26 20:00:00+05:30,0.0,53.3,7.88,0.0379,95.6,0.0,300.0,0.0,241.0,0.58,,,
2025-02-26 21:00:00+05:30,0.0,53.2,7.91,0.0379,112.0,0.0,300.0,0.0,256.0,0.938,,,
2025-02-26 22:00:00+05:30,0.978,53.2,7.94,0.0379,116.0,28.5,151.0,12.0,250.0,0.81,,,
2025-02-26 23:00:00+05:30,1.29,53.2,7.94,0.0379,103.0,60.0,1.4,23.6,189.0,0.675,,,
2025-02-27 00:00:00+05:30,1.22,53.2,7.92,0.0379,92.6,64.4,1.84,23.2,110.0,0.555,,,
2025-02-27 01:00:00+05:30,0.925,53.2,7.99,0.0379,80.4,76.9,1.97,22.0,169.0,0.465,,,
2025-02-27 02:00:00+05:30,1.05,53.2,7.94,0.0379,89.3,84.2,2.24,21.7,198.0,0.69,,,
2025-02-27 03:00:00+05:30,0.983,53.2,7.94,0.0378,97.3,86.1,2.24,21.6,246.0,0.445,,,
2025-02-27 04:00:00+05:30,0.995,53.2,7.88,0.0378,89.5,76.0,2.46,21.8,163.0,0.275,,,
2025-02-27 05:00:00+05:30,1.12,53.3,7.86,0.0379,80.6,66.6,2.33,22.1,185.0,0.38,,,
2025-02-27 06:00:00+05:30,1.06,53.2,7.92,0.0378,70.8,62.4,2.24,22.0,269.0,0.53,,,
2025-02-27 07:00:00+05:30,0.955,53.1,7.94,0.0378,65.4,65.6,2.29,21.9,269.0,0.515,,,
2025-02-27 08:00:00+05:30,1.16,53.0,7.89,0.0377,65.8,83.3,2.42,21.4,250.0,1.46,,,
2025-02-27 09:00:00+05:30,1.53,52.9,7.93,0.0376,71.7,76.2,2.73,21.3,130.0,0.708,,,
2025-02-27 10:00:00+05:30,1.06,39.7,5.71,0.0281,45.1,16.7,151.0,5.38,69.0,0.42,,,
2025-02-27 11:00:00+05:30,1.38,52.8,7.88,0.0375,61.8,66.7,0.735,21.5,91.1,0.505,,,
2025-02-27 12:00:00+05:30,1.01,53.6,7.93,0.0382,59.4,59.7,0.853,22.1,70.5,0.423,,,
