Local Time,CO,NO,NOX,O3,PM10,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,NO2,SO2,NH3
2025-02-19 02:00:00+05:30,1.37,80.7,0.0956,,256.0,87.0,15.9,219.0,1.15,,,,
2025-02-19 03:00:00+05:30,1.17,69.2,0.0847,5.05,227.0,87.3,15.8,191.0,1.13,,,,
2025-02-19 04:00:00+05:30,1.33,54.6,0.0744,4.65,237.0,86.5,15.8,190.0,1.18,,,,
2025-02-19 05:00:00+05:30,1.02,33.6,0.0565,4.73,214.0,84.8,15.6,254.0,1.2,,,,
2025-02-19 06:00:00+05:30,0.855,21.4,0.0463,4.45,198.0,84.5,15.2,292.0,1.5,,,,
2025-02-19 07:00:00+05:30,0.94,4.7,0.0315,7.93,188.0,80.3,15.5,266.0,1.3,,,,
2025-02-19 08:00:00+05:30,0.833,7.8,0.0342,10.1,187.0,77.0,16.5,224.0,1.23,,,,
2025-02-19 09:00:00+05:30,0.88,9.83,0.0359,19.0,226.0,68.5,18.9,203.0,1.6,,,,
2025-02-19 10:00:00+05:30,0.843,10.8,0.0365,37.9,228.0,60.0,21.2,205.0,2.13,,,,
2025-02-19 11:00:00+05:30,0.79,6.8,0.0306,62.4,275.0,54.5,23.2,220.0,1.8,,,,
2025-02-19 12:00:00+05:30,0.62,5.03,0.0227,87.9,253.0,47.3,26.3,156.0,0.7,,,,
2025-02-19 13:00:00+05:30,0.413,3.75,0.0156,100.0,186.0,41.3,28.3,207.0,1.53,,,,
2025-02-19 14:00:00+05:30,0.43,3.13,0.0119,116.0,125.0,41.0,27.1,183.0,1.55,,,,
2025-02-19 15:00:00+05:30,0.425,2.8,0.0118,124.0,120.0,38.5,28.9,233.0,1.6,,,,
2025-02-19 16:00:00+05:30,0.435,2.65,0.0126,125.0,125.0,39.3,29.0,196.0,1.4,,,,
2025-02-19 17:00:00+05:30,,2.8,0.0167,101.0,128.0,40.8,27.6,167.0,0.7,,,,
2025-02-19 18:00:00+05:30,,1.48,0.0201,86.3,,43.8,25.5,283.0,1.3,,,,
2025-02-19 19:00:00+05:30,,2.58,0.0437,34.7,,53.3,22.7,283.0,1.33,,,,
2025-02-19 20:00:00+05:30,,2.5,0.0389,40.8,,54.0,22.6,310.0,1.6,,,,
2025-02-19 21:00:00+05:30,,15.0,0.0491,25.8,,58.0,22.3,228.0,1.3,,,,
2025-02-19 22:00:00+05:30,,30.5,0.0741,13.7,,56.5,22.9,186.0,2.15,,,,
2025-02-19 23:00:00+05:30,,21.6,0.0682,15.4,317.0,55.8,22.8,207.0,1.73,,,,
2025-02-20 00:00:00+05:30,,5.53,0.0378,19.1,317.0,62.0,21.7,235.0,1.3,,,,
2025-02-20 01:00:00+05:30,,18.3,0.0546,5.3,277.0,68.5,20.1,80.5,1.45,,,,
2025-02-20 02:00:00+05:30,,19.6,0.0529,,336.0,67.8,20.5,166.0,1.9,,,,
2025-02-20 03:00:00+05:30,,1.6,0.0166,18.7,312.0,75.0,19.4,217.0,1.78,,,,
2025-02-20 04:00:00+05:30,,2.73,0.0232,14.2,207.0,80.5,18.6,192.0,1.48,,,,
2025-02-20 05:00:00+05:30,,9.38,0.0355,6.13,196.0,82.0,18.6,143.0,1.8,,,,
2025-02-20 06:00:00+05:30,,21.3,0.0514,4.73,204.0,80.5,18.6,133.0,1.4,,,,
2025-02-20 07:00:00+05:30,,36.1,0.0642,14.6,213.0,83.0,18.3,91.3,1.4,,,,
2025-02-20 08:00:00+05:30,,41.0,0.0679,24.9,223.0,81.3,18.5,177.0,1.63,,,,
2025-02-20 09:00:00+05:30,,15.9,0.0424,13.2,270.0,75.0,19.4,154.0,1.88,,,,
2025-02-20 10:00:00+05:30,,6.28,0.0263,31.1,263.0,67.0,21.2,48.0,2.58,,,,
2025-02-20 11:00:00+05:30,0.263,5.03,0.0236,46.6,226.0,62.3,22.6,72.5,2.48,,,,
2025-02-20 12:00:00+05:30,0.818,11.0,0.03,57.3,187.0,54.0,25.5,78.8,2.58,,,,
2025-02-20 13:00:00+05:30,0.6,4.7,0.0191,75.3,192.0,51.0,26.4,78.8,2.85,,,,
2025-02-20 14:00:00+05:30,0.448,2.6,0.0141,93.6,207.0,50.0,26.9,90.5,2.88,,,,
2025-02-20 15:00:00+05:30,0.413,3.6,0.0175,93.5,177.0,47.5,27.8,103.0,2.68,,,,
