Local Time,NO2,PM10,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,CO,O3
2025-02-19 02:00:00+05:30,68.7,264.0,97.0,11.6,211.0,0.165,,,
2025-02-19 03:00:00+05:30,68.4,259.0,97.0,11.1,248.0,0.175,,,
2025-02-19 04:00:00+05:30,67.4,246.0,97.0,10.6,231.0,0.173,,,
2025-02-19 05:00:00+05:30,65.9,233.0,97.0,10.3,223.0,0.21,,,
2025-02-19 06:00:00+05:30,64.9,228.0,97.0,10.1,236.0,0.148,,,
2025-02-19 07:00:00+05:30,64.0,219.0,97.0,10.0,240.0,0.178,,,
2025-02-19 08:00:00+05:30,63.9,210.0,97.0,11.4,238.0,0.215,,,
2025-02-19 09:00:00+05:30,66.9,214.0,84.0,15.8,262.0,0.42,,,
2025-02-19 10:00:00+05:30,70.7,229.0,64.7,20.0,301.0,0.517,,,
2025-02-20 08:00:00+05:30,63.0,109.0,97.0,15.1,257.0,0.295,,,
2025-02-20 09:00:00+05:30,63.5,113.0,93.1,16.9,260.0,0.343,,,
2025-02-20 10:00:00+05:30,66.6,136.0,78.5,19.4,262.0,0.37,,,
2025-02-20 11:00:00+05:30,84.1,173.0,65.4,20.8,267.0,0.66,,,
2025-02-20 12:00:00+05:30,89.8,186.0,55.7,22.9,256.0,0.61,,,
2025-02-20 13:00:00+05:30,90.5,172.0,49.5,24.7,253.0,0.898,,,
2025-02-20 14:00:00+05:30,78.6,150.0,45.5,25.4,270.0,0.685,,,
2025-02-20 15:00:00+05:30,74.2,137.0,45.3,25.6,270.0,0.437,,,
2025-02-20 16:00:00+05:30,71.4,132.0,45.5,24.9,228.0,0.345,,,
2025-02-20 17:00:00+05:30,70.6,122.0,49.7,23.5,253.0,0.46,,,
2025-02-20 18:00:00+05:30,71.0,108.0,54.7,21.9,265.0,0.32,,,
2025-02-20 19:00:00+05:30,70.8,106.0,60.1,20.6,269.0,0.245,,,
2025-02-20 20:00:00+05:30,71.3,122.0,62.9,19.9,272.0,0.26,,,
2025-02-20 21:00:00+05:30,72.2,148.0,63.4,19.4,272.0,0.228,,,
2025-02-20 22:00:00+05:30,70.7,166.0,63.4,18.9,272.0,0.26,,,
2025-02-20 23:00:00+05:30,69.3,177.0,65.8,18.4,276.0,0.21,,,
2025-02-21 00:00:00+05:30,68.9,181.0,67.6,18.0,271.0,0.205,,,
2025-02-21 01:00:00+05:30,66.9,182.0,77.4,16.4,267.0,0.21,,,
2025-02-21 02:00:00+05:30,65.7,179.0,83.3,15.2,270.0,0.208,,,
2025-02-21 03:00:00+05:30,64.6,172.0,86.2,14.3,268.0,0.215,,,
2025-02-21 04:00:00+05:30,63.4,166.0,88.5,13.6,285.0,0.178,,,
2025-02-21 05:00:00+05:30,62.2,158.0,92.1,12.8,286.0,0.205,,,
