Local Time,NO,NO2,NOX,O3,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,PM10,CO,NH3
2025-02-19 02:00:00+05:30,91.8,41.3,0.0966,16.0,85.0,37.7,16.1,183.0,0.3,,,,
2025-02-19 03:00:00+05:30,82.8,39.8,0.0885,15.9,85.0,31.6,16.0,182.0,0.3,,,,
2025-02-19 04:00:00+05:30,93.6,50.6,0.103,16.3,84.0,32.2,16.2,246.0,0.3,,,,
2025-02-19 05:00:00+05:30,60.3,45.8,0.0734,14.6,84.0,29.5,15.8,229.0,0.3,,,,
2025-02-19 06:00:00+05:30,46.6,43.6,0.0611,14.2,85.5,29.9,15.3,204.0,0.3,,,,
2025-02-19 07:00:00+05:30,58.0,40.3,0.0686,15.0,86.3,31.4,14.8,186.0,0.3,,,,
2025-02-19 08:00:00+05:30,70.1,49.6,0.0834,14.0,85.8,32.4,15.8,227.0,0.3,,,,
2025-02-19 09:00:00+05:30,36.7,55.3,0.0592,16.3,72.5,32.7,19.7,210.0,1.05,,,,
2025-02-19 10:00:00+05:30,13.8,53.9,0.0399,15.6,58.8,33.7,23.1,216.0,1.33,,,,
2025-02-19 11:00:00+05:30,7.2,38.9,0.0266,16.5,48.5,34.9,26.4,220.0,1.28,,,,
2025-02-19 12:00:00+05:30,2.78,29.5,0.0179,20.4,42.8,33.6,28.7,203.0,1.45,,,,
2025-02-19 13:00:00+05:30,4.05,22.8,0.0154,22.9,39.3,31.8,30.0,218.0,1.75,,,,
2025-02-19 14:00:00+05:30,4.33,23.1,0.0148,23.7,38.0,30.3,30.2,209.0,1.65,,,,
2025-02-19 15:00:00+05:30,5.65,23.8,0.0172,22.7,36.5,28.1,31.4,222.0,1.28,,,,
2025-02-19 16:00:00+05:30,2.63,26.3,0.0161,21.7,36.0,26.4,31.0,232.0,1.08,,,,
2025-02-19 17:00:00+05:30,7.13,20.0,0.0164,21.1,35.5,23.0,29.5,221.0,1.4,,,,
2025-02-19 18:00:00+05:30,3.65,43.7,0.0262,18.2,42.5,23.0,27.7,230.0,0.4,,,,
2025-02-19 19:00:00+05:30,34.9,83.1,0.0726,14.8,56.0,29.3,23.8,190.0,0.367,,,,
2025-02-19 20:00:00+05:30,32.5,92.2,0.0754,16.0,53.3,34.1,23.7,190.0,0.475,,,,
2025-02-19 21:00:00+05:30,38.0,85.2,0.0762,14.6,56.8,37.0,22.8,187.0,0.35,,,,
2025-02-19 22:00:00+05:30,38.6,77.7,0.0727,15.5,57.8,40.3,23.0,178.0,1.03,,,,
2025-02-19 23:00:00+05:30,7.05,67.4,0.0417,14.0,61.3,35.8,22.7,210.0,0.325,,,,
2025-02-20 00:00:00+05:30,12.1,67.9,0.0459,14.3,63.7,32.9,22.3,220.0,0.533,,,,
2025-02-20 01:00:00+05:30,33.1,63.2,0.0605,14.2,71.5,29.7,20.4,184.0,0.35,,,,
2025-02-20 02:00:00+05:30,38.4,60.4,0.0633,14.6,74.3,29.9,20.3,195.0,0.675,,,,
2025-02-20 03:00:00+05:30,29.3,58.4,0.0549,14.3,82.3,29.8,19.6,199.0,0.65,,,,
2025-02-20 04:00:00+05:30,18.1,54.0,0.0434,14.9,84.3,26.6,19.4,135.0,1.18,,,,
2025-02-20 05:00:00+05:30,6.05,36.2,0.0242,14.1,84.5,25.0,19.2,189.0,0.875,,,,
2025-02-20 06:00:00+05:30,6.6,31.9,0.0224,13.8,89.3,25.6,18.5,171.0,0.5,,,,
2025-02-20 07:00:00+05:30,8.75,41.4,0.0292,13.2,90.0,26.6,18.2,176.0,0.375,,,,
2025-02-20 08:00:00+05:30,15.8,41.9,0.0351,13.7,91.0,28.4,18.0,199.0,0.3,,,,
2025-02-20 09:00:00+05:30,30.1,53.6,0.053,15.0,88.3,28.8,20.1,185.0,0.333,,,,
2025-02-20 10:00:00+05:30,16.8,59.5,0.0453,15.3,75.0,32.3,23.1,138.0,1.3,,,,
2025-02-20 11:00:00+05:30,9.0,44.0,0.0307,15.8,63.3,28.8,24.7,158.0,1.93,,,,
2025-02-20 12:00:00+05:30,5.9,28.0,0.0197,17.7,56.0,30.6,27.5,151.0,2.55,,,,
2025-02-20 13:00:00+05:30,4.98,22.8,0.0162,17.0,51.3,31.9,28.8,162.0,3.0,,,,
2025-02-20 14:00:00+05:30,5.18,24.9,0.0174,18.4,49.8,35.3,29.4,171.0,2.95,,,,
2025-02-20 15:00:00+05:30,7.43,22.0,0.0161,18.7,52.0,35.0,28.9,167.0,2.83,,,,
2025-02-20 16:00:00+05:30,4.0,20.4,0.0141,18.9,52.3,29.9,28.0,145.0,3.18,,,,
2025-02-20 17:00:00+05:30,3.5,20.9,0.014,19.6,54.3,27.8,27.1,142.0,2.73,,,,
2025-02-20 18:00:00+05:30,3.95,27.2,0.0177,19.3,59.5,26.8,25.6,149.0,2.0,,,,
2025-02-20 19:00:00+05:30,5.3,32.5,0.0216,18.7,62.8,26.8,24.0,133.0,1.58,,,,
2025-02-20 20:00:00+05:30,5.13,48.4,0.0286,17.1,65.8,26.5,23.3,142.0,1.48,,,,
2025-02-20 21:00:00+05:30,3.68,39.0,0.0237,16.5,66.0,25.9,22.8,175.0,1.35,,,,
