Local Time,PM1,PM25,RELATIVEHUMIDITY,TEMPERATURE,UM003
2025-02-18 07:00:00+05:30,70.0,118.0,53.6,19.0,17900.0
2025-02-18 08:00:00+05:30,81.4,138.0,54.9,18.9,20700.0
2025-02-18 09:00:00+05:30,84.7,145.0,52.8,19.8,21600.0
2025-02-18 10:00:00+05:30,85.3,148.0,48.6,21.4,21700.0
2025-02-18 11:00:00+05:30,81.9,147.0,44.7,22.9,21000.0
2025-02-18 12:00:00+05:30,63.0,112.0,36.7,25.1,16300.0
2025-02-18 13:00:00+05:30,53.9,93.5,32.9,26.2,14100.0
2025-02-18 14:00:00+05:30,36.0,59.5,27.8,26.9,9140.0
2025-02-18 15:00:00+05:30,23.1,36.4,22.5,27.4,4670.0
2025-02-18 16:00:00+05:30,20.0,31.5,21.4,27.5,3800.0
2025-02-18 17:00:00+05:30,20.4,32.1,21.9,26.8,3890.0
2025-02-18 18:00:00+05:30,22.1,34.8,23.5,25.5,4360.0
2025-02-18 19:00:00+05:30,25.2,40.1,28.4,24.1,5310.0
2025-02-18 20:00:00+05:30,26.4,41.8,33.6,22.7,5770.0
2025-02-18 21:00:00+05:30,33.0,52.4,39.8,21.8,8450.0
2025-02-18 22:00:00+05:30,43.5,69.9,43.1,21.1,11600.0
2025-02-18 23:00:00+05:30,57.3,92.4,45.4,20.6,15000.0
2025-02-19 00:00:00+05:30,62.8,102.0,48.1,20.1,16300.0
2025-02-19 01:00:00+05:30,66.8,110.0,50.1,19.7,17300.0
2025-02-19 02:00:00+05:30,70.4,115.0,52.1,19.3,18200.0
2025-02-19 03:00:00+05:30,63.3,105.0,53.0,18.8,16400.0
2025-02-19 04:00:00+05:30,62.7,106.0,53.4,18.4,16200.0
2025-02-19 05:00:00+05:30,73.5,128.0,54.3,18.1,18900.0
2025-02-19 06:00:00+05:30,71.3,125.0,55.2,17.7,18300.0
2025-02-19 07:00:00+05:30,63.6,111.0,55.9,17.6,16500.0
2025-02-19 08:00:00+05:30,64.0,110.0,55.8,17.6,16600.0
2025-02-19 09:00:00+05:30,66.0,113.0,50.8,19.2,17000.0
2025-02-19 10:00:00+05:30,58.7,102.0,39.9,23.4,15300.0
2025-02-19 11:00:00+05:30,47.1,81.3,31.9,26.3,12400.0
2025-02-19 12:00:00+05:30,41.7,70.9,29.8,26.4,11000.0
2025-02-19 13:00:00+05:30,40.3,68.0,27.7,27.0,10700.0
2025-02-19 14:00:00+05:30,33.4,53.9,24.6,27.6,8570.0
2025-02-19 15:00:00+05:30,32.9,53.2,25.0,27.9,8340.0
2025-02-19 16:00:00+05:30,25.4,40.4,22.7,27.6,5390.0
2025-02-19 17:00:00+05:30,22.5,36.0,22.5,27.3,4490.0
