Local Time,NO,NO2,NOX,O3,PM25,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM10,SO2,CO,NH3
2025-02-19 02:00:00+05:30,4.85,43.6,0.006,7.7,34.0,72.5,14.0,357.0,0.3,,,,
2025-02-19 03:00:00+05:30,3.88,40.9,0.006,10.3,31.0,74.8,13.7,,0.575,,,,
2025-02-19 04:00:00+05:30,4.53,42.3,0.006,11.8,26.5,74.0,14.3,,1.58,,,,
2025-02-19 05:00:00+05:30,11.1,61.1,0.00603,1.4,31.7,76.7,13.3,357.0,1.3,,,,
2025-02-19 06:00:00+05:30,5.7,54.0,0.006,4.88,32.5,77.0,12.9,359.0,0.925,,,,
2025-02-19 07:00:00+05:30,4.78,47.4,0.0068,5.28,32.7,79.8,12.3,351.0,1.4,,,,
2025-02-19 08:00:00+05:30,20.2,60.4,0.0395,6.33,37.3,78.3,12.9,355.0,1.3,,,,
2025-02-19 09:00:00+05:30,13.1,39.2,0.1,17.3,71.5,70.0,17.2,349.0,2.0,,,,
2025-02-19 10:00:00+05:30,6.13,24.6,0.159,42.0,76.0,58.8,21.4,339.0,2.28,,,,
2025-02-19 11:00:00+05:30,6.3,14.8,0.181,62.3,41.5,49.3,24.6,340.0,2.5,,,,
2025-02-19 12:00:00+05:30,4.55,17.1,0.171,75.5,31.0,44.0,26.6,348.0,3.53,,,,
2025-02-19 13:00:00+05:30,3.95,17.9,0.208,83.0,28.0,41.8,27.6,345.0,4.38,,,,
2025-02-19 14:00:00+05:30,3.9,19.3,0.135,86.3,23.5,37.8,28.9,347.0,4.43,,,,
2025-02-19 15:00:00+05:30,4.18,21.0,0.168,88.9,21.5,38.8,28.8,349.0,3.98,,,,
2025-02-19 16:00:00+05:30,3.98,19.8,0.12,83.5,23.0,36.8,28.6,352.0,4.15,,,,
2025-02-19 17:00:00+05:30,4.05,17.3,0.0722,76.2,19.7,35.5,28.1,,2.45,,,,
2025-02-19 18:00:00+05:30,4.23,16.2,0.0141,57.6,20.0,44.0,24.7,,0.6,,,,
2025-02-19 19:00:00+05:30,3.8,30.3,0.0059,36.5,27.0,49.8,21.8,358.0,1.05,,,,
2025-02-19 20:00:00+05:30,3.75,34.6,0.0059,32.7,34.3,53.5,20.5,355.0,0.65,,,,
2025-02-19 21:00:00+05:30,4.0,32.8,0.0059,30.6,46.7,55.3,20.6,,0.7,,,,
2025-02-19 22:00:00+05:30,3.6,32.2,0.0059,30.2,51.5,58.5,20.4,,3.6,,,,
2025-02-19 23:00:00+05:30,3.45,40.5,0.00598,22.0,55.0,62.3,19.1,,0.95,,,,
2025-02-20 00:00:00+05:30,4.33,43.8,0.00593,13.4,55.7,66.3,18.3,,1.57,,,,
2025-02-20 01:00:00+05:30,3.2,37.5,0.006,9.75,50.0,71.5,16.5,,0.95,,,,
2025-02-20 02:00:00+05:30,5.2,33.2,0.006,7.23,49.5,74.8,15.7,,1.95,,,,
2025-02-20 03:00:00+05:30,4.28,35.2,0.006,8.65,50.5,75.5,15.5,,0.825,,,,
2025-02-20 04:00:00+05:30,3.85,28.0,0.0061,12.7,49.5,75.0,16.1,,0.825,,,,
2025-02-20 05:00:00+05:30,3.93,23.6,0.006,15.2,45.5,75.8,16.4,,2.8,,,,
2025-02-20 06:00:00+05:30,3.38,22.4,0.00628,13.9,48.0,78.8,15.9,,3.18,,,,
2025-02-20 07:00:00+05:30,4.58,22.3,0.00628,14.0,47.5,78.5,15.8,,3.35,,,,
2025-02-20 08:00:00+05:30,5.0,21.5,0.0186,11.2,47.7,79.7,15.7,,1.53,,,,
2025-02-21 12:00:00+05:30,1.27,8.4,0.224,52.7,53.0,45.0,27.2,,1.93,,,,
2025-02-21 13:00:00+05:30,4.18,14.4,0.196,68.9,51.0,45.5,27.7,,2.83,,,,
2025-02-21 14:00:00+05:30,4.1,11.2,0.129,88.2,53.7,46.5,27.3,,2.75,,,,
2025-02-21 15:00:00+05:30,4.18,13.0,0.143,95.7,62.0,51.0,27.0,,4.13,,,,
2025-02-21 16:00:00+05:30,4.43,14.7,0.0982,76.0,69.5,56.8,25.6,,4.8,,,,
2025-02-21 17:00:00+05:30,3.48,15.2,0.0515,66.4,67.0,60.0,24.5,,3.7,,,,
2025-02-21 18:00:00+05:30,3.77,16.6,0.00993,52.5,72.0,67.3,22.1,,2.0,,,,
2025-02-21 19:00:00+05:30,4.43,20.6,0.0059,36.3,50.0,73.0,19.4,,1.23,,,,
2025-02-21 20:00:00+05:30,4.53,21.1,0.00598,27.0,32.0,75.8,18.1,,1.1,,,,
2025-02-21 21:00:00+05:30,3.73,21.2,0.006,22.1,29.5,77.3,17.3,,1.28,,,,
2025-02-21 22:00:00+05:30,6.25,26.8,0.006,15.9,32.5,79.0,16.9,,1.25,,,,
2025-02-21 23:00:00+05:30,3.75,20.7,0.006,22.6,30.5,82.0,16.9,,1.95,,,,
2025-02-22 00:00:00+05:30,3.83,17.8,0.006,21.9,28.3,82.0,16.1,,1.77,,,,
2025-02-22 01:00:00+05:30,4.2,19.3,0.0061,19.7,26.0,82.0,15.2,,2.7,,,,
2025-02-22 02:00:00+05:30,4.45,19.1,0.0061,17.5,24.0,82.0,14.8,,2.18,,,,
2025-02-22 03:00:00+05:30,4.2,20.3,0.00618,13.0,25.5,81.5,13.7,,1.55,,,,
2025-02-22 04:00:00+05:30,4.03,16.6,0.00623,14.4,27.0,81.0,13.1,,2.47,,,,
2025-02-22 05:00:00+05:30,3.33,14.6,0.00643,11.9,26.5,81.0,12.4,,1.6,,,,
2025-02-22 06:00:00+05:30,3.48,13.6,0.0068,11.2,24.5,81.0,11.7,,2.58,,,,
2025-02-22 07:00:00+05:30,4.53,15.1,0.00755,12.7,23.0,81.0,11.8,,2.03,,,,
2025-02-22 08:00:00+05:30,3.83,18.7,0.0403,11.6,26.5,81.0,12.5,,1.85,,,,
2025-02-22 09:00:00+05:30,5.73,19.5,0.105,20.0,28.0,80.5,16.0,,2.93,,,,
2025-02-22 10:00:00+05:30,5.3,22.9,0.162,28.0,24.7,74.0,19.0,,3.03,,,,
2025-02-22 11:00:00+05:30,,,0.207,41.3,20.0,68.3,21.2,,4.4,,,,
2025-02-22 12:00:00+05:30,4.85,15.3,0.195,58.8,19.0,60.8,22.7,,5.33,,,,
2025-02-22 13:00:00+05:30,4.83,15.1,0.211,62.7,21.0,54.8,23.8,,5.3,,,,
2025-02-22 14:00:00+05:30,4.28,14.0,0.144,62.2,17.0,53.5,23.9,,5.1,,,,
2025-02-22 15:00:00+05:30,3.13,12.6,0.167,61.8,14.0,50.5,24.7,,4.98,,,,
2025-02-22 16:00:00+05:30,4.4,11.5,0.136,63.4,13.0,49.3,25.0,,4.13,,,,
2025-02-22 17:00:00+05:30,3.8,15.4,0.0734,63.7,11.5,53.5,24.6,,3.63,,,,
2025-02-22 18:00:00+05:30,3.83,18.8,0.0182,57.6,15.0,58.3,22.3,,3.43,,,,
2025-02-22 19:00:00+05:30,4.38,26.5,0.00595,37.2,23.0,67.5,19.0,,1.28,,,,
2025-02-22 20:00:00+05:30,4.53,33.4,0.006,24.4,34.5,69.5,16.9,,0.85,,,,
2025-02-22 21:00:00+05:30,4.35,28.1,0.006,21.9,37.0,72.5,16.0,,0.8,,,,
2025-02-22 22:00:00+05:30,4.15,33.0,0.006,16.1,31.5,74.3,15.4,,0.6,,,,
2025-02-22 23:00:00+05:30,4.3,35.0,0.006,14.5,30.0,76.0,15.1,,0.6,,,,
2025-02-23 00:00:00+05:30,3.73,32.6,0.006,17.0,30.5,77.0,15.0,,0.467,,,,
2025-02-23 01:00:00+05:30,4.3,33.7,0.0061,10.3,36.0,81.0,14.2,,0.3,,,,
2025-02-23 02:00:00+05:30,4.13,37.2,0.0061,12.6,38.5,81.0,14.3,,0.425,,,,
2025-02-23 03:00:00+05:30,4.73,35.6,0.0061,15.9,39.0,82.0,13.9,,0.4,,,,
2025-02-23 04:00:00+05:30,4.2,33.4,0.0061,18.5,38.0,82.0,13.1,,0.325,,,,
2025-02-23 05:00:00+05:30,4.78,27.5,0.00608,16.2,31.5,82.0,12.0,,0.975,,,,
2025-02-23 06:00:00+05:30,3.85,22.0,0.00605,16.1,21.0,81.5,11.4,,0.425,,,,
2025-02-23 07:00:00+05:30,4.0,26.1,0.00688,11.6,22.0,81.0,10.9,,1.28,,,,
2025-02-23 08:00:00+05:30,6.68,26.3,0.0443,11.4,26.0,81.8,12.3,,0.975,,,,
2025-02-23 09:00:00+05:30,6.8,25.8,0.111,23.2,33.0,77.5,16.7,,1.88,,,,
2025-02-23 10:00:00+05:30,6.5,20.9,0.151,35.1,39.0,72.0,19.2,,1.8,,,,
2025-02-23 11:00:00+05:30,2.6,19.2,0.219,60.5,39.0,59.5,23.6,,3.33,,,,
2025-02-23 12:00:00+05:30,3.13,20.0,0.206,77.1,24.0,51.8,25.5,360.0,3.58,,,,
2025-02-23 13:00:00+05:30,4.0,17.9,0.231,73.1,20.0,48.0,26.1,355.0,4.1,,,,
2025-02-23 14:00:00+05:30,3.68,14.2,0.143,71.2,14.5,45.5,27.0,355.0,3.93,,,,
2025-02-23 15:00:00+05:30,3.38,13.1,0.198,70.2,12.5,43.0,27.4,,3.98,,,,
2025-02-23 16:00:00+05:30,4.5,12.4,0.14,70.7,13.0,44.0,27.5,,3.4,,,,
2025-02-23 17:00:00+05:30,3.23,12.7,0.0701,68.3,12.0,46.8,26.8,,2.8,,,,
2025-02-23 18:00:00+05:30,3.55,21.9,0.0185,52.8,12.5,54.5,24.0,,1.55,,,,
2025-02-23 19:00:00+05:30,3.98,31.7,0.0059,38.5,26.0,62.8,20.7,,0.5,,,,
2025-02-23 20:00:00+05:30,2.7,35.6,0.006,32.2,35.0,67.5,19.3,,0.525,,,,
2025-02-23 21:00:00+05:30,4.05,37.7,0.006,18.1,37.5,72.8,17.6,,0.3,,,,
2025-02-23 22:00:00+05:30,4.15,36.6,0.006,16.5,34.5,75.5,16.5,,0.325,,,,
2025-02-23 23:00:00+05:30,4.38,38.3,0.006,7.78,35.0,77.5,15.8,,0.3,,,,
2025-02-24 00:00:00+05:30,4.67,39.6,0.00607,10.3,40.3,78.0,15.8,,0.4,,,,
2025-02-24 01:00:00+05:30,3.7,38.1,0.0061,9.15,43.0,82.0,14.8,,0.3,,,,
2025-02-24 02:00:00+05:30,4.85,38.6,0.00613,9.78,45.0,82.0,14.1,,0.3,,,,
2025-02-24 03:00:00+05:30,5.2,43.1,0.00633,4.63,46.0,81.8,13.3,,0.7,,,,
2025-02-24 04:00:00+05:30,5.83,44.2,0.0064,3.58,44.7,82.0,13.3,357.0,0.6,,,,
2025-02-24 05:00:00+05:30,5.3,42.8,0.0067,4.53,44.5,81.0,12.6,357.0,0.525,,,,
2025-02-24 06:00:00+05:30,5.23,44.5,0.00693,4.63,45.7,81.0,12.0,,0.825,,,,
2025-02-24 07:00:00+05:30,4.77,39.7,0.0077,7.83,43.7,81.0,11.6,,0.867,,,,
2025-02-24 08:00:00+05:30,9.15,36.3,0.0404,10.9,42.0,81.5,13.1,358.0,0.3,,,,
2025-02-24 09:00:00+05:30,8.53,31.8,0.102,22.2,47.5,78.5,16.5,,1.35,,,,
2025-02-24 10:00:00+05:30,6.3,27.1,0.107,34.8,53.0,74.0,18.9,,1.5,,,,
2025-02-24 19:00:00+05:30,1.0,6.73,0.0059,29.2,53.0,64.0,21.2,,1.3,,,,
2025-02-24 20:00:00+05:30,2.88,34.2,0.00598,32.5,44.0,67.0,20.2,,0.625,,,,
2025-02-24 21:00:00+05:30,3.7,33.0,0.006,28.2,43.5,71.3,18.9,,0.3,,,,
2025-02-24 22:00:00+05:30,4.0,39.9,0.006,21.4,45.5,73.0,17.9,,0.35,,,,
2025-02-24 23:00:00+05:30,6.43,55.6,0.006,9.2,45.0,76.8,16.2,,0.3,,,,
2025-02-25 00:00:00+05:30,4.63,52.2,0.00603,9.57,42.3,77.7,15.5,,0.433,,,,
2025-02-25 01:00:00+05:30,4.15,39.6,0.00605,17.0,36.0,76.5,15.4,360.0,0.4,,,,
2025-02-25 02:00:00+05:30,3.67,41.4,0.00607,13.0,37.0,77.0,15.0,358.0,0.333,,,,
2025-02-25 03:00:00+05:30,4.3,44.1,0.0061,10.9,40.5,78.3,14.9,359.0,0.675,,,,
2025-02-25 04:00:00+05:30,5.28,41.9,0.0061,10.2,41.0,78.8,14.8,,1.1,,,,
2025-02-25 05:00:00+05:30,6.28,56.7,0.00613,1.73,41.5,80.8,14.3,,0.3,,,,
2025-02-25 06:00:00+05:30,10.7,56.5,0.0061,1.4,46.0,82.0,13.3,,0.3,,,,
2025-02-25 07:00:00+05:30,12.7,53.2,0.00757,1.7,47.0,81.3,12.3,,0.833,,,,
2025-02-25 08:00:00+05:30,15.4,52.6,0.0399,6.6,47.7,81.7,13.4,,0.933,,,,
2025-02-25 09:00:00+05:30,10.2,39.0,0.101,24.8,52.0,75.8,17.6,,2.75,,,,
2025-02-25 10:00:00+05:30,7.0,26.4,0.164,28.7,53.0,69.5,20.9,,2.35,,,,
2025-02-25 11:00:00+05:30,5.5,25.4,0.2,61.7,53.0,63.0,24.2,,3.43,,,,
2025-02-25 12:00:00+05:30,4.35,24.9,0.194,87.8,42.0,54.3,27.3,,2.6,,,,
2025-02-25 13:00:00+05:30,3.28,25.8,0.195,101.0,40.5,48.0,29.3,,2.45,,,,
2025-02-25 14:00:00+05:30,4.23,23.0,0.125,102.0,32.5,43.5,29.4,,2.35,,,,
2025-02-25 15:00:00+05:30,4.03,22.5,0.146,99.1,26.0,43.3,29.7,339.0,2.87,,,,
2025-02-25 16:00:00+05:30,4.53,22.2,0.133,92.9,26.3,43.7,29.0,348.0,4.97,,,,
2025-02-25 17:00:00+05:30,0.0,4.4,0.0453,28.6,,44.0,28.4,,2.1,,,,
2025-02-25 18:00:00+05:30,3.17,17.1,0.0166,62.3,31.0,48.5,26.1,358.0,1.6,,,,
2025-02-25 19:00:00+05:30,3.4,20.6,0.00595,53.3,28.5,56.0,22.8,350.0,0.85,,,,
2025-02-25 20:00:00+05:30,2.73,33.7,0.006,42.3,28.0,57.3,22.2,353.0,0.55,,,,
2025-02-25 21:00:00+05:30,3.35,62.7,0.006,16.9,42.0,58.0,21.5,352.0,0.3,,,,
2025-02-25 22:00:00+05:30,8.43,68.2,0.006,4.05,54.5,61.3,20.1,355.0,0.525,,,,
2025-02-25 23:00:00+05:30,19.4,83.9,0.006,1.88,57.7,64.5,19.3,354.0,0.6,,,,
2025-02-26 00:00:00+05:30,5.0,77.3,0.00607,9.77,56.3,62.7,19.4,,0.3,,,,
2025-02-26 01:00:00+05:30,9.6,70.8,0.006,2.9,49.0,66.5,18.1,,0.9,,,,
2025-02-26 02:00:00+05:30,7.85,57.9,0.006,2.68,49.7,71.0,17.1,359.0,0.575,,,,
2025-02-26 03:00:00+05:30,5.83,46.0,0.00603,2.35,48.5,73.8,16.6,,0.325,,,,
2025-02-26 04:00:00+05:30,5.6,43.9,0.006,6.28,46.5,72.8,17.7,,0.575,,,,
2025-02-26 05:00:00+05:30,4.38,36.5,0.00603,8.95,49.5,73.3,17.7,,2.4,,,,
2025-02-26 06:00:00+05:30,4.05,33.8,0.006,8.2,61.0,75.5,17.4,,0.725,,,,
2025-02-26 07:00:00+05:30,5.13,29.0,0.00608,9.35,66.5,75.8,17.3,,0.325,,,,
2025-02-26 08:00:00+05:30,4.8,30.0,0.0192,10.4,68.5,76.8,17.3,,1.6,,,,
2025-02-26 09:00:00+05:30,7.68,29.7,0.056,18.5,70.5,75.0,19.5,,2.08,,,,
2025-02-26 10:00:00+05:30,7.87,29.5,0.0828,24.5,74.7,71.0,21.9,354.0,1.33,,,,
2025-02-27 12:00:00+05:30,0.0,0.0,0.0728,9.77,,70.3,22.5,168.0,5.3,,,,
2025-02-27 13:00:00+05:30,3.28,8.88,0.0803,24.7,32.0,67.8,22.7,165.0,5.2,,,,
2025-02-27 14:00:00+05:30,4.03,11.9,0.0958,35.7,29.5,64.5,23.3,182.0,7.38,,,,
2025-02-27 15:00:00+05:30,3.88,14.3,0.0732,42.2,23.5,62.8,23.3,190.0,7.05,,,,
2025-02-27 16:00:00+05:30,3.28,13.0,0.0394,40.1,13.5,62.8,23.3,188.0,5.05,,,,
2025-02-27 17:00:00+05:30,3.53,15.6,0.0279,34.5,11.0,62.8,22.9,188.0,3.9,,,,
2025-02-27 18:00:00+05:30,2.9,19.7,0.011,32.0,15.7,63.7,22.4,201.0,3.73,,,,
2025-02-28 09:00:00+05:30,4.9,18.8,0.0783,20.6,7.0,77.5,19.5,215.0,2.85,,,,
2025-02-28 10:00:00+05:30,4.78,18.0,0.05,25.4,6.5,75.8,20.4,214.0,3.23,,,,
2025-02-28 11:00:00+05:30,5.4,18.4,0.0735,25.0,7.5,78.3,20.2,206.0,4.2,,,,
2025-02-28 12:00:00+05:30,5.68,16.0,0.0929,34.1,13.5,73.3,21.5,212.0,6.6,,,,
2025-02-28 13:00:00+05:30,4.88,15.3,0.179,38.8,14.5,69.0,23.4,214.0,6.65,,,,
2025-02-28 14:00:00+05:30,,23.7,,,11.0,,,,,,,,
2025-02-28 15:00:00+05:30,0.0,0.0,,,11.0,,,,,,,,
2025-02-28 16:00:00+05:30,1.73,11.2,0.128,44.4,11.0,60.5,27.9,252.0,3.75,,,,
2025-02-28 17:00:00+05:30,4.28,15.0,0.0647,48.8,21.0,63.8,26.6,242.0,4.58,,,,
2025-02-28 18:00:00+05:30,3.38,18.7,0.0126,43.4,19.0,70.0,24.1,249.0,4.43,,,,
2025-02-28 19:00:00+05:30,4.1,22.3,0.00605,32.5,19.5,73.3,22.3,245.0,3.83,,,,
2025-03-01 01:00:00+05:30,3.8,19.1,0.0062,11.6,24.0,79.5,19.3,209.0,3.65,,,,
2025-03-01 02:00:00+05:30,3.53,22.6,0.007,9.37,25.3,82.0,18.7,210.0,1.63,,,,
2025-03-01 03:00:00+05:30,3.38,19.4,0.0065,10.1,24.5,82.0,17.8,195.0,3.98,,,,
2025-03-01 04:00:00+05:30,3.8,16.7,0.00628,13.2,19.5,82.0,17.2,195.0,3.55,,,,
2025-03-01 05:00:00+05:30,4.13,14.4,0.00625,10.9,16.0,82.0,16.9,196.0,0.55,,,,
2025-03-01 06:00:00+05:30,4.33,13.1,0.0066,8.9,15.0,82.0,16.9,196.0,2.88,,,,
2025-03-01 07:00:00+05:30,3.5,14.0,0.00633,22.7,11.5,82.0,17.6,195.0,3.95,,,,
2025-03-01 08:00:00+05:30,4.2,11.3,0.013,20.3,11.5,82.0,18.2,190.0,0.75,,,,
2025-03-01 09:00:00+05:30,3.6,12.5,0.0492,18.9,20.0,82.0,19.7,191.0,0.65,,,,
2025-03-01 10:00:00+05:30,4.23,14.4,0.102,24.2,16.0,78.0,21.1,192.0,2.18,,,,
2025-03-01 11:00:00+05:30,5.1,22.4,0.143,29.9,15.0,75.3,22.4,213.0,4.2,,,,
2025-03-01 12:00:00+05:30,4.23,20.0,0.134,38.3,21.0,71.5,24.2,199.0,2.53,,,,
2025-03-01 13:00:00+05:30,4.4,20.6,0.209,47.5,21.0,66.8,26.5,206.0,2.45,,,,
2025-03-01 14:00:00+05:30,4.28,16.7,0.12,59.9,16.0,58.5,28.5,203.0,2.23,,,,
2025-03-01 15:00:00+05:30,3.65,14.5,0.175,62.9,15.3,53.5,30.1,216.0,1.55,,,,
2025-03-01 16:00:00+05:30,3.3,12.9,0.127,65.6,17.3,52.3,30.1,227.0,1.28,,,,
2025-03-01 17:00:00+05:30,3.55,11.2,0.0698,58.6,17.5,55.8,28.5,230.0,2.1,,,,
2025-03-01 18:00:00+05:30,3.55,12.8,0.0193,43.7,17.5,68.8,24.7,246.0,1.7,,,,
2025-03-01 19:00:00+05:30,3.58,17.6,0.0061,32.1,18.5,74.8,21.7,228.0,0.975,,,,
2025-03-01 20:00:00+05:30,4.0,19.1,0.0061,33.4,20.5,75.3,20.7,232.0,0.425,,,,
2025-03-01 21:00:00+05:30,3.25,22.9,0.0061,21.4,22.0,77.8,19.7,215.0,0.5,,,,
2025-03-01 22:00:00+05:30,3.95,25.7,0.00613,17.0,24.5,79.3,18.7,219.0,0.6,,,,
2025-03-01 23:00:00+05:30,3.73,22.2,0.00613,17.8,32.0,79.3,19.0,219.0,1.03,,,,
2025-03-02 00:00:00+05:30,3.5,20.3,0.0062,15.7,36.7,82.0,18.1,202.0,0.367,,,,
2025-03-02 01:00:00+05:30,5.4,29.8,0.00615,6.7,41.0,82.0,17.4,227.0,0.6,,,,
2025-03-02 02:00:00+05:30,5.98,29.4,0.0062,9.65,35.5,82.0,17.4,217.0,1.7,,,,
2025-03-02 03:00:00+05:30,3.63,23.7,0.0062,18.3,28.5,82.0,17.4,206.0,1.93,,,,
2025-03-02 04:00:00+05:30,4.1,19.3,0.0062,19.4,25.0,82.0,17.0,211.0,1.48,,,,
2025-03-02 05:00:00+05:30,4.1,18.7,0.0062,18.7,21.0,82.0,16.3,220.0,1.55,,,,
2025-03-02 06:00:00+05:30,3.37,18.7,0.0062,18.6,18.3,82.0,15.2,236.0,1.67,,,,
2025-03-02 07:00:00+05:30,4.15,17.0,0.00803,13.2,17.5,82.0,14.2,222.0,1.03,,,,
2025-03-02 08:00:00+05:30,6.58,19.0,0.0512,8.78,21.3,82.0,14.8,214.0,1.5,,,,
2025-03-02 09:00:00+05:30,8.6,19.8,0.125,16.5,29.5,78.3,18.1,203.0,2.0,,,,
2025-03-02 10:00:00+05:30,4.0,10.0,0.169,24.2,29.0,74.0,20.1,237.0,2.4,,,,
2025-03-02 11:00:00+05:30,6.75,31.5,0.242,41.4,29.0,64.5,24.4,255.0,4.18,,,,
