Local Time,NO,NOX,PM25,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM10,NO2,CO,O3
2025-10-01 13:00:00+05:30,0.0,0.0,3160.0,-25.0,0.0,-52.0,122.0,0.308,,,,
2025-10-01 14:00:00+05:30,0.0,0.0,67.4,-25.0,0.0,-52.0,261.0,0.7,,,,
2025-10-01 15:00:00+05:30,0.0,0.0,123.0,-25.0,0.0,-52.0,271.0,0.74,,,,
2025-10-01 16:00:00+05:30,0.0,0.0,95.8,-25.0,0.0,-52.0,261.0,0.765,,,,
2025-10-01 17:00:00+05:30,0.0,0.0,68.0,-25.0,2.5,-52.0,262.0,0.895,,,,
2025-10-01 18:00:00+05:30,0.0,0.0,53.7,-25.0,2.56,-52.0,263.0,0.987,,,,
2025-10-01 19:00:00+05:30,0.0,0.0,36.4,-25.0,2.55,-52.0,258.0,0.99,,,,
2025-10-01 20:00:00+05:30,0.0,0.0,29.5,-25.0,3.28,-52.0,257.0,0.983,,,,
2025-10-01 21:00:00+05:30,0.0,0.0,26.5,-25.0,5.25,-52.0,252.0,0.987,,,,
2025-10-01 22:00:00+05:30,0.0,0.0,25.1,-25.0,5.24,-52.0,256.0,0.95,,,,
2025-10-02 01:00:00+05:30,0.0,0.0,21.9,-25.0,0.97,-52.0,263.0,0.99,,,,
2025-10-02 02:00:00+05:30,0.0,0.0,21.6,-25.0,2.01,-52.0,261.0,0.988,,,,
2025-10-02 03:00:00+05:30,0.0,0.0,21.1,-25.0,2.86,-52.0,255.0,0.988,,,,
2025-10-02 04:00:00+05:30,0.0,0.0,20.8,-25.0,5.05,-52.0,256.0,0.988,,,,
2025-10-02 05:00:00+05:30,0.0,0.0,20.5,-25.0,4.95,-52.0,259.0,0.99,,,,
2025-10-02 06:00:00+05:30,0.0,0.0,20.5,-25.0,5.01,-52.0,253.0,0.99,,,,
2025-10-02 07:00:00+05:30,0.0,0.0,20.9,-25.0,4.57,-52.0,253.0,0.985,,,,
2025-10-02 08:00:00+05:30,0.0,0.0,21.3,-25.0,2.97,-52.0,254.0,0.968,,,,
2025-10-02 09:00:00+05:30,0.0,0.0,20.9,-25.0,3.75,-52.0,251.0,0.85,,,,
2025-10-02 10:00:00+05:30,0.0,0.0,20.6,-25.0,5.92,-52.0,239.0,0.71,,,,
2025-10-02 11:00:00+05:30,0.0,0.0,20.4,-25.0,5.06,-52.0,241.0,0.577,,,,
2025-10-02 12:00:00+05:30,0.0,0.0,20.4,-25.0,3.31,-52.0,216.0,0.365,,,,
2025-10-02 13:00:00+05:30,0.0,0.0,20.3,-25.0,3.41,-52.0,210.0,0.39,,,,
2025-10-02 14:00:00+05:30,0.0,0.0,21.2,-25.0,4.06,-52.0,315.0,0.375,,,,
2025-10-02 15:00:00+05:30,0.0,0.0,26.4,-25.0,4.0,-52.0,131.0,0.315,,,,
2025-10-02 16:00:00+05:30,0.0,0.0,30.2,-25.0,3.59,-52.0,273.0,0.843,,,,
2025-10-02 17:00:00+05:30,0.0,0.0,27.4,-25.0,3.38,-52.0,271.0,0.768,,,,
2025-10-02 18:00:00+05:30,0.0,0.0,25.2,-25.0,2.58,-52.0,299.0,0.808,,,,
2025-10-02 19:00:00+05:30,0.0,0.0,23.7,-25.0,2.59,-52.0,280.0,0.538,,,,
2025-10-02 20:00:00+05:30,0.0,0.0,22.5,-25.0,3.25,-52.0,261.0,0.8,,,,
2025-10-02 21:00:00+05:30,0.0,0.0,21.8,-25.0,5.2,-52.0,264.0,0.835,,,,
2025-10-02 22:00:00+05:30,0.0,0.0,21.2,-25.0,4.71,-52.0,186.0,0.238,,,,
2025-10-02 23:00:00+05:30,0.0,0.0,20.9,-25.0,3.21,-52.0,248.0,0.513,,,,
2025-10-03 00:00:00+05:30,0.0,0.0,20.7,-25.0,3.22,-52.0,175.0,0.46,,,,
2025-10-03 01:00:00+05:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2025-10-03 02:00:00+05:30,0.0,0.0,15.2,-25.0,1.55,-52.0,192.0,0.46,,,,
2025-10-03 03:00:00+05:30,0.0,0.0,20.2,-25.0,2.7,-52.0,212.0,0.553,,,,
2025-10-03 04:00:00+05:30,0.0,0.0,20.2,-25.0,4.96,-52.0,199.0,0.62,,,,
2025-10-03 05:00:00+05:30,0.0,0.0,20.1,-25.0,5.01,-52.0,224.0,0.605,,,,
2025-10-03 06:00:00+05:30,0.0,0.0,20.3,-25.0,4.98,-52.0,241.0,0.633,,,,
2025-10-03 07:00:00+05:30,0.0,0.0,20.4,-25.0,4.3,-52.0,278.0,0.827,,,,
2025-10-03 08:00:00+05:30,0.0,0.0,20.3,-25.0,3.01,-52.0,237.0,0.533,,,,
2025-10-03 09:00:00+05:30,0.0,0.0,20.2,-25.0,3.77,-52.0,175.0,0.458,,,,
2025-10-03 10:00:00+05:30,0.0,0.0,20.2,-25.0,6.03,-52.0,167.0,0.19,,,,
2025-10-03 11:00:00+05:30,0.0,0.0,146.0,-25.0,5.33,-52.0,181.0,0.385,,,,
2025-10-03 12:00:00+05:30,0.0,0.0,188.0,-25.0,3.22,-52.0,212.0,0.445,,,,
2025-10-03 13:00:00+05:30,0.0,0.0,77.6,-25.0,3.5,-52.0,265.0,0.513,,,,
2025-10-03 14:00:00+05:30,0.0,0.0,319.0,-25.0,4.11,-52.0,245.0,0.538,,,,
2025-10-03 15:00:00+05:30,0.0,0.0,316.0,-25.0,4.03,-52.0,276.0,0.645,,,,
2025-10-03 16:00:00+05:30,0.0,0.0,26.9,-25.0,3.76,-52.0,291.0,0.61,,,,
2025-10-03 17:00:00+05:30,0.0,0.0,71.4,-25.0,3.25,-52.0,250.0,0.625,,,,
2025-10-03 18:00:00+05:30,0.0,0.0,75.3,-25.0,2.55,-52.0,257.0,0.753,,,,
2025-10-03 19:00:00+05:30,0.0,0.0,105.0,-25.0,2.53,-52.0,253.0,0.968,,,,
2025-10-03 20:00:00+05:30,0.0,0.0,61.4,-25.0,3.45,-52.0,257.0,0.973,,,,
2025-10-03 21:00:00+05:30,0.0,0.0,132.0,-25.0,5.27,-52.0,253.0,0.98,,,,
2025-10-03 22:00:00+05:30,0.0,0.0,50.9,-25.0,4.76,-52.0,258.0,0.99,,,,
2025-10-03 23:00:00+05:30,0.0,0.0,39.6,-25.0,3.23,-52.0,257.0,0.973,,,,
2025-10-04 00:00:00+05:30,0.0,0.0,35.8,-25.0,3.27,-52.0,259.0,0.985,,,,
2025-10-04 01:00:00+05:30,0.0,0.0,229.0,-25.0,0.995,-52.0,255.0,0.995,,,,
2025-10-04 02:00:00+05:30,0.0,0.0,52.3,-25.0,2.0,-52.0,260.0,0.993,,,,
2025-10-04 03:00:00+05:30,0.0,0.0,118.0,-25.0,2.67,-52.0,258.0,0.988,,,,
2025-10-04 04:00:00+05:30,0.0,0.0,140.0,-25.0,4.91,-52.0,257.0,0.983,,,,
2025-10-04 05:00:00+05:30,0.0,0.0,304.0,-25.0,4.97,-52.0,258.0,0.985,,,,
2025-10-04 06:00:00+05:30,0.0,0.0,62.0,-25.0,4.98,-52.0,257.0,0.988,,,,
2025-10-04 07:00:00+05:30,0.0,0.0,56.3,-25.0,4.54,-52.0,259.0,0.99,,,,
2025-10-04 08:00:00+05:30,0.0,0.0,70.9,-25.0,3.02,-52.0,268.0,0.95,,,,
2025-10-04 09:00:00+05:30,0.0,0.0,262.0,-25.0,3.72,-52.0,274.0,0.93,,,,
2025-10-04 10:00:00+05:30,0.0,0.0,22.0,-25.0,6.02,-52.0,282.0,1.0,,,,
2025-10-04 11:00:00+05:30,0.0,0.0,20.2,-25.0,5.35,-52.0,281.0,1.05,,,,
2025-10-04 12:00:00+05:30,0.0,0.0,38.7,-25.0,3.23,-52.0,282.0,1.08,,,,
2025-10-04 13:00:00+05:30,0.0,0.0,116.0,-25.0,3.34,-52.0,278.0,1.23,,,,
2025-10-04 14:00:00+05:30,0.0,0.0,60.5,-25.0,4.04,-52.0,268.0,1.15,,,,
2025-10-04 15:00:00+05:30,0.0,0.0,71.7,-25.0,3.94,-52.0,278.0,1.01,,,,
2025-10-04 16:00:00+05:30,0.0,0.0,65.0,-25.0,3.63,-52.0,275.0,0.995,,,,
2025-10-04 17:00:00+05:30,0.0,0.0,140.0,-25.0,3.38,-52.0,273.0,0.95,,,,
2025-10-04 18:00:00+05:30,0.0,0.0,70.6,-25.0,2.59,-52.0,259.0,0.908,,,,
2025-10-04 19:00:00+05:30,0.0,0.0,73.6,-25.0,2.53,-52.0,255.0,0.93,,,,
2025-10-04 20:00:00+05:30,0.0,0.0,42.1,-25.0,3.28,-52.0,255.0,0.985,,,,
2025-10-04 21:00:00+05:30,0.0,0.0,91.8,-25.0,5.29,-52.0,255.0,0.973,,,,
2025-10-04 22:00:00+05:30,0.0,0.0,374.0,-25.0,4.78,-52.0,261.0,0.948,,,,
2025-10-04 23:00:00+05:30,0.0,0.0,388.0,-25.0,3.2,-52.0,260.0,0.945,,,,
2025-10-05 00:00:00+05:30,0.0,0.0,1550.0,-25.0,3.21,-52.0,253.0,0.955,,,,
2025-10-05 01:00:00+05:30,0.0,0.0,311.0,-25.0,0.985,-52.0,251.0,0.925,,,,
