Local Time,CO,NO,NO2,NOX,O3,PM10,PM25,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,NH3
2025-02-19 02:00:00+05:30,0.51,35.3,86.5,0.0748,26.9,118.0,62.8,99.5,19.8,10.7,89.2,0.38,
2025-02-19 03:00:00+05:30,0.485,33.4,84.6,0.0722,27.5,92.0,49.1,99.6,19.3,9.82,38.7,0.19,
2025-02-19 04:00:00+05:30,0.478,34.7,83.7,0.0727,27.5,87.9,49.2,99.6,16.3,9.68,117.0,0.375,
2025-02-19 05:00:00+05:30,0.48,33.3,84.6,0.0721,47.3,93.3,52.1,98.9,14.6,11.7,259.0,2.18,
2025-02-19 06:00:00+05:30,0.59,33.5,84.8,0.0723,31.9,144.0,78.6,99.5,13.6,10.1,178.0,1.62,
2025-02-19 07:00:00+05:30,0.893,30.4,83.8,0.0693,28.6,164.0,88.5,99.6,15.3,8.82,349.0,0.43,
2025-02-19 08:00:00+05:30,0.873,33.1,80.9,0.0699,33.1,148.0,79.4,98.5,14.8,13.8,278.0,0.225,
2025-02-19 09:00:00+05:30,0.897,16.7,43.8,0.0369,58.4,178.0,97.9,65.9,17.6,21.8,261.0,1.16,
2025-02-19 10:00:00+05:30,0.89,18.2,50.9,0.0418,90.7,181.0,98.7,47.0,11.7,26.3,325.0,2.7,
2025-02-19 11:00:00+05:30,0.91,22.0,48.3,0.0436,96.2,138.0,73.8,37.4,10.2,28.7,345.0,2.72,
2025-02-19 12:00:00+05:30,0.89,19.4,50.5,0.0427,95.1,148.0,75.6,30.8,7.8,30.8,260.0,3.18,
2025-02-19 13:00:00+05:30,0.78,18.8,52.8,0.0433,104.0,166.0,84.6,28.1,7.99,31.2,175.0,3.78,
2025-02-19 14:00:00+05:30,0.76,16.2,57.2,0.043,122.0,114.0,60.6,24.1,3.73,32.0,256.0,2.41,
2025-02-19 15:00:00+05:30,0.785,19.3,57.9,0.0465,120.0,112.0,59.3,19.7,5.68,32.9,339.0,2.35,
