Local Time,PM1,PM25,RELATIVEHUMIDITY,TEMPERATURE,UM003
2025-06-08 15:00:00+05:30,31.3,47.8,49.5,31.2,2100.0
2025-06-08 16:00:00+05:30,29.8,45.4,45.7,32.3,1940.0
2025-06-08 17:00:00+05:30,29.2,44.7,45.1,32.3,1880.0
2025-06-08 18:00:00+05:30,28.6,43.8,44.0,32.3,1800.0
2025-06-08 19:00:00+05:30,28.2,43.3,43.5,32.5,1790.0
2025-06-08 20:00:00+05:30,28.8,44.2,43.8,32.5,1840.0
2025-06-08 21:00:00+05:30,31.7,48.8,43.5,32.6,2210.0
2025-06-08 22:00:00+05:30,33.3,50.8,44.1,32.6,2390.0
2025-06-08 23:00:00+05:30,33.4,51.0,43.5,32.8,2420.0
2025-06-09 00:00:00+05:30,35.4,55.3,42.6,32.8,2650.0
2025-06-09 01:00:00+05:30,36.7,57.2,41.5,33.1,2730.0
2025-06-09 02:00:00+05:30,39.3,60.9,41.1,33.1,2910.0
2025-06-09 03:00:00+05:30,43.4,68.5,41.6,33.1,3220.0
2025-06-09 04:00:00+05:30,41.5,65.2,40.8,33.0,3060.0
2025-06-09 05:00:00+05:30,38.2,60.0,40.1,33.0,2840.0
2025-06-09 06:00:00+05:30,33.9,53.1,39.9,33.0,2490.0
2025-06-09 07:00:00+05:30,31.3,48.3,40.1,33.0,2150.0
2025-06-09 08:00:00+05:30,29.2,44.5,39.6,33.0,1910.0
2025-06-09 09:00:00+05:30,27.8,42.4,42.0,32.6,1740.0
2025-06-09 10:00:00+05:30,28.0,43.2,43.0,32.8,1790.0
2025-06-09 11:00:00+05:30,28.5,44.4,45.0,32.8,1840.0
2025-06-09 12:00:00+05:30,27.9,42.8,44.6,32.9,1760.0
2025-06-09 13:00:00+05:30,26.8,40.6,43.6,33.0,1630.0
2025-06-09 14:00:00+05:30,25.2,38.1,42.6,33.0,1490.0
2025-06-09 15:00:00+05:30,23.9,36.7,41.7,33.0,1390.0
2025-06-09 16:00:00+05:30,22.9,34.6,40.9,33.1,1290.0
2025-06-09 17:00:00+05:30,20.7,30.5,39.8,33.1,1090.0
2025-06-09 18:00:00+05:30,20.0,29.4,38.9,33.1,1040.0
2025-06-09 19:00:00+05:30,16.2,27.1,39.5,33.1,929.0
2025-06-09 20:00:00+05:30,13.0,24.4,39.6,33.1,832.0
2025-06-09 21:00:00+05:30,11.5,23.2,39.8,32.7,779.0
2025-06-09 22:00:00+05:30,12.6,24.6,39.6,33.0,818.0
2025-06-09 23:00:00+05:30,15.0,26.1,39.6,33.0,880.0
2025-06-10 00:00:00+05:30,21.2,33.0,37.8,33.0,1180.0
2025-06-10 01:00:00+05:30,22.7,35.5,37.7,33.0,1300.0
2025-06-10 02:00:00+05:30,21.4,32.7,36.1,33.4,1180.0
2025-06-10 03:00:00+05:30,19.4,29.4,35.2,33.4,1020.0
2025-06-10 04:00:00+05:30,13.8,24.9,34.5,33.4,836.0
2025-06-10 05:00:00+05:30,8.03,19.7,34.2,33.3,686.0
2025-06-10 06:00:00+05:30,6.06,15.5,33.9,33.3,580.0
2025-06-10 07:00:00+05:30,4.9,11.3,33.8,33.2,519.0
2025-06-10 08:00:00+05:30,5.14,11.8,34.2,33.2,530.0
2025-06-10 09:00:00+05:30,7.76,20.2,36.2,33.1,663.0
2025-06-10 10:00:00+05:30,17.9,30.5,40.0,32.6,976.0
2025-06-10 11:00:00+05:30,20.6,32.3,39.2,33.0,1100.0
2025-06-10 12:00:00+05:30,20.3,31.6,38.2,33.1,1060.0
2025-06-10 13:00:00+05:30,20.1,30.4,38.8,32.5,1040.0
2025-06-10 14:00:00+05:30,19.0,28.8,37.4,33.1,985.0
2025-06-10 15:00:00+05:30,18.4,28.3,36.7,33.1,959.0
2025-06-10 16:00:00+05:30,10.6,22.6,35.2,33.1,765.0
