Local Time,CO,NO,NOX,O3,PM10,PM25,NO2,SO2,NH3
2025-02-19 02:00:00+05:30,1.38,55.8,0.0751,16.1,157.0,,,,
2025-02-19 03:00:00+05:30,1.43,83.4,0.0967,16.1,150.0,,,,
2025-02-19 04:00:00+05:30,1.3,84.6,0.093,17.1,159.0,,,,
2025-02-19 05:00:00+05:30,1.26,79.8,0.0868,17.4,153.0,,,,
2025-02-19 06:00:00+05:30,0.996,53.7,0.0627,19.1,159.0,,,,
2025-02-19 07:00:00+05:30,0.823,41.0,0.0545,18.8,142.0,,,,
2025-02-19 08:00:00+05:30,0.868,44.9,0.0615,18.2,140.0,,,,
2025-02-19 10:00:00+05:30,0.886,14.1,0.0364,16.1,204.0,,,,
2025-02-19 11:00:00+05:30,0.78,8.87,0.028,21.8,202.0,,,,
2025-02-19 12:00:00+05:30,0.659,6.09,0.021,48.7,202.0,,,,
2025-02-19 13:00:00+05:30,0.528,4.53,0.0132,84.7,155.0,,,,
2025-02-19 14:00:00+05:30,0.364,3.71,0.0103,94.5,144.0,,,,
2025-02-19 15:00:00+05:30,0.33,3.97,0.00987,102.0,132.0,,,,
2025-02-19 16:00:00+05:30,0.311,3.92,0.00936,96.9,126.0,,,,
2025-02-19 17:00:00+05:30,0.333,3.61,0.00794,97.6,108.0,,,,
2025-02-19 18:00:00+05:30,0.459,3.81,0.0168,75.0,109.0,,,,
2025-02-19 19:00:00+05:30,0.499,3.97,0.024,56.0,109.0,,,,
2025-02-19 20:00:00+05:30,1.03,29.7,0.0615,39.4,102.0,,,,
2025-02-19 21:00:00+05:30,1.2,20.0,0.0648,26.1,153.0,,,,
2025-02-19 22:00:00+05:30,1.31,26.1,0.0667,23.9,225.0,,,,
2025-02-19 23:00:00+05:30,1.02,14.2,0.0485,21.4,203.0,,,,
2025-02-20 00:00:00+05:30,0.859,14.2,0.0423,21.4,183.0,,,,
2025-02-20 01:00:00+05:30,0.983,116.0,0.132,16.8,150.0,,,,
2025-02-20 10:00:00+05:30,1.08,13.1,0.043,20.9,174.0,,,,
2025-02-20 11:00:00+05:30,0.783,9.7,0.0333,24.1,161.0,,,,
2025-02-20 12:00:00+05:30,0.542,6.29,0.0192,27.7,130.0,,,,
2025-02-20 13:00:00+05:30,0.533,5.66,0.0166,40.3,103.0,,,,
2025-02-20 14:00:00+05:30,0.479,4.74,0.0126,52.4,101.0,,,,
2025-02-20 15:00:00+05:30,0.25,4.1,0.00972,60.6,99.9,,,,
2025-02-20 16:00:00+05:30,0.419,4.2,0.00942,65.0,91.0,,,,
2025-02-20 17:00:00+05:30,0.25,4.63,0.0104,72.3,78.3,,,,
2025-02-21 08:00:00+05:30,1.15,98.0,0.104,19.9,181.0,,,,
2025-02-21 10:00:00+05:30,0.568,19.1,0.043,16.4,132.0,,,,
2025-02-21 11:00:00+05:30,0.721,13.3,0.0342,30.4,125.0,,,,
2025-02-21 12:00:00+05:30,0.42,7.24,0.0232,58.8,131.0,,,,
2025-02-21 13:00:00+05:30,0.724,4.98,0.0199,87.7,157.0,,,,
2025-02-21 14:00:00+05:30,0.622,4.29,0.0188,98.7,211.0,,,,
2025-02-21 15:00:00+05:30,0.535,3.98,0.0119,97.1,177.0,,,,
2025-02-21 16:00:00+05:30,0.665,4.0,0.0101,101.0,128.0,,,,
2025-02-21 17:00:00+05:30,0.521,3.72,0.00925,95.4,118.0,,,,
2025-02-21 18:00:00+05:30,0.497,3.78,0.0112,86.8,101.0,,,,
2025-02-21 19:00:00+05:30,0.534,3.76,0.0125,81.3,111.0,,,,
2025-02-21 20:00:00+05:30,0.668,4.05,0.0177,48.1,122.0,,,,
2025-02-21 21:00:00+05:30,0.889,4.3,0.0194,31.2,129.0,,,,
2025-02-21 22:00:00+05:30,0.793,4.35,0.0177,30.4,123.0,,,,
2025-02-21 23:00:00+05:30,0.514,4.03,0.0166,27.1,96.9,,,,
2025-02-22 00:00:00+05:30,0.547,4.01,0.0144,27.2,94.3,,,,
2025-02-22 02:00:00+05:30,0.474,4.23,0.013,21.0,75.4,,,,
2025-02-22 03:00:00+05:30,0.423,4.28,0.0118,21.9,80.4,,,,
2025-02-22 04:00:00+05:30,0.397,4.04,0.01,21.7,89.1,,,,
2025-02-22 05:00:00+05:30,0.439,4.48,0.00983,23.5,81.4,,,,
2025-02-22 06:00:00+05:30,0.52,4.01,0.00953,23.0,71.7,,,,
2025-02-22 07:00:00+05:30,0.486,3.83,0.01,20.2,62.4,,,,
2025-02-22 08:00:00+05:30,0.465,4.54,0.0126,20.1,62.6,,,,
2025-02-22 09:00:00+05:30,0.458,6.68,0.016,19.6,81.0,,,,
2025-02-22 10:00:00+05:30,0.649,7.03,0.0174,18.2,97.5,,,,
2025-02-22 11:00:00+05:30,0.633,6.26,0.0157,22.2,142.0,,,,
2025-02-22 12:00:00+05:30,0.567,4.4,0.0115,46.9,147.0,,,,
2025-02-22 13:00:00+05:30,0.475,3.89,0.0089,57.6,113.0,,,,
2025-02-22 14:00:00+05:30,0.464,3.34,0.00751,65.0,96.8,,,,
2025-02-22 15:00:00+05:30,0.25,3.63,0.00716,59.5,88.3,,,,
2025-02-22 16:00:00+05:30,0.216,3.66,0.00616,72.4,82.1,,,,
2025-02-22 17:00:00+05:30,0.309,3.9,0.00635,75.0,75.9,,,,
2025-02-22 18:00:00+05:30,0.401,3.73,0.00649,83.6,63.0,,,,
2025-02-22 19:00:00+05:30,0.384,3.56,0.0104,68.7,52.4,,,,
2025-02-22 20:00:00+05:30,0.52,3.69,0.0176,44.2,79.8,,,,
2025-02-22 21:00:00+05:30,0.709,3.63,0.0239,30.1,87.1,,,,
2025-02-22 22:00:00+05:30,0.631,3.86,0.0212,32.8,82.3,,,,
2025-02-22 23:00:00+05:30,0.813,3.98,0.0214,30.5,88.7,,,,
2025-02-23 00:00:00+05:30,0.769,4.91,0.0289,20.6,86.4,,,,
2025-02-23 02:00:00+05:30,0.739,5.21,0.0294,17.1,87.5,,,,
2025-02-23 03:00:00+05:30,0.549,4.42,0.0214,18.3,83.4,,,,
2025-02-23 04:00:00+05:30,0.617,4.65,0.0204,18.4,82.9,,,,
2025-02-23 05:00:00+05:30,0.665,4.8,0.0208,18.2,100.0,,,,
2025-02-23 06:00:00+05:30,0.584,4.94,0.0181,17.0,120.0,,,,
2025-02-23 07:00:00+05:30,0.605,4.95,0.0164,17.4,95.1,,,,
2025-02-23 08:00:00+05:30,0.673,21.6,0.0323,17.8,82.9,,,,
2025-02-23 09:00:00+05:30,0.662,10.0,0.0273,20.8,96.9,,,,
2025-02-23 10:00:00+05:30,0.735,7.03,0.0232,12.6,116.0,,,,
2025-02-23 11:00:00+05:30,0.617,4.63,0.0153,33.3,120.0,,,,
2025-02-23 12:00:00+05:30,0.508,3.87,0.0116,63.7,139.0,,,,
2025-02-23 13:00:00+05:30,0.358,3.63,0.01,73.3,149.0,,,,
2025-02-23 14:00:00+05:30,0.275,4.25,0.00716,65.2,143.0,,,,
2025-02-23 15:00:00+05:30,0.306,3.4,0.00603,69.7,93.7,,,,
2025-02-23 16:00:00+05:30,0.401,3.36,0.00651,88.8,90.9,,,,
2025-02-23 17:00:00+05:30,0.393,3.29,0.00691,90.9,91.9,,,,
2025-02-23 18:00:00+05:30,0.285,3.45,0.00692,89.9,91.7,,,,
2025-02-23 19:00:00+05:30,0.355,3.43,0.00984,76.7,67.1,,,,
2025-02-23 20:00:00+05:30,0.42,3.56,0.0149,53.4,88.2,,,,
2025-02-23 21:00:00+05:30,0.987,13.7,0.0426,26.0,98.8,,,,
2025-02-23 22:00:00+05:30,1.5,49.6,0.0842,17.9,148.0,,,,
2025-02-23 23:00:00+05:30,1.38,16.7,0.052,19.3,168.0,,,,
2025-02-24 00:00:00+05:30,1.24,14.9,0.0461,17.7,142.0,,,,
2025-02-24 02:00:00+05:30,0.998,14.8,0.0403,16.5,139.0,,,,
2025-02-24 03:00:00+05:30,0.851,9.62,0.0304,15.6,110.0,,,,
2025-02-24 04:00:00+05:30,0.882,6.59,0.0244,16.4,106.0,,,,
2025-02-24 05:00:00+05:30,1.04,25.6,0.0421,20.0,115.0,,,,
2025-02-24 06:00:00+05:30,1.06,50.7,0.0602,17.7,132.0,,,,
2025-02-24 07:00:00+05:30,1.04,58.9,0.0636,17.0,116.0,,,,
2025-02-24 08:00:00+05:30,0.904,67.6,0.0708,17.4,144.0,,,,
2025-02-24 09:00:00+05:30,1.05,48.0,0.0572,18.9,153.0,,,,
2025-02-24 10:00:00+05:30,0.893,15.0,0.0435,20.7,195.0,,,,
2025-02-24 11:00:00+05:30,0.883,7.92,0.0281,28.4,184.0,,,,
2025-02-24 12:00:00+05:30,0.464,4.33,0.0128,66.0,172.0,,,,
2025-02-24 13:00:00+05:30,0.499,3.6,0.0102,81.0,128.0,,,,
2025-02-24 14:00:00+05:30,0.393,3.47,0.00833,73.7,107.0,,,,
2025-02-24 15:00:00+05:30,0.391,3.59,0.00738,74.3,89.7,,,,
2025-02-24 16:00:00+05:30,0.326,3.57,0.00802,82.4,114.0,,,,
2025-02-24 17:00:00+05:30,0.323,3.89,0.00917,83.5,90.7,,,,
2025-02-24 18:00:00+05:30,0.45,3.78,0.00896,86.3,68.8,,,,
2025-02-24 19:00:00+05:30,0.572,3.88,0.0146,67.6,74.6,,,,
2025-02-24 20:00:00+05:30,0.615,3.75,0.0201,45.4,65.7,,,,
2025-02-24 21:00:00+05:30,1.1,27.1,0.0586,25.2,102.0,,,,
2025-02-24 22:00:00+05:30,1.93,105.0,0.13,23.2,157.0,,,,
2025-02-24 23:00:00+05:30,1.61,63.7,0.0923,23.7,168.0,,,,
2025-02-25 00:00:00+05:30,1.96,65.1,0.0888,20.0,193.0,,,,
2025-02-25 02:00:00+05:30,1.84,40.8,0.0656,18.0,171.0,,,,
2025-02-25 03:00:00+05:30,1.22,16.1,0.0434,17.1,156.0,,,,
2025-02-25 04:00:00+05:30,1.18,52.0,0.0689,18.8,132.0,,,,
2025-02-25 05:00:00+05:30,1.28,53.1,0.0651,17.4,137.0,,,,
2025-02-25 06:00:00+05:30,1.41,67.2,0.0735,21.4,138.0,,,,
2025-02-25 07:00:00+05:30,1.33,56.1,0.0629,19.2,154.0,,,,
2025-02-25 08:00:00+05:30,1.25,66.5,0.0735,19.0,152.0,,,,
2025-02-25 09:00:00+05:30,1.33,50.0,0.0699,17.4,151.0,,,,
2025-02-25 10:00:00+05:30,1.47,23.7,0.062,17.7,171.0,,,,
2025-02-25 11:00:00+05:30,0.786,7.84,0.0236,27.7,210.0,,,,
2025-02-25 12:00:00+05:30,0.778,4.71,0.0193,71.4,198.0,,,,
2025-02-25 13:00:00+05:30,0.689,4.19,0.0122,97.4,180.0,,,,
2025-02-25 14:00:00+05:30,0.565,3.75,0.00819,98.4,152.0,,,,
2025-02-25 15:00:00+05:30,0.534,8.51,0.0107,59.3,146.0,,,,
2025-02-25 16:00:00+05:30,1.11,5.66,0.0122,101.0,193.0,,,,
2025-02-25 17:00:00+05:30,0.406,5.63,0.0126,89.7,144.0,,,,
2025-02-25 18:00:00+05:30,0.336,5.4,0.0127,79.4,98.4,,,,
2025-02-25 19:00:00+05:30,0.436,5.61,0.0149,65.2,88.9,,,,
2025-02-25 20:00:00+05:30,1.67,108.0,0.142,4.2,159.0,,,,
2025-02-25 21:00:00+05:30,3.29,317.0,0.32,9.97,225.0,,,,
2025-02-25 22:00:00+05:30,3.3,296.0,0.296,8.19,267.0,,,,
2025-02-25 23:00:00+05:30,1.87,103.0,0.135,1.28,227.0,,,,
2025-02-26 00:00:00+05:30,1.78,108.0,0.14,-0.0912,178.0,,,,
2025-02-26 02:00:00+05:30,1.88,164.0,0.181,2.79,174.0,,,,
2025-02-26 03:00:00+05:30,1.69,143.0,0.164,-0.00812,200.0,,,,
2025-02-26 04:00:00+05:30,1.54,133.0,0.159,-0.295,188.0,,,,
2025-02-26 05:00:00+05:30,1.52,94.4,0.12,-0.248,181.0,,,,
2025-02-26 06:00:00+05:30,1.39,107.0,0.133,0.106,161.0,,,,
2025-02-26 07:00:00+05:30,1.63,179.0,0.185,0.418,164.0,,,,
2025-02-26 08:00:00+05:30,2.37,224.0,0.219,9.21,197.0,,,,
2025-02-26 09:00:00+05:30,2.68,204.0,0.221,13.6,340.0,,,,
2025-02-26 10:00:00+05:30,2.06,67.5,0.131,7.36,382.0,,,,
2025-02-26 11:00:00+05:30,1.53,24.1,0.0774,17.5,322.0,,,,
2025-02-26 12:00:00+05:30,1.22,14.8,0.057,45.3,316.0,,,,
2025-02-26 16:00:00+05:30,0.387,27.2,0.0337,103.0,-680.0,,,,
2025-02-26 17:00:00+05:30,0.513,22.2,0.0295,94.7,-5.58,,,,
2025-02-26 18:00:00+05:30,0.507,12.0,0.0263,60.3,508.0,,,,
2025-02-26 19:00:00+05:30,1.06,6.14,0.0445,38.2,304.0,,,,
2025-02-26 20:00:00+05:30,1.79,39.4,0.114,3.79,259.0,,,,
2025-02-26 21:00:00+05:30,2.28,81.5,0.141,1.85,284.0,,,,
2025-02-26 22:00:00+05:30,1.98,43.5,0.104,0.153,254.0,,,,
2025-02-26 23:00:00+05:30,1.81,43.2,0.102,-1.26,235.0,,,,
2025-02-27 00:00:00+05:30,2.05,73.8,0.116,1.02,234.0,,,,
2025-02-27 02:00:00+05:30,1.24,13.2,0.057,-2.12,177.0,,,,
2025-02-27 03:00:00+05:30,1.33,56.3,0.0867,1.58,156.0,,,,
2025-02-27 04:00:00+05:30,1.16,38.8,0.0733,-3.12,207.0,,,,
2025-02-27 05:00:00+05:30,1.33,51.3,0.0778,-3.18,228.0,,,,
2025-02-27 06:00:00+05:30,1.17,52.6,0.0805,-2.05,178.0,,,,
2025-02-27 07:00:00+05:30,1.55,60.4,0.0848,1.12,203.0,,,,
2025-02-27 08:00:00+05:30,1.48,35.2,0.0627,0.823,302.0,,,,
2025-02-27 09:00:00+05:30,0.702,10.1,0.0232,-0.964,440.0,,,,
2025-02-27 10:00:00+05:30,0.673,9.35,0.0256,4.98,-16.6,,,,
2025-02-27 11:00:00+05:30,0.725,10.8,0.0293,5.46,199.0,,,,
2025-02-27 12:00:00+05:30,0.527,7.97,0.019,12.5,129.0,,,,
2025-02-27 13:00:00+05:30,0.628,8.04,0.0246,16.2,68.5,,,,
2025-02-27 14:00:00+05:30,0.574,8.9,0.0234,15.5,-91.0,,,,
2025-02-27 15:00:00+05:30,0.568,7.21,0.0188,21.3,203.0,,,,
2025-02-27 16:00:00+05:30,0.512,7.07,0.0193,22.7,97.0,,,,
2025-02-27 17:00:00+05:30,0.491,6.34,0.0174,29.3,84.3,,,,
2025-02-27 18:00:00+05:30,0.549,7.06,0.023,21.6,74.3,,,,
2025-02-27 19:00:00+05:30,0.5,7.55,0.0254,17.3,80.8,,,,
2025-02-27 20:00:00+05:30,0.699,6.29,0.0305,5.64,95.1,,,,
2025-02-27 21:00:00+05:30,1.04,33.8,0.0574,4.69,101.0,,,,
2025-02-27 22:00:00+05:30,0.986,43.1,0.0651,1.74,91.8,,,,
2025-02-28 00:00:00+05:30,0.775,29.1,0.0507,0.265,105.0,,,,
2025-02-28 02:00:00+05:30,0.554,8.59,0.0217,0.421,95.0,,,,
2025-02-28 03:00:00+05:30,0.419,6.82,0.0161,10.9,85.7,,,,
2025-02-28 04:00:00+05:30,0.443,6.75,0.0169,1.12,63.2,,,,
2025-02-28 05:00:00+05:30,0.406,6.03,0.0126,2.26,66.7,,,,
2025-02-28 06:00:00+05:30,0.449,7.22,0.0168,-1.49,67.9,,,,
2025-02-28 07:00:00+05:30,0.584,10.5,0.0207,0.152,83.3,,,,
2025-02-28 08:00:00+05:30,0.615,12.3,0.0224,0.28,104.0,,,,
2025-02-28 09:00:00+05:30,0.584,9.13,0.0181,2.45,125.0,,,,
2025-02-28 10:00:00+05:30,0.605,11.0,0.0198,0.637,110.0,,,,
2025-02-28 11:00:00+05:30,0.723,11.1,0.0245,2.18,98.3,,,,
2025-02-28 12:00:00+05:30,0.621,6.66,0.0166,32.6,109.0,,,,
2025-02-28 13:00:00+05:30,0.517,7.28,0.0179,32.8,110.0,,,,
2025-02-28 14:00:00+05:30,0.616,7.31,0.0151,32.0,218.0,,,,
2025-02-28 15:00:00+05:30,0.416,5.54,0.00996,44.0,122.0,,,,
2025-02-28 16:00:00+05:30,0.536,5.45,0.0111,51.2,131.0,,,,
2025-02-28 17:00:00+05:30,0.635,5.0,0.012,53.5,128.0,,,,
2025-02-28 18:00:00+05:30,0.475,5.94,0.0172,44.7,128.0,,,,
2025-02-28 19:00:00+05:30,0.615,6.37,0.0189,32.8,117.0,,,,
2025-02-28 20:00:00+05:30,0.687,6.75,0.0228,17.2,89.5,,,,
2025-02-28 21:00:00+05:30,0.791,7.98,0.019,14.7,89.8,,,,
2025-02-28 22:00:00+05:30,0.758,8.98,0.0221,13.4,103.0,,,,
2025-02-28 23:00:00+05:30,0.91,10.1,0.0266,12.2,72.8,,,,
2025-03-01 00:00:00+05:30,0.737,8.23,0.0211,12.5,75.0,,,,
2025-03-01 02:00:00+05:30,0.855,13.7,0.0266,16.0,73.5,,,,
2025-03-01 03:00:00+05:30,0.788,13.6,0.0221,17.4,92.6,,,,
2025-03-01 04:00:00+05:30,0.692,13.1,0.0241,15.4,101.0,,,,
2025-03-01 05:00:00+05:30,0.582,7.93,0.017,18.4,72.0,,,,
2025-03-01 06:00:00+05:30,0.568,7.49,0.0165,14.9,64.5,,,,
2025-03-01 07:00:00+05:30,0.554,7.94,0.0173,16.1,64.1,,,,
2025-03-01 08:00:00+05:30,0.707,26.3,0.0354,14.3,61.9,,,,
2025-03-01 10:00:00+05:30,0.732,21.5,0.0336,17.3,98.9,,,,
2025-03-01 11:00:00+05:30,0.664,9.06,0.0189,14.2,90.8,,,,
2025-03-01 12:00:00+05:30,0.682,7.59,0.0188,20.5,93.7,,,,
2025-03-01 13:00:00+05:30,0.602,6.38,0.0162,29.6,112.0,,,,
2025-03-01 14:00:00+05:30,0.604,5.22,0.012,49.1,135.0,,,,
2025-03-01 15:00:00+05:30,0.5,5.08,0.00891,55.8,98.3,,,,
2025-03-01 16:00:00+05:30,0.546,5.4,0.0154,61.7,112.0,,,,
2025-03-01 17:00:00+05:30,0.714,5.27,0.0144,71.8,117.0,,,,
2025-03-01 18:00:00+05:30,0.65,5.06,0.0144,62.1,111.0,,,,
2025-03-01 19:00:00+05:30,0.647,5.08,0.0152,52.3,76.6,,,,
2025-03-01 20:00:00+05:30,0.722,5.0,0.0155,37.1,78.5,,,,
2025-03-01 21:00:00+05:30,0.826,5.48,0.0231,20.0,78.9,,,,
2025-03-01 22:00:00+05:30,1.05,6.54,0.0264,17.3,85.9,,,,
2025-03-01 23:00:00+05:30,1.1,7.59,0.0278,17.3,98.9,,,,
2025-03-02 01:00:00+05:30,1.02,6.84,0.0202,15.9,98.8,,,,
2025-03-02 02:00:00+05:30,0.99,6.92,0.0212,14.6,99.0,,,,
2025-03-02 03:00:00+05:30,0.858,6.17,0.0181,19.7,103.0,,,,
2025-03-02 04:00:00+05:30,0.585,5.87,0.0123,28.5,117.0,,,,
2025-03-02 05:00:00+05:30,0.441,5.46,0.0113,27.6,94.0,,,,
2025-03-02 06:00:00+05:30,0.472,5.62,0.0104,21.2,80.2,,,,
2025-03-02 07:00:00+05:30,0.522,5.36,0.0102,23.6,61.6,,,,
2025-03-02 08:00:00+05:30,0.604,6.45,0.0129,16.5,55.4,,,,
2025-03-02 09:00:00+05:30,0.555,7.8,0.017,15.9,66.4,,,,
2025-03-02 11:00:00+05:30,0.539,6.4,0.0147,44.1,118.0,,,,
2025-03-02 12:00:00+05:30,0.516,5.88,0.0126,52.5,105.0,,,,
2025-03-02 13:00:00+05:30,0.376,5.3,0.00689,60.2,113.0,,,,
2025-03-02 14:00:00+05:30,0.348,4.89,0.00608,64.7,95.0,,,,
2025-03-02 15:00:00+05:30,0.278,4.61,0.00476,63.0,66.7,,,,
2025-03-02 16:00:00+05:30,0.174,4.12,0.00504,61.6,56.9,,,,
2025-03-02 17:00:00+05:30,0.143,4.27,0.00455,66.5,57.0,,,,
2025-03-02 18:00:00+05:30,0.514,4.63,0.0059,79.7,71.1,,,,
2025-03-02 19:00:00+05:30,0.422,4.56,0.0079,74.7,42.2,,,,
2025-03-02 21:00:00+05:30,0.803,4.45,0.0144,45.1,61.8,,,,
2025-03-02 22:00:00+05:30,0.796,7.64,0.0311,21.7,75.1,,,,
2025-03-02 23:00:00+05:30,1.27,90.2,0.108,19.6,118.0,,,,
2025-03-03 00:00:00+05:30,0.903,17.3,0.0417,20.1,108.0,,,,
2025-03-03 02:00:00+05:30,0.693,8.44,0.0324,20.3,112.0,,,,
2025-03-03 05:00:00+05:30,0.602,4.91,0.0186,32.0,71.9,,,,
2025-03-03 06:00:00+05:30,0.549,5.07,0.0196,20.2,107.0,,,,
2025-03-03 08:00:00+05:30,0.57,27.5,0.0468,20.7,92.3,,,,
2025-03-03 09:00:00+05:30,0.968,29.8,0.0501,19.8,129.0,,,,
