Local Time,NO,NOX,O3,PM10,PM25,NO2,CO
2025-02-19 02:00:00+05:30,42.2,0.0411,9.08,209.0,,,
2025-02-19 03:00:00+05:30,43.9,0.042,8.46,201.0,,,
2025-02-19 04:00:00+05:30,45.3,0.0429,9.79,184.0,,,
2025-02-19 05:00:00+05:30,44.7,0.0427,7.97,171.0,,,
2025-02-19 06:00:00+05:30,43.4,0.042,9.45,191.0,,,
2025-02-19 07:00:00+05:30,41.1,0.0406,7.69,187.0,,,
2025-02-19 08:00:00+05:30,38.0,0.0388,9.24,180.0,,,
2025-02-19 09:00:00+05:30,34.2,0.0364,8.52,179.0,,,
2025-02-19 10:00:00+05:30,30.3,0.0337,9.29,170.0,,,
2025-02-19 11:00:00+05:30,25.4,0.0298,26.5,163.0,,,
2025-02-19 12:00:00+05:30,21.3,0.0264,30.5,157.0,,,
2025-02-19 13:00:00+05:30,16.6,0.0236,40.8,137.0,,,
2025-02-19 14:00:00+05:30,12.4,0.0206,74.2,121.0,,,
2025-02-19 15:00:00+05:30,9.25,0.0182,75.9,94.1,,,
2025-02-19 16:00:00+05:30,7.3,0.0166,86.4,114.0,,,
2025-02-19 17:00:00+05:30,6.31,0.0155,82.6,135.0,,,
2025-02-19 18:00:00+05:30,6.7,0.0149,44.3,119.0,,,
2025-02-19 19:00:00+05:30,7.61,0.015,20.4,150.0,,,
2025-02-19 20:00:00+05:30,8.93,0.0155,20.6,222.0,,,
2025-02-19 21:00:00+05:30,9.76,0.0171,14.0,229.0,,,
2025-02-19 22:00:00+05:30,10.3,0.0184,12.7,233.0,,,
2025-02-19 23:00:00+05:30,10.6,0.0187,12.7,260.0,,,
2025-02-20 00:00:00+05:30,15.1,0.0217,9.2,293.0,,,
2025-02-20 01:00:00+05:30,19.9,0.0251,11.5,307.0,,,
2025-02-20 02:00:00+05:30,20.8,0.0261,12.1,324.0,,,
2025-02-20 03:00:00+05:30,22.5,0.027,9.76,306.0,,,
2025-02-20 04:00:00+05:30,23.6,0.0275,5.31,220.0,,,
2025-02-20 05:00:00+05:30,24.2,0.0274,4.36,185.0,,,
2025-02-20 06:00:00+05:30,24.8,0.0279,9.92,196.0,,,
2025-02-20 07:00:00+05:30,24.9,0.0282,26.1,233.0,,,
2025-02-20 08:00:00+05:30,26.7,0.0299,36.4,241.0,,,
2025-02-20 09:00:00+05:30,27.5,0.0306,12.1,242.0,,,
2025-02-20 10:00:00+05:30,21.2,0.03,10.2,206.0,,,
