Local Time,CO,NO,NO2,NOX,O3,PM10,PM25,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED
2025-02-19 02:00:00+05:30,2.16,24.6,36.7,0.0307,,236.0,106.0,85.2,59.2,14.6,89.7,0.225
2025-02-19 03:00:00+05:30,2.1,24.6,36.6,0.0306,,219.0,102.0,82.2,59.1,14.9,119.0,0.5
2025-02-19 04:00:00+05:30,1.96,24.4,36.6,0.0305,,211.0,109.0,80.6,59.3,15.0,141.0,0.49
2025-02-19 05:00:00+05:30,1.78,24.6,36.8,0.0307,,224.0,122.0,80.5,58.9,14.8,150.0,0.9
2025-02-19 06:00:00+05:30,1.57,24.2,36.8,0.0305,,189.0,113.0,81.8,58.5,14.4,152.0,0.975
2025-02-19 07:00:00+05:30,1.33,24.3,37.0,0.0306,,203.0,107.0,84.5,58.4,13.8,147.0,0.713
2025-02-19 08:00:00+05:30,1.16,24.2,37.1,0.0307,,273.0,103.0,80.1,58.4,14.9,157.0,1.19
2025-02-19 09:00:00+05:30,1.09,24.4,37.1,0.0308,,230.0,102.0,69.8,58.2,17.5,167.0,1.75
2025-02-19 10:00:00+05:30,0.99,24.2,37.2,0.0307,,224.0,101.0,63.4,57.9,19.4,165.0,2.11
2025-02-19 11:00:00+05:30,0.84,24.1,37.5,0.0308,,215.0,89.7,54.7,57.6,21.5,160.0,2.33
2025-02-19 12:00:00+05:30,0.523,24.1,37.8,0.0309,,201.0,78.9,49.0,56.8,23.2,140.0,2.47
2025-02-19 13:00:00+05:30,0.315,23.8,38.0,0.0309,,186.0,71.3,43.1,57.1,24.8,164.0,2.5
2025-02-19 14:00:00+05:30,0.303,24.0,37.7,0.0308,,165.0,61.6,40.7,57.5,26.3,165.0,2.41
2025-02-19 15:00:00+05:30,0.265,24.1,37.6,0.0308,,149.0,52.7,37.5,57.5,26.4,155.0,2.55
2025-02-19 16:00:00+05:30,0.218,23.7,37.9,0.0308,,135.0,43.1,36.6,57.3,26.3,170.0,2.78
2025-02-19 17:00:00+05:30,0.208,23.9,37.8,0.0309,,155.0,39.0,38.2,56.7,25.2,168.0,1.55
2025-02-19 18:00:00+05:30,0.313,23.9,37.6,0.0307,,189.0,37.4,49.3,56.7,23.3,151.0,0.263
2025-02-19 19:00:00+05:30,0.67,23.9,37.6,0.0307,,257.0,45.1,58.7,57.4,21.3,134.0,0.305
2025-02-19 20:00:00+05:30,0.99,24.0,37.4,0.0307,,321.0,64.3,58.0,57.7,21.1,128.0,0.225
2025-02-19 21:00:00+05:30,1.37,23.6,37.2,0.0304,,385.0,81.5,63.9,58.5,19.8,131.0,0.275
2025-02-19 22:00:00+05:30,1.66,24.0,37.1,0.0305,,418.0,93.2,62.3,58.7,20.3,247.0,1.58
2025-02-19 23:00:00+05:30,1.57,24.1,36.7,0.0305,,364.0,93.0,66.3,58.6,19.7,214.0,0.985
2025-02-20 00:00:00+05:30,1.5,23.7,36.9,0.0303,,326.0,84.5,66.5,58.7,19.9,157.0,0.97
2025-02-20 01:00:00+05:30,1.4,24.5,37.1,0.0308,,228.0,69.3,78.0,57.7,17.2,20.0,0.545
2025-02-20 02:00:00+05:30,1.34,24.1,37.2,0.0307,,208.0,77.5,80.4,57.8,17.6,85.0,1.21
2025-02-20 03:00:00+05:30,1.23,24.0,37.3,0.0307,,194.0,72.6,91.3,57.9,16.7,162.0,1.1
2025-02-20 04:00:00+05:30,1.11,24.5,37.2,0.0308,,146.0,58.1,90.2,57.6,16.7,77.1,1.28
2025-02-20 05:00:00+05:30,0.908,24.1,37.3,0.0307,,117.0,49.1,92.1,58.1,16.4,102.0,1.28
2025-02-20 06:00:00+05:30,0.735,24.2,37.3,0.0308,,91.3,46.5,96.2,58.3,15.8,236.0,1.18
2025-02-20 07:00:00+05:30,0.648,24.0,37.4,0.0307,,69.1,48.4,97.0,58.2,15.2,354.0,0.595
2025-02-20 08:00:00+05:30,0.613,23.8,37.1,0.0305,,62.7,51.0,97.5,58.3,15.5,358.0,0.288
2025-02-20 09:00:00+05:30,0.658,24.2,37.6,0.0309,,72.2,54.8,94.4,57.7,16.8,297.0,0.738
2025-02-20 10:00:00+05:30,0.7,24.3,37.4,0.0308,,114.0,66.2,82.7,57.4,18.7,180.0,0.75
2025-02-20 11:00:00+05:30,0.653,24.2,37.4,0.0308,,132.0,68.3,69.4,57.3,20.8,238.0,1.5
2025-02-20 12:00:00+05:30,0.558,24.2,37.4,0.0308,,126.0,68.3,65.5,57.3,22.1,164.0,2.01
2025-02-20 13:00:00+05:30,0.443,24.2,37.4,0.0308,,139.0,63.2,61.5,57.9,23.6,219.0,2.2
2025-02-20 14:00:00+05:30,0.328,24.2,37.3,0.0307,,130.0,50.0,57.6,57.8,25.3,211.0,2.15
2025-02-20 15:00:00+05:30,0.26,23.9,37.6,0.0307,,131.0,48.8,59.9,57.8,24.3,249.0,2.41
2025-02-20 16:00:00+05:30,0.213,24.1,37.6,0.0309,,140.0,47.1,60.0,57.4,23.8,251.0,2.15
2025-02-20 17:00:00+05:30,0.198,24.4,37.5,0.0309,,109.0,41.0,62.1,56.8,23.2,180.0,1.98
2025-02-20 18:00:00+05:30,0.195,24.4,37.6,0.031,,107.0,44.2,65.0,56.8,22.1,259.0,1.58
2025-02-20 19:00:00+05:30,0.238,24.0,37.8,0.0309,,117.0,49.6,67.8,56.9,20.9,336.0,1.15
2025-02-20 20:00:00+05:30,0.31,24.1,37.7,0.0309,,126.0,53.5,68.9,57.2,20.4,201.0,1.14
2025-02-20 21:00:00+05:30,0.35,24.0,37.4,0.0308,,144.0,59.7,68.3,57.9,20.1,192.0,1.54
2025-02-20 22:00:00+05:30,0.39,24.0,37.5,0.0307,,146.0,68.5,68.5,57.9,19.5,82.9,0.475
2025-02-20 23:00:00+05:30,0.478,24.5,37.4,0.031,,165.0,75.2,70.8,58.1,18.9,2.99,0.558
2025-02-21 00:00:00+05:30,0.587,23.8,37.3,0.0306,,210.0,84.5,75.1,58.4,18.0,2.98,0.417
2025-02-21 01:00:00+05:30,0.685,23.9,37.5,0.0307,,201.0,103.0,72.8,57.4,18.5,3.05,0.18
2025-02-21 02:00:00+05:30,0.71,24.4,37.4,0.0308,,197.0,115.0,76.2,57.6,17.6,29.0,0.363
2025-02-21 03:00:00+05:30,0.7,24.2,37.6,0.0309,,193.0,104.0,78.4,57.5,16.7,56.8,0.675
2025-02-21 04:00:00+05:30,0.643,24.4,37.3,0.0309,,144.0,79.0,81.3,57.7,15.7,22.0,0.463
2025-02-21 05:00:00+05:30,0.585,23.8,37.3,0.0306,,132.0,76.7,84.8,58.3,14.8,22.0,0.175
2025-02-21 06:00:00+05:30,0.593,24.0,37.4,0.0307,,142.0,90.0,88.4,58.5,14.3,22.0,0.268
2025-02-21 07:00:00+05:30,0.72,23.8,37.5,0.0307,,187.0,112.0,89.9,58.7,14.1,22.0,0.24
2025-02-21 08:00:00+05:30,0.988,24.0,37.5,0.0307,,249.0,119.0,89.4,59.1,14.7,22.0,0.405
