Local Time,CO,NO,NO2,NOX,O3,PM10,PM25,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,NH3
2025-02-19 02:00:00+05:30,1.49,34.6,114.0,0.0733,9.0,100.0,32.0,69.0,5.7,21.6,284.0,0.75,
2025-02-19 03:00:00+05:30,1.04,20.2,55.0,0.0675,9.93,98.0,31.0,68.5,4.6,21.5,267.0,0.975,
2025-02-19 04:00:00+05:30,1.26,45.0,16.0,0.0263,11.0,80.0,29.0,65.5,5.48,22.1,257.0,1.4,
2025-02-19 05:00:00+05:30,1.54,56.4,44.2,0.0343,10.2,67.5,31.5,69.8,6.55,21.4,258.0,1.23,
2025-02-19 06:00:00+05:30,1.42,,27.4,0.0155,10.5,67.5,34.0,69.3,4.9,21.2,251.0,1.25,
2025-02-19 07:00:00+05:30,1.68,51.0,54.5,0.0481,9.63,76.0,35.5,74.0,4.4,20.6,248.0,1.35,
2025-02-19 08:00:00+05:30,1.91,28.7,54.5,0.0263,10.4,131.0,47.0,76.8,7.95,20.2,248.0,0.725,
2025-02-19 09:00:00+05:30,1.67,17.9,42.0,0.0213,12.6,165.0,52.5,63.0,9.68,23.0,227.0,1.93,
2025-02-19 10:00:00+05:30,1.38,26.9,55.6,0.0304,29.7,139.0,43.0,54.3,13.4,25.0,252.0,2.4,
2025-02-19 11:00:00+05:30,1.27,68.1,88.1,0.0582,54.0,101.0,33.5,49.0,16.0,26.5,240.0,2.78,
2025-02-19 12:00:00+05:30,1.47,57.9,20.4,0.0486,90.7,80.5,30.0,45.8,17.3,27.6,211.0,2.65,
2025-02-19 13:00:00+05:30,1.13,19.7,7.6,0.0184,116.0,79.0,28.0,41.3,18.3,28.9,195.0,2.58,
2025-02-19 14:00:00+05:30,1.15,1.65,69.0,0.0286,119.0,69.5,22.0,40.3,16.3,29.2,230.0,2.5,
2025-02-19 15:00:00+05:30,1.06,44.0,24.8,0.021,116.0,62.0,18.0,39.3,15.5,30.1,219.0,2.38,
2025-02-19 16:00:00+05:30,0.868,38.6,7.2,0.0276,97.9,57.5,15.0,37.8,11.6,29.7,209.0,2.48,
2025-02-19 17:00:00+05:30,0.497,11.8,40.7,0.0224,72.9,64.0,13.0,40.0,10.1,28.3,234.0,1.48,
2025-02-19 18:00:00+05:30,1.27,32.6,15.5,0.0286,32.5,99.5,18.0,44.0,10.4,26.9,240.0,1.08,
2025-02-19 19:00:00+05:30,1.09,33.2,27.2,0.0436,21.2,111.0,20.5,48.5,10.7,25.5,241.0,0.625,
2025-02-19 20:00:00+05:30,3.06,123.0,36.8,0.0484,11.5,92.0,25.0,50.3,10.1,25.2,241.0,0.733,
2025-02-19 21:00:00+05:30,3.45,55.7,65.0,0.0481,12.7,102.0,34.5,54.3,11.0,24.8,242.0,0.925,
2025-02-19 22:00:00+05:30,3.15,33.3,120.0,0.0667,10.5,1050.0,51.0,56.8,9.43,24.3,214.0,2.08,
2025-02-19 23:00:00+05:30,3.05,78.2,34.1,0.0499,11.0,1090.0,53.0,57.8,8.78,24.0,204.0,0.625,
2025-02-20 00:00:00+05:30,2.13,30.9,100.0,0.058,9.2,190.0,43.7,61.3,6.85,23.6,211.0,1.27,
2025-02-20 01:00:00+05:30,1.78,18.2,60.6,0.0471,9.7,218.0,50.0,63.0,6.75,23.1,209.0,1.75,
2025-02-20 02:00:00+05:30,2.43,32.7,67.7,0.0795,9.85,184.0,45.5,67.0,5.9,22.7,213.0,1.25,
2025-02-20 03:00:00+05:30,2.12,35.8,55.7,0.0501,10.5,139.0,38.5,76.0,4.55,22.0,212.0,1.18,
2025-02-20 04:00:00+05:30,3.29,103.0,1.6,0.0514,10.5,114.0,33.5,75.3,3.93,22.2,222.0,1.75,
2025-02-20 05:00:00+05:30,3.6,46.8,51.8,0.0619,14.9,73.5,27.0,81.5,3.38,21.4,223.0,1.53,
2025-02-20 06:00:00+05:30,3.56,35.6,57.7,0.0295,18.8,38.0,18.5,84.5,3.33,21.0,203.0,2.65,
2025-02-20 07:00:00+05:30,3.55,56.1,43.8,0.0404,15.6,30.5,14.5,85.0,3.3,20.9,291.0,1.23,
2025-02-20 08:00:00+05:30,3.69,,66.5,0.0312,13.2,35.0,17.5,82.5,5.28,21.4,211.0,1.38,
2025-02-20 09:00:00+05:30,4.0,20.2,77.3,0.051,17.7,37.5,21.0,72.8,6.4,23.1,93.5,2.18,
2025-02-20 10:00:00+05:30,3.83,32.7,65.0,0.0362,30.7,40.0,21.5,64.0,7.7,24.5,111.0,2.05,
2025-02-20 11:00:00+05:30,3.87,,55.3,0.0155,38.1,49.5,26.5,62.8,6.98,25.4,133.0,2.18,
2025-02-20 12:00:00+05:30,3.62,35.2,16.1,0.0323,45.7,57.0,28.0,57.8,8.6,26.8,185.0,2.43,
2025-02-20 13:00:00+05:30,3.7,19.2,31.3,0.019,58.9,54.5,22.0,52.8,10.3,28.1,177.0,2.58,
2025-02-20 14:00:00+05:30,3.5,60.5,9.9,0.0179,69.6,59.0,17.5,50.0,9.98,28.6,170.0,3.0,
2025-02-20 15:00:00+05:30,3.61,33.7,56.6,0.0401,66.2,63.0,16.0,51.0,8.63,28.6,155.0,2.73,
