Local Time,NO,NOX,PM25,PM10,NO2,CO,O3
2025-02-19 02:00:00+05:30,48.4,0.0632,86.9,,,,
2025-02-19 03:00:00+05:30,56.5,0.0688,81.2,,,,
2025-02-19 04:00:00+05:30,49.4,0.0633,78.7,,,,
2025-02-19 05:00:00+05:30,39.7,0.057,86.4,,,,
2025-02-19 06:00:00+05:30,28.1,0.0446,84.6,,,,
2025-02-19 07:00:00+05:30,16.9,0.0393,71.2,,,,
2025-02-19 08:00:00+05:30,14.9,0.0379,58.2,,,,
2025-02-19 09:00:00+05:30,18.4,0.0453,69.7,,,,
2025-02-19 10:00:00+05:30,15.8,0.0395,107.0,,,,
2025-02-19 11:00:00+05:30,40.7,0.0323,103.0,,,,
2025-02-19 12:00:00+05:30,46.0,0.0408,102.0,,,,
2025-02-19 13:00:00+05:30,1.72,0.0136,64.1,,,,
2025-02-19 14:00:00+05:30,0.714,0.0104,52.8,,,,
2025-02-19 15:00:00+05:30,2.21,0.0107,67.1,,,,
2025-02-19 16:00:00+05:30,2.53,0.0134,83.7,,,,
2025-02-19 17:00:00+05:30,1.92,0.0137,69.3,,,,
2025-02-19 18:00:00+05:30,1.37,0.0212,62.0,,,,
2025-02-19 19:00:00+05:30,8.66,0.048,59.1,,,,
2025-02-19 20:00:00+05:30,41.8,0.0833,69.5,,,,
2025-02-19 21:00:00+05:30,37.8,0.0764,85.0,,,,
2025-02-20 15:00:00+05:30,97.4,0.0824,50.3,,,,
2025-02-20 16:00:00+05:30,7.95,0.0177,42.3,,,,
2025-02-20 17:00:00+05:30,2.16,0.0107,31.6,,,,
2025-02-20 18:00:00+05:30,2.92,0.0126,22.9,,,,
2025-02-20 19:00:00+05:30,2.61,0.0165,25.9,,,,
2025-02-20 20:00:00+05:30,2.58,0.018,31.4,,,,
2025-02-20 21:00:00+05:30,2.49,0.0201,37.5,,,,
2025-02-20 22:00:00+05:30,3.38,0.0232,41.1,,,,
2025-02-20 23:00:00+05:30,4.23,0.0254,57.3,,,,
2025-02-21 00:00:00+05:30,6.1,0.0354,65.3,,,,
2025-02-21 01:00:00+05:30,3.85,0.018,64.1,,,,
2025-02-21 02:00:00+05:30,4.44,0.0183,35.5,,,,
2025-02-21 03:00:00+05:30,5.61,0.0229,38.2,,,,
2025-02-21 04:00:00+05:30,3.36,0.0179,67.0,,,,
2025-02-21 05:00:00+05:30,9.91,0.0262,56.1,,,,
2025-02-21 06:00:00+05:30,11.1,0.0262,57.6,,,,
2025-02-21 07:00:00+05:30,36.7,0.0464,78.2,,,,
2025-02-21 08:00:00+05:30,69.0,0.0729,78.8,,,,
2025-02-21 09:00:00+05:30,47.1,0.0629,79.8,,,,
2025-02-21 10:00:00+05:30,18.3,0.0415,78.1,,,,
2025-02-21 11:00:00+05:30,15.2,0.0407,76.2,,,,
2025-02-21 12:00:00+05:30,7.27,0.0275,77.5,,,,
2025-02-21 13:00:00+05:30,2.8,0.0175,70.6,,,,
2025-02-21 14:00:00+05:30,1.07,0.0192,114.0,,,,
2025-02-21 15:00:00+05:30,0.729,0.0141,109.0,,,,
2025-02-21 16:00:00+05:30,0.154,0.0121,80.9,,,,
2025-02-21 17:00:00+05:30,0.223,0.0116,64.8,,,,
2025-02-21 18:00:00+05:30,0.0108,0.0141,65.5,,,,
2025-02-21 19:00:00+05:30,0.192,0.0164,66.7,,,,
2025-02-21 20:00:00+05:30,1.28,0.0231,70.6,,,,
2025-02-21 21:00:00+05:30,1.82,0.0242,93.0,,,,
2025-02-21 22:00:00+05:30,3.23,0.0293,93.8,,,,
2025-02-21 23:00:00+05:30,2.5,0.0249,88.8,,,,
2025-02-22 00:00:00+05:30,2.77,0.0197,82.6,,,,
2025-02-22 01:00:00+05:30,1.1,0.0131,65.5,,,,
2025-02-22 02:00:00+05:30,1.53,0.0137,64.1,,,,
