Local Time,NO,NO2,NOX,PM25,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM10,CO,O3,NH3
2025-02-19 02:00:00+05:30,34.7,35.2,0.0349,56.9,87.8,47.2,13.3,295.0,0.0,,,,
2025-02-19 03:00:00+05:30,36.9,38.4,0.0376,67.9,86.3,48.1,13.4,295.0,0.0,,,,
2025-02-19 04:00:00+05:30,38.8,31.2,0.035,62.4,87.7,46.1,13.1,294.0,0.0,,,,
2025-02-19 05:00:00+05:30,39.3,31.1,0.0352,50.2,86.5,45.7,13.3,295.0,0.0,,,,
2025-02-19 06:00:00+05:30,38.6,36.9,0.0377,54.0,85.6,47.2,13.1,294.0,0.0,,,,
2025-02-19 07:00:00+05:30,38.5,38.2,0.0384,55.8,85.7,48.1,12.7,294.0,0.0,,,,
2025-02-19 08:00:00+05:30,37.2,30.5,0.0338,58.8,81.4,45.8,14.0,294.0,0.0,,,,
2025-02-19 09:00:00+05:30,34.6,35.4,0.0349,54.4,71.1,45.9,16.9,223.0,0.988,,,,
2025-02-19 10:00:00+05:30,29.8,42.0,0.0358,60.7,64.5,47.6,19.8,205.0,1.1,,,,
2025-02-19 11:00:00+05:30,27.0,41.9,0.0345,59.0,60.1,47.3,22.4,192.0,0.828,,,,
2025-02-19 12:00:00+05:30,25.9,33.0,0.0295,56.8,50.6,45.5,24.9,223.0,1.17,,,,
2025-02-19 13:00:00+05:30,23.3,29.9,0.0266,41.9,46.4,45.8,25.8,242.0,1.68,,,,
2025-02-19 14:00:00+05:30,22.7,27.5,0.0251,29.9,45.4,46.5,26.6,208.0,1.07,,,,
2025-02-19 15:00:00+05:30,21.0,26.7,0.0239,34.7,40.2,46.7,27.7,182.0,0.718,,,,
2025-02-19 16:00:00+05:30,22.6,25.8,0.0242,36.1,43.9,46.5,25.9,254.0,0.368,,,,
2025-02-19 17:00:00+05:30,20.5,27.7,0.0241,29.3,49.7,48.1,23.8,200.0,0.283,,,,
2025-02-19 18:00:00+05:30,21.3,32.6,0.0269,31.2,56.4,50.0,22.0,311.0,0.0,,,,
2025-02-19 19:00:00+05:30,25.8,28.3,0.0271,37.2,62.8,48.1,20.0,312.0,0.11,,,,
2025-02-19 20:00:00+05:30,25.1,27.5,0.0263,45.8,63.0,46.8,20.4,315.0,0.553,,,,
2025-02-19 21:00:00+05:30,22.0,31.1,0.0265,53.0,69.8,48.3,18.8,313.0,0.0,,,,
2025-02-19 22:00:00+05:30,24.6,37.7,0.0312,65.1,65.4,49.8,20.2,136.0,0.645,,,,
2025-02-19 23:00:00+05:30,28.5,30.8,0.0297,82.1,70.4,47.1,18.6,69.7,0.0,,,,
2025-02-20 00:00:00+05:30,26.1,29.5,0.0278,64.2,71.6,46.5,18.4,66.6,0.0,,,,
2025-02-20 01:00:00+05:30,23.5,33.8,0.0286,60.6,75.1,49.1,17.4,120.0,0.725,,,,
2025-02-20 02:00:00+05:30,25.6,34.9,0.0303,62.9,76.4,49.7,17.8,263.0,0.993,,,,
2025-02-20 03:00:00+05:30,27.8,26.3,0.0271,69.2,82.0,47.1,16.9,279.0,0.85,,,,
2025-02-20 04:00:00+05:30,23.5,25.6,0.0245,41.0,86.1,47.0,16.1,281.0,0.148,,,,
2025-02-20 05:00:00+05:30,24.7,29.7,0.0271,42.5,84.7,48.8,16.4,55.3,0.368,,,,
2025-02-20 06:00:00+05:30,28.1,30.3,0.0292,49.4,81.3,49.2,16.8,192.0,0.21,,,,
2025-02-20 07:00:00+05:30,36.3,25.5,0.0309,51.9,84.2,47.0,16.3,202.0,0.08,,,,
2025-02-20 08:00:00+05:30,40.1,28.4,0.0342,58.3,82.7,47.7,15.7,171.0,2.01,,,,
2025-02-20 09:00:00+05:30,37.6,36.0,0.0368,66.0,78.6,49.5,17.1,62.6,2.82,,,,
2025-02-20 10:00:00+05:30,31.6,35.8,0.0337,65.4,70.4,48.6,19.1,115.0,4.79,,,,
2025-02-20 11:00:00+05:30,24.2,30.2,0.0272,54.3,65.5,46.9,21.1,165.0,4.0,,,,
2025-02-20 12:00:00+05:30,21.1,31.0,0.0261,32.8,60.8,47.9,23.9,160.0,3.71,,,,
2025-02-20 13:00:00+05:30,19.9,34.1,0.027,26.6,57.8,50.0,24.7,135.0,4.2,,,,
2025-02-20 14:00:00+05:30,23.1,27.8,0.0256,25.1,56.0,48.6,25.6,146.0,4.6,,,,
2025-02-20 15:00:00+05:30,28.4,24.9,0.0261,19.0,54.1,46.6,26.0,140.0,4.21,,,,
2025-02-20 16:00:00+05:30,23.5,22.7,0.023,16.2,58.0,47.1,24.9,137.0,3.83,,,,
2025-02-20 17:00:00+05:30,25.7,23.4,0.0238,0.0125,59.6,46.5,23.9,138.0,2.9,,,,
2025-02-20 18:00:00+05:30,21.8,21.7,0.0217,5.92,63.5,46.3,22.6,133.0,2.9,,,,
2025-02-20 19:00:00+05:30,19.9,23.3,0.0215,17.8,66.7,46.8,21.5,168.0,2.98,,,,
2025-02-20 20:00:00+05:30,20.6,28.9,0.0247,22.2,67.8,49.3,20.9,151.0,3.2,,,,
