Local Time,NO,NOX,O3,PM10,PM25,NO2,CO
2025-02-19 02:00:00+05:30,355.0,0.333,8.74,397.0,81.5,,
2025-02-19 03:00:00+05:30,335.0,0.315,3.31,324.0,84.7,,
2025-02-19 04:00:00+05:30,299.0,0.28,1.5,298.0,118.0,,
2025-02-19 05:00:00+05:30,292.0,0.274,10.2,268.0,69.2,,
2025-02-19 06:00:00+05:30,268.0,0.255,14.0,201.0,78.7,,
2025-02-19 07:00:00+05:30,269.0,0.255,11.7,286.0,74.4,,
2025-02-19 08:00:00+05:30,223.0,0.22,4.99,278.0,78.0,,
2025-02-19 09:00:00+05:30,176.0,0.185,0.6,281.0,104.0,,
2025-02-19 10:00:00+05:30,126.0,0.149,11.0,257.0,74.0,,
2025-02-19 11:00:00+05:30,92.1,0.121,28.9,183.0,63.6,,
2025-02-19 12:00:00+05:30,53.6,0.0823,76.2,206.0,61.3,,
2025-02-19 13:00:00+05:30,44.0,0.0779,84.2,433.0,98.7,,
2025-02-19 14:00:00+05:30,47.3,0.0872,69.5,291.0,39.6,,
2025-02-19 15:00:00+05:30,51.0,0.0843,81.8,298.0,73.3,,
2025-02-19 16:00:00+05:30,70.5,0.107,50.1,95.9,-25.2,,
2025-02-19 17:00:00+05:30,83.8,0.126,27.1,114.0,62.9,,
2025-02-19 18:00:00+05:30,96.2,0.135,18.9,130.0,32.3,,
2025-02-19 19:00:00+05:30,119.0,0.158,-2.17,167.0,40.5,,
2025-02-19 20:00:00+05:30,105.0,0.15,0.172,230.0,85.8,,
2025-02-19 21:00:00+05:30,95.2,0.142,9.71,205.0,33.9,,
2025-02-19 22:00:00+05:30,169.0,0.198,18.5,224.0,111.0,,
2025-02-19 23:00:00+05:30,65.3,0.109,13.9,259.0,82.4,,
2025-02-20 00:00:00+05:30,152.0,0.18,1.17,296.0,90.1,,
2025-02-20 01:00:00+05:30,105.0,0.126,0.0527,281.0,92.1,,
2025-02-20 02:00:00+05:30,193.0,0.202,5.54,277.0,80.7,,
2025-02-20 03:00:00+05:30,213.0,0.212,15.4,290.0,69.5,,
2025-02-20 04:00:00+05:30,164.0,0.173,16.6,243.0,53.1,,
2025-02-20 05:00:00+05:30,109.0,0.131,7.42,239.0,62.4,,
2025-02-20 06:00:00+05:30,84.7,0.103,2.44,172.0,58.3,,
2025-02-20 07:00:00+05:30,64.4,0.0763,8.59,83.7,69.1,,
2025-02-20 08:00:00+05:30,74.6,0.0887,12.7,96.0,34.0,,
2025-02-20 09:00:00+05:30,34.9,0.0572,23.4,56.0,15.4,,
2025-02-20 10:00:00+05:30,26.2,0.0468,29.6,109.0,29.1,,
2025-02-20 11:00:00+05:30,14.8,0.0329,36.2,124.0,38.5,,
2025-02-20 12:00:00+05:30,8.81,0.0242,53.6,140.0,96.7,,
2025-02-20 13:00:00+05:30,6.71,0.0204,78.3,85.2,6.3,,
2025-02-20 14:00:00+05:30,4.31,0.0146,99.0,87.6,9.75,,
2025-02-20 15:00:00+05:30,5.61,0.0182,100.0,95.7,57.5,,
2025-02-20 16:00:00+05:30,4.58,0.0169,86.7,130.0,29.5,,
2025-02-20 17:00:00+05:30,4.15,0.0152,81.5,92.4,20.5,,
2025-02-20 18:00:00+05:30,3.74,0.0119,90.3,53.9,43.6,,
2025-02-20 19:00:00+05:30,4.08,0.0194,73.9,75.5,17.2,,
2025-02-20 20:00:00+05:30,4.18,0.025,64.3,89.6,35.0,,
2025-02-20 21:00:00+05:30,4.44,0.0252,58.9,151.0,64.0,,
2025-02-20 22:00:00+05:30,6.37,0.0299,46.4,84.6,51.9,,
2025-02-20 23:00:00+05:30,11.1,0.0411,29.8,163.0,75.5,,
2025-02-21 00:00:00+05:30,12.7,0.038,32.2,171.0,91.7,,
2025-02-21 01:00:00+05:30,10.6,0.0324,39.0,134.0,31.0,,
2025-02-21 02:00:00+05:30,95.6,0.111,18.2,142.0,56.2,,
2025-02-21 03:00:00+05:30,132.0,0.145,11.7,208.0,77.8,,
2025-02-21 04:00:00+05:30,37.9,0.0598,9.38,164.0,89.2,,
2025-02-21 05:00:00+05:30,121.0,0.126,25.7,160.0,115.0,,
2025-02-21 06:00:00+05:30,276.0,0.257,23.8,261.0,73.9,,
2025-02-21 07:00:00+05:30,375.0,0.336,22.1,393.0,68.7,,
2025-02-21 08:00:00+05:30,407.0,0.359,19.9,341.0,82.9,,
2025-02-21 09:00:00+05:30,186.0,0.189,9.69,421.0,112.0,,
