Local Time,CO,NO,NO2,NOX,O3,PM25
2025-02-19 02:00:00+05:30,1.01,78.7,8.51,0.0685,11.5,73.4
2025-02-19 03:00:00+05:30,0.923,74.8,8.96,0.0656,11.4,76.1
2025-02-19 04:00:00+05:30,0.84,69.7,7.46,0.0607,14.0,79.1
2025-02-19 05:00:00+05:30,0.756,59.8,6.71,0.0522,10.9,81.2
2025-02-19 06:00:00+05:30,0.661,54.1,5.62,0.047,12.0,62.9
2025-02-19 07:00:00+05:30,0.584,49.3,4.26,0.0424,13.5,85.7
2025-02-19 08:00:00+05:30,0.604,43.8,7.09,0.0394,13.7,64.9
2025-02-19 09:00:00+05:30,0.605,45.3,18.5,0.0467,10.8,56.8
2025-02-19 10:00:00+05:30,0.44,24.0,19.9,0.0302,28.1,66.8
2025-02-19 11:00:00+05:30,0.427,17.1,14.0,0.0214,50.1,64.9
2025-02-19 12:00:00+05:30,0.361,13.2,10.8,0.0165,80.8,57.2
2025-02-19 13:00:00+05:30,0.319,7.76,7.45,0.0103,98.6,69.2
2025-02-19 14:00:00+05:30,0.282,6.67,6.33,0.00879,110.0,38.8
2025-02-19 15:00:00+05:30,0.23,7.44,4.75,0.00858,109.0,40.7
2025-02-19 16:00:00+05:30,0.234,4.72,4.94,0.00647,96.0,53.7
2025-02-19 17:00:00+05:30,0.227,5.14,5.12,0.0069,92.2,27.7
2025-02-19 18:00:00+05:30,0.274,6.29,10.1,0.0105,65.4,42.7
2025-02-19 19:00:00+05:30,0.54,17.4,28.5,0.0293,18.9,57.6
2025-02-19 20:00:00+05:30,0.55,21.7,32.4,0.0348,11.3,33.6
2025-02-19 21:00:00+05:30,0.697,28.4,30.1,0.0391,13.9,55.2
2025-02-19 22:00:00+05:30,0.694,22.9,30.1,0.0346,11.7,74.0
2025-02-19 23:00:00+05:30,0.569,12.3,26.8,0.0243,15.4,65.3
2025-02-20 00:00:00+05:30,0.537,13.7,26.8,0.0254,12.6,71.6
2025-02-20 01:00:00+05:30,0.53,18.9,23.1,0.0277,13.4,80.6
2025-02-20 02:00:00+05:30,0.56,23.6,22.5,0.0311,11.8,62.8
2025-02-20 03:00:00+05:30,0.447,20.9,21.1,0.0282,12.7,52.4
2025-02-20 04:00:00+05:30,0.394,14.8,18.7,0.022,12.6,55.5
2025-02-20 05:00:00+05:30,0.395,15.1,16.7,0.0212,11.8,26.7
2025-02-20 06:00:00+05:30,0.372,10.9,11.0,0.0147,14.9,43.9
2025-02-20 07:00:00+05:30,0.358,8.2,10.8,0.0124,12.3,40.0
2025-02-20 08:00:00+05:30,0.36,15.7,10.2,0.0181,12.8,25.1
2025-02-20 09:00:00+05:30,0.488,22.4,13.3,0.0253,15.7,42.6
2025-02-20 10:00:00+05:30,0.475,13.3,22.0,0.0225,64.1,67.9
2025-02-20 11:00:00+05:30,0.425,10.2,13.9,0.0157,40.2,97.4
2025-02-20 12:00:00+05:30,0.336,7.33,8.85,0.0107,57.2,61.5
2025-02-20 13:00:00+05:30,0.275,4.87,7.29,0.00784,58.4,68.7
2025-02-20 14:00:00+05:30,0.185,6.85,3.14,0.00724,80.7,39.8
2025-02-20 15:00:00+05:30,0.234,5.46,3.39,0.00625,80.7,44.0
2025-02-20 16:00:00+05:30,0.231,5.11,2.95,0.00573,78.4,29.2
2025-02-20 17:00:00+05:30,0.197,6.74,2.8,0.00697,77.0,29.1
2025-02-20 18:00:00+05:30,0.242,5.24,4.7,0.00676,72.0,45.5
2025-02-20 19:00:00+05:30,0.262,5.88,10.9,0.0106,48.7,25.5
2025-02-20 20:00:00+05:30,0.351,7.67,13.5,0.0134,36.2,32.0
2025-02-20 21:00:00+05:30,0.326,4.65,11.2,0.00973,44.6,73.5
2025-02-20 22:00:00+05:30,0.403,6.58,12.4,0.012,39.3,39.8
2025-02-20 23:00:00+05:30,0.393,7.67,17.3,0.0154,27.1,49.4
2025-02-21 00:00:00+05:30,0.419,5.61,17.0,0.0136,21.5,82.3
2025-02-21 01:00:00+05:30,0.48,11.9,21.0,0.0208,13.0,64.8
2025-02-21 02:00:00+05:30,0.367,12.1,19.2,0.0201,13.1,76.1
2025-02-21 03:00:00+05:30,0.381,9.29,17.1,0.0166,13.1,74.8
2025-02-21 04:00:00+05:30,0.327,8.38,15.7,0.0152,12.5,37.4
2025-02-21 05:00:00+05:30,0.322,11.9,13.3,0.0167,11.8,52.1
2025-02-21 06:00:00+05:30,0.315,14.9,9.01,0.017,12.3,64.9
2025-02-21 07:00:00+05:30,0.362,18.2,8.81,0.0195,11.6,41.6
2025-02-21 08:00:00+05:30,0.405,23.4,6.72,0.0226,14.2,50.8
2025-02-21 09:00:00+05:30,0.548,37.1,10.5,0.0357,12.4,65.1
2025-02-21 10:00:00+05:30,0.462,17.6,21.4,0.0257,20.9,50.8
2025-02-21 11:00:00+05:30,0.403,12.1,14.9,0.0178,45.5,69.2
2025-02-21 12:00:00+05:30,0.307,7.14,8.74,0.0105,75.3,56.6
2025-02-21 13:00:00+05:30,0.333,6.96,6.77,0.00926,104.0,56.4
2025-02-21 14:00:00+05:30,0.403,6.62,10.4,0.011,114.0,99.4
2025-02-21 15:00:00+05:30,0.391,4.48,8.26,0.00804,111.0,100.0
2025-02-21 16:00:00+05:30,0.322,6.86,5.48,0.00849,100.0,70.4
2025-02-21 17:00:00+05:30,0.313,6.98,4.39,0.00801,89.0,74.9
2025-02-21 18:00:00+05:30,0.338,4.42,7.33,0.0075,74.3,70.8
2025-02-21 19:00:00+05:30,0.388,6.26,14.0,0.0126,51.7,77.8
2025-02-21 20:00:00+05:30,0.407,4.51,19.5,0.014,33.8,82.1
2025-02-21 21:00:00+05:30,0.47,4.87,20.6,0.0149,22.0,76.2
2025-02-21 22:00:00+05:30,0.481,6.59,19.3,0.0156,15.8,69.1
2025-02-21 23:00:00+05:30,0.479,5.54,15.1,0.0126,16.3,89.3
2025-02-22 00:00:00+05:30,0.432,4.86,13.5,0.0111,17.5,55.3
2025-02-22 01:00:00+05:30,0.338,6.31,7.83,0.0093,23.2,48.8
2025-02-22 02:00:00+05:30,0.375,4.62,7.95,0.00799,22.8,83.4
2025-02-22 03:00:00+05:30,0.344,4.6,8.25,0.00813,16.7,51.6
2025-02-22 04:00:00+05:30,0.3,5.88,5.69,0.0078,20.5,56.7
2025-02-22 05:00:00+05:30,0.334,4.36,4.51,0.00594,17.2,58.9
2025-02-22 06:00:00+05:30,0.337,4.86,7.43,0.0079,14.9,36.1
2025-02-22 07:00:00+05:30,0.311,5.7,5.71,0.00767,22.0,45.1
2025-02-22 08:00:00+05:30,0.313,4.59,7.16,0.00755,20.2,49.6
2025-02-22 09:00:00+05:30,0.326,6.22,6.72,0.00863,25.1,28.5
2025-02-22 10:00:00+05:30,0.317,7.35,7.79,0.0101,30.1,40.3
2025-02-22 11:00:00+05:30,0.353,4.08,6.28,0.00666,55.5,71.9
2025-02-22 12:00:00+05:30,0.329,4.69,4.28,0.00609,70.7,46.9
2025-02-22 13:00:00+05:30,0.33,4.78,3.23,0.00561,91.2,55.1
2025-02-22 14:00:00+05:30,0.317,3.19,3.3,0.00435,86.6,53.2
2025-02-22 15:00:00+05:30,0.282,5.28,2.07,0.00539,88.3,31.5
2025-02-22 16:00:00+05:30,0.246,4.5,1.76,0.0046,81.4,38.8
2025-02-22 17:00:00+05:30,0.284,3.15,2.4,0.00384,77.6,42.2
2025-02-22 18:00:00+05:30,0.226,5.32,4.42,0.00667,73.8,22.4
2025-02-22 19:00:00+05:30,0.278,5.47,12.2,0.0109,47.3,40.9
2025-02-22 20:00:00+05:30,0.37,7.51,24.2,0.019,15.8,38.9
2025-02-22 21:00:00+05:30,0.434,15.8,24.9,0.0261,12.3,28.0
2025-02-22 22:00:00+05:30,0.47,14.2,22.8,0.0237,14.1,45.7
2025-02-22 23:00:00+05:30,0.504,14.2,20.5,0.0224,11.4,49.3
2025-02-23 00:00:00+05:30,0.509,13.6,19.3,0.0213,10.9,48.9
2025-02-23 01:00:00+05:30,0.483,16.8,14.3,0.0214,14.8,62.9
2025-02-23 02:00:00+05:30,0.484,18.3,14.2,0.0224,11.7,60.4
2025-02-23 03:00:00+05:30,0.439,23.8,11.5,0.0254,11.0,52.9
2025-02-23 04:00:00+05:30,0.436,26.2,10.7,0.027,12.4,61.2
2025-02-23 05:00:00+05:30,0.401,20.2,10.4,0.022,10.4,44.6
2025-02-23 06:00:00+05:30,0.335,15.5,8.88,0.0174,12.5,54.9
2025-02-23 07:00:00+05:30,0.361,12.4,7.88,0.0143,12.3,65.8
2025-02-23 08:00:00+05:30,0.322,12.8,6.99,0.0141,13.1,41.6
2025-02-23 09:00:00+05:30,0.327,14.6,13.1,0.0188,20.5,43.3
2025-02-23 10:00:00+05:30,0.349,10.3,15.4,0.0166,36.4,43.3
2025-02-23 11:00:00+05:30,0.27,6.5,8.73,0.00994,72.4,66.1
2025-02-23 12:00:00+05:30,0.274,4.53,5.24,0.00647,83.3,45.7
2025-02-23 13:00:00+05:30,0.248,5.89,3.67,0.00674,93.7,45.9
2025-02-23 14:00:00+05:30,0.196,4.79,2.12,0.00503,93.3,39.3
2025-02-23 15:00:00+05:30,0.201,4.12,2.42,0.00464,95.7,31.6
2025-02-23 16:00:00+05:30,0.182,5.66,2.11,0.00572,98.8,38.4
2025-02-23 17:00:00+05:30,0.169,4.41,1.84,0.00457,99.1,55.3
2025-02-23 18:00:00+05:30,0.191,4.74,3.72,0.00583,83.8,31.3
2025-02-23 19:00:00+05:30,0.284,6.4,12.7,0.0119,47.6,36.2
2025-02-23 20:00:00+05:30,0.383,14.9,26.0,0.026,14.2,43.9
2025-02-23 21:00:00+05:30,0.464,14.5,25.9,0.0256,12.7,22.2
2025-02-23 22:00:00+05:30,0.528,26.5,22.9,0.0337,11.7,45.3
2025-02-23 23:00:00+05:30,0.657,30.2,18.6,0.0344,13.9,71.8
2025-02-24 00:00:00+05:30,0.722,40.9,15.7,0.0416,10.4,56.2
