Local Time,PM1,PM25,RELATIVEHUMIDITY,TEMPERATURE,UM003
2025-10-24 00:00:00+05:30,96.6,151.0,35.4,28.2,22800.0
2025-10-24 01:00:00+05:30,114.0,183.0,34.9,27.7,26900.0
2025-10-24 02:00:00+05:30,119.0,194.0,35.4,27.6,27900.0
2025-10-24 03:00:00+05:30,115.0,188.0,38.1,27.1,27100.0
2025-10-24 04:00:00+05:30,117.0,190.0,38.2,27.0,27400.0
2025-10-24 05:00:00+05:30,113.0,186.0,39.1,26.9,26600.0
2025-10-24 06:00:00+05:30,116.0,193.0,38.8,26.5,27300.0
2025-10-24 07:00:00+05:30,99.1,165.0,40.5,26.1,23500.0
2025-10-24 08:00:00+05:30,90.2,150.0,38.7,25.9,21500.0
2025-10-24 09:00:00+05:30,109.0,182.0,40.3,25.5,25800.0
2025-10-24 10:00:00+05:30,115.0,199.0,40.3,26.3,27200.0
2025-10-24 11:00:00+05:30,114.0,197.0,39.8,27.0,27100.0
2025-10-24 12:00:00+05:30,116.0,200.0,37.6,28.1,27400.0
2025-10-24 13:00:00+05:30,113.0,195.0,35.9,29.0,26800.0
2025-10-24 14:00:00+05:30,90.4,148.0,30.9,30.6,21500.0
2025-10-24 15:00:00+05:30,47.5,77.2,24.5,31.7,11600.0
2025-10-24 16:00:00+05:30,44.1,71.8,23.2,32.7,10800.0
2025-10-24 17:00:00+05:30,50.8,82.0,24.6,32.1,12400.0
2025-10-24 18:00:00+05:30,54.9,88.0,27.3,31.2,13300.0
2025-10-24 19:00:00+05:30,67.4,108.0,28.2,29.8,16200.0
2025-10-24 20:00:00+05:30,69.8,111.0,32.1,29.3,16800.0
2025-10-24 21:00:00+05:30,80.7,126.0,33.0,29.0,19400.0
2025-10-24 22:00:00+05:30,117.0,181.0,33.9,28.6,27400.0
2025-10-24 23:00:00+05:30,129.0,205.0,36.9,28.0,30200.0
2025-10-25 00:00:00+05:30,125.0,203.0,37.6,27.6,29400.0
