Local Time,PM1,PM25,RELATIVEHUMIDITY
2025-11-04 21:00:00+05:30,96.2,167.0,44.0
2025-11-04 22:00:00+05:30,96.2,166.0,45.4
2025-11-04 23:00:00+05:30,93.9,162.0,47.9
2025-11-05 00:00:00+05:30,75.8,131.0,49.2
2025-11-05 01:00:00+05:30,86.6,150.0,49.9
2025-11-05 02:00:00+05:30,94.0,166.0,50.2
2025-11-05 03:00:00+05:30,110.0,196.0,49.9
2025-11-05 04:00:00+05:30,123.0,221.0,51.6
2025-11-05 05:00:00+05:30,117.0,210.0,52.3
2025-11-05 06:00:00+05:30,120.0,216.0,52.5
2025-11-05 07:00:00+05:30,125.0,227.0,53.0
2025-11-05 08:00:00+05:30,150.0,273.0,53.7
2025-11-05 09:00:00+05:30,119.0,219.0,52.7
2025-11-05 10:00:00+05:30,95.4,174.0,50.1
2025-11-05 11:00:00+05:30,80.9,142.0,47.5
2025-11-05 12:00:00+05:30,64.1,113.0,45.1
2025-11-05 14:00:00+05:30,64.0,110.0,43.1
2025-11-05 15:00:00+05:30,54.4,94.3,41.9
2025-11-05 16:00:00+05:30,37.0,64.4,40.2
2025-11-05 17:00:00+05:30,35.1,60.2,39.7
2025-11-05 18:00:00+05:30,47.4,82.9,41.1
2025-11-05 19:00:00+05:30,60.4,103.0,38.8
2025-11-05 20:00:00+05:30,94.2,156.0,38.4
2025-11-05 21:00:00+05:30,106.0,182.0,38.5
2025-11-05 22:00:00+05:30,107.0,188.0,37.6
2025-11-05 23:00:00+05:30,138.0,244.0,36.8
2025-11-06 00:00:00+05:30,150.0,265.0,35.7
2025-11-06 01:00:00+05:30,196.0,360.0,34.8
2025-11-06 02:00:00+05:30,166.0,300.0,33.9
2025-11-06 03:00:00+05:30,169.0,303.0,33.0
2025-11-06 04:00:00+05:30,162.0,297.0,34.2
2025-11-06 05:00:00+05:30,143.0,262.0,36.0
2025-11-06 06:00:00+05:30,134.0,248.0,36.8
2025-11-06 07:00:00+05:30,138.0,256.0,35.4
2025-11-06 08:00:00+05:30,168.0,335.0,36.5
2025-11-06 09:00:00+05:30,189.0,401.0,35.5
2025-11-06 10:00:00+05:30,165.0,340.0,34.0
2025-11-06 11:00:00+05:30,100.0,190.0,31.7
2025-11-06 12:00:00+05:30,76.3,139.0,30.2
2025-11-06 13:00:00+05:30,58.0,103.0,28.6
2025-11-06 14:00:00+05:30,61.0,108.0,28.3
2025-11-06 15:00:00+05:30,57.1,101.0,27.4
2025-11-06 16:00:00+05:30,50.8,89.3,26.6
2025-11-06 17:00:00+05:30,42.7,73.9,26.0
2025-11-07 12:00:00+05:30,116.0,205.0,29.0
2025-11-07 13:00:00+05:30,111.0,198.0,29.3
2025-11-07 14:00:00+05:30,90.0,158.0,28.6
2025-11-07 15:00:00+05:30,73.3,127.0,26.7
2025-11-07 16:00:00+05:30,64.0,109.0,26.0
2025-11-07 17:00:00+05:30,59.3,100.0,27.8
2025-11-07 18:00:00+05:30,65.0,110.0,29.7
2025-11-07 19:00:00+05:30,76.8,131.0,31.5
2025-11-07 20:00:00+05:30,104.0,178.0,34.1
2025-11-07 21:00:00+05:30,113.0,192.0,35.1
2025-11-07 22:00:00+05:30,119.0,204.0,36.4
2025-11-07 23:00:00+05:30,140.0,238.0,37.5
2025-11-08 00:00:00+05:30,154.0,265.0,37.5
2025-11-08 01:00:00+05:30,159.0,278.0,37.5
2025-11-08 02:00:00+05:30,168.0,303.0,36.8
2025-11-08 03:00:00+05:30,204.0,398.0,36.5
2025-11-08 04:00:00+05:30,227.0,472.0,35.9
2025-11-08 05:00:00+05:30,235.0,508.0,35.6
2025-11-08 06:00:00+05:30,235.0,518.0,36.3
2025-11-08 07:00:00+05:30,234.0,529.0,36.8
2025-11-08 08:00:00+05:30,234.0,536.0,37.6
2025-11-08 09:00:00+05:30,238.0,562.0,38.9
2025-11-08 10:00:00+05:30,238.0,610.0,36.9
2025-11-08 11:00:00+05:30,232.0,590.0,31.1
2025-11-08 12:00:00+05:30,155.0,318.0,26.8
2025-11-08 13:00:00+05:30,111.0,213.0,25.3
2025-11-08 14:00:00+05:30,106.0,199.0,26.1
2025-11-08 15:00:00+05:30,123.0,235.0,25.8
2025-11-08 16:00:00+05:30,127.0,244.0,25.3
2025-11-08 17:00:00+05:30,127.0,244.0,26.1
2025-11-08 18:00:00+05:30,127.0,242.0,31.1
2025-11-08 19:00:00+05:30,132.0,248.0,34.2
2025-11-08 20:00:00+05:30,138.0,258.0,36.1
2025-11-08 21:00:00+05:30,145.0,269.0,37.2
2025-11-08 22:00:00+05:30,146.0,267.0,38.4
2025-11-08 23:00:00+05:30,160.0,295.0,39.8
2025-11-09 00:00:00+05:30,165.0,307.0,40.7
2025-11-09 01:00:00+05:30,169.0,312.0,40.7
2025-11-09 02:00:00+05:30,171.0,317.0,40.1
2025-11-09 03:00:00+05:30,189.0,362.0,38.7
2025-11-09 04:00:00+05:30,217.0,434.0,39.2
2025-11-09 05:00:00+05:30,237.0,497.0,39.1
