Local Time,PM1,PM25,RELATIVEHUMIDITY,TEMPERATURE,UM003
2025-11-28 17:00:00+05:30,62.6,118.0,48.3,22.6,4730.0
2025-11-28 18:00:00+05:30,63.6,119.0,48.6,22.7,4820.0
2025-11-28 19:00:00+05:30,76.0,144.0,51.5,22.4,5760.0
2025-11-28 20:00:00+05:30,91.3,172.0,52.6,22.1,6910.0
2025-11-28 21:00:00+05:30,114.0,212.0,53.0,21.8,8570.0
2025-11-28 22:00:00+05:30,120.0,222.0,52.8,21.5,8990.0
2025-11-28 23:00:00+05:30,126.0,234.0,52.5,21.3,9440.0
2025-11-29 00:00:00+05:30,131.0,247.0,52.5,21.1,9810.0
2025-11-29 01:00:00+05:30,137.0,264.0,52.5,20.9,10400.0
2025-11-29 02:00:00+05:30,139.0,272.0,52.3,20.7,10500.0
2025-11-29 03:00:00+05:30,140.0,276.0,52.2,20.6,10600.0
2025-11-29 04:00:00+05:30,138.0,275.0,52.1,20.5,10400.0
2025-11-29 05:00:00+05:30,135.0,270.0,51.8,20.4,10300.0
2025-11-29 06:00:00+05:30,130.0,261.0,51.8,20.2,9870.0
2025-11-29 07:00:00+05:30,133.0,270.0,51.8,20.0,10100.0
2025-11-29 08:00:00+05:30,144.0,294.0,51.7,19.9,11000.0
2025-11-29 09:00:00+05:30,134.0,272.0,51.5,20.0,10200.0
2025-11-29 10:00:00+05:30,116.0,233.0,48.2,20.5,8840.0
2025-11-29 11:00:00+05:30,100.0,197.0,46.9,21.2,7580.0
2025-11-29 12:00:00+05:30,77.3,150.0,45.1,21.8,5860.0
2025-11-29 13:00:00+05:30,62.4,121.0,41.6,22.1,4770.0
2025-11-29 14:00:00+05:30,50.3,96.4,39.9,22.5,3840.0
2025-11-29 15:00:00+05:30,44.0,83.9,38.4,22.7,3360.0
2025-11-29 16:00:00+05:30,39.8,75.7,39.2,22.9,3050.0
2025-11-29 17:00:00+05:30,35.9,68.2,39.6,23.0,2760.0
2025-11-29 18:00:00+05:30,41.2,77.2,44.2,22.9,3170.0
2025-11-29 19:00:00+05:30,43.7,82.6,47.7,22.6,3360.0
2025-11-29 20:00:00+05:30,69.5,127.0,48.7,22.2,5250.0
2025-11-29 21:00:00+05:30,70.6,129.0,49.0,21.8,5310.0
2025-11-29 22:00:00+05:30,88.5,161.0,49.3,21.5,6660.0
2025-11-29 23:00:00+05:30,110.0,199.0,48.9,21.2,8220.0
2025-11-30 00:00:00+05:30,116.0,213.0,48.8,21.1,8690.0
2025-11-30 01:00:00+05:30,118.0,219.0,48.5,20.9,8890.0
