Local Time,CO,NO,NOX,PM10,PM25,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,NO2,O3,NH3
2025-02-19 02:00:00+05:30,2.64,11.6,0.029,120.0,77.1,75.3,1.11,15.0,295.0,0.63,,,
2025-02-19 03:00:00+05:30,2.71,12.9,0.0314,113.0,74.8,72.6,1.09,15.4,213.0,0.53,,,
2025-02-19 04:00:00+05:30,2.53,12.7,0.0318,108.0,78.7,65.1,1.05,16.7,146.0,0.93,,,
2025-02-19 05:00:00+05:30,1.94,12.4,0.0309,102.0,67.6,60.2,0.993,17.3,51.1,0.827,,,
2025-02-19 06:00:00+05:30,1.99,11.9,0.0288,111.0,60.1,61.2,0.96,17.1,68.4,0.973,,,
2025-02-19 07:00:00+05:30,2.0,12.8,0.0303,115.0,55.7,59.6,0.963,17.0,70.2,0.957,,,
2025-02-19 08:00:00+05:30,1.42,13.1,0.0327,120.0,26.7,54.1,1.02,17.9,40.6,1.09,,,
2025-02-19 09:00:00+05:30,2.24,11.1,0.0263,127.0,91.2,46.1,1.03,19.7,54.9,1.22,,,
2025-02-19 10:00:00+05:30,2.98,10.2,0.0247,137.0,93.5,37.3,0.83,21.5,72.4,1.26,,,
2025-02-19 11:00:00+05:30,3.01,10.4,0.0278,146.0,118.0,31.1,1.06,22.9,81.2,1.43,,,
2025-02-19 12:00:00+05:30,3.23,11.0,0.0301,147.0,105.0,25.5,0.935,24.1,89.7,1.38,,,
2025-02-19 13:00:00+05:30,3.26,10.6,0.0292,138.0,88.4,22.0,0.997,24.9,58.9,1.15,,,
2025-02-19 14:00:00+05:30,1.06,10.4,0.0293,130.0,70.9,17.0,0.987,25.9,17.5,1.14,,,
2025-02-19 15:00:00+05:30,1.4,10.3,0.0283,125.0,61.3,18.1,0.84,26.1,34.6,1.14,,,
2025-02-19 16:00:00+05:30,1.58,11.0,0.0303,122.0,85.7,21.8,1.09,25.7,102.0,1.32,,,
2025-02-19 17:00:00+05:30,1.95,10.9,0.0306,126.0,76.0,23.9,1.02,24.9,103.0,1.48,,,
2025-02-19 18:00:00+05:30,2.15,10.3,0.0293,145.0,76.4,24.3,0.915,23.8,91.1,1.25,,,
2025-02-19 19:00:00+05:30,2.57,10.9,0.0299,151.0,88.5,28.0,1.04,22.9,97.0,0.973,,,
2025-02-19 20:00:00+05:30,1.99,12.6,0.0343,163.0,92.2,34.8,0.887,22.1,133.0,1.36,,,
2025-02-19 21:00:00+05:30,0.532,12.8,0.0341,194.0,89.9,37.9,1.08,21.2,180.0,0.88,,,
2025-02-19 22:00:00+05:30,0.0353,12.2,0.0325,199.0,89.5,42.3,0.997,20.6,247.0,0.883,,,
2025-02-19 23:00:00+05:30,2.1,12.3,0.0307,195.0,94.6,48.5,0.91,19.8,175.0,0.64,,,
2025-02-20 00:00:00+05:30,1.73,12.8,0.0299,192.0,97.1,50.2,1.09,19.5,301.0,1.08,,,
2025-02-20 01:00:00+05:30,1.35,16.9,0.0319,194.0,95.8,53.7,0.905,18.7,181.0,0.39,,,
2025-02-20 02:00:00+05:30,2.92,18.9,0.0315,193.0,96.9,51.1,1.17,19.5,176.0,0.54,,,
2025-02-20 03:00:00+05:30,2.43,17.4,0.0309,215.0,90.6,59.0,1.15,19.1,118.0,0.83,,,
2025-02-20 04:00:00+05:30,1.64,12.9,0.0317,221.0,94.1,81.4,1.44,17.3,146.0,0.533,,,
2025-02-20 05:00:00+05:30,2.86,13.9,0.0309,220.0,122.0,79.6,1.33,17.5,191.0,0.908,,,
2025-02-20 06:00:00+05:30,2.81,12.5,0.0297,233.0,95.0,77.8,2.15,17.1,284.0,1.26,,,
2025-02-20 07:00:00+05:30,2.64,11.5,0.0246,207.0,93.3,78.9,3.97,17.1,253.0,1.0,,,
2025-02-20 08:00:00+05:30,3.5,11.5,0.028,188.0,113.0,75.8,2.35,17.4,149.0,1.19,,,
2025-02-20 09:00:00+05:30,3.99,12.1,0.0321,163.0,121.0,67.8,1.34,18.3,161.0,1.1,,,
2025-02-20 10:00:00+05:30,3.94,12.3,0.0332,156.0,99.0,59.6,1.41,19.8,203.0,0.967,,,
2025-02-20 11:00:00+05:30,1.28,12.9,0.0342,147.0,84.7,52.0,1.65,21.1,253.0,1.8,,,
2025-02-20 12:00:00+05:30,0.674,12.2,0.0319,128.0,67.7,48.1,1.37,22.0,258.0,2.24,,,
2025-02-20 13:00:00+05:30,0.488,12.0,0.0322,121.0,57.5,42.3,1.34,23.0,268.0,2.8,,,
2025-02-20 14:00:00+05:30,1.42,10.6,0.0281,116.0,54.0,40.8,1.35,23.6,258.0,2.34,,,
2025-02-20 15:00:00+05:30,1.33,10.7,0.0283,111.0,49.0,38.3,1.09,23.9,260.0,2.61,,,
2025-02-20 16:00:00+05:30,1.1,11.0,0.0282,108.0,46.9,41.7,1.17,23.7,252.0,2.34,,,
2025-02-20 17:00:00+05:30,1.71,11.5,0.0301,102.0,46.8,44.0,1.14,23.0,266.0,2.27,,,
2025-02-20 18:00:00+05:30,1.88,11.4,0.0304,96.5,71.6,46.9,1.11,21.8,266.0,1.89,,,
2025-02-20 19:00:00+05:30,2.09,11.6,0.031,95.1,66.9,50.3,0.928,20.9,249.0,1.7,,,
2025-02-20 20:00:00+05:30,1.75,11.5,0.0309,91.0,55.2,51.4,1.2,20.4,252.0,1.87,,,
2025-02-20 21:00:00+05:30,1.73,10.9,0.0287,91.2,49.3,49.9,1.01,20.3,204.0,0.35,,,
2025-02-20 22:00:00+05:30,1.75,11.0,0.0292,99.2,68.7,52.6,1.02,19.9,237.0,1.17,,,
2025-02-20 23:00:00+05:30,1.98,11.4,0.0305,96.6,68.3,51.8,0.987,19.6,258.0,1.28,,,
2025-02-21 00:00:00+05:30,1.87,11.2,0.0296,89.1,61.6,52.1,1.14,19.3,173.0,0.59,,,
2025-02-21 01:00:00+05:30,1.28,11.6,0.0309,109.0,51.9,60.3,1.05,17.7,142.0,1.0,,,
2025-02-21 02:00:00+05:30,1.54,11.3,0.0304,113.0,82.6,60.3,0.827,17.5,136.0,1.21,,,
2025-02-21 03:00:00+05:30,1.7,11.9,0.0314,119.0,86.4,62.0,1.09,17.3,144.0,1.15,,,
2025-02-21 04:00:00+05:30,1.34,11.9,0.0321,145.0,77.1,64.8,1.04,16.7,139.0,1.21,,,
2025-02-21 05:00:00+05:30,1.91,10.9,0.0295,133.0,77.1,72.0,0.877,15.7,120.0,0.583,,,
2025-02-21 06:00:00+05:30,2.06,11.9,0.0315,111.0,71.5,80.2,0.765,15.0,164.0,0.305,,,
