Local Time,CO,NO,NOX,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,PM10,NO2,O3,NH3
2025-02-19 02:00:00+05:30,0.15,5.0,0.0369,87.0,1.75,12.5,230.0,0.3,,,,,
2025-02-19 03:00:00+05:30,0.35,16.3,0.0466,88.8,1.9,12.3,226.0,0.4,,,,,
2025-02-19 04:00:00+05:30,0.645,23.5,0.0521,89.0,1.8,12.3,198.0,0.65,,,,,
2025-02-19 05:00:00+05:30,0.588,12.7,0.0431,88.8,2.27,12.2,213.0,0.75,,,,,
2025-02-19 06:00:00+05:30,0.563,11.5,0.0415,88.5,3.63,12.2,234.0,0.775,,,,,
2025-02-19 07:00:00+05:30,0.508,8.15,0.0388,88.8,3.73,12.1,240.0,1.25,,,,,
2025-02-19 08:00:00+05:30,0.523,7.23,0.037,87.0,3.35,12.4,234.0,1.33,,,,,
2025-02-19 09:00:00+05:30,0.56,6.9,0.0349,68.8,6.7,15.3,248.0,2.0,,,,,
2025-02-19 10:00:00+05:30,0.44,3.33,0.0263,52.5,13.4,18.2,247.0,2.55,,,,,
2025-02-19 11:00:00+05:30,0.345,1.53,0.0213,46.0,12.0,20.1,267.0,2.43,,,,,
2025-02-19 12:00:00+05:30,0.285,1.3,0.0192,42.3,8.18,21.3,254.0,2.83,,,,,
2025-02-19 13:00:00+05:30,0.198,0.875,0.0158,38.0,5.25,22.2,260.0,3.08,,,,,
2025-02-19 14:00:00+05:30,0.113,0.8,0.0143,35.8,4.4,22.4,264.0,2.3,,,,,
2025-02-19 15:00:00+05:30,0.105,0.8,0.0153,37.0,6.55,22.6,244.0,2.98,,,,,
2025-02-19 16:00:00+05:30,0.11,0.85,0.0163,37.5,7.4,22.1,234.0,2.5,,,,,
2025-02-19 17:00:00+05:30,0.105,1.03,0.017,40.3,7.57,21.2,228.0,1.9,,,,,
2025-02-19 18:00:00+05:30,0.165,0.875,0.0218,46.5,7.28,19.1,195.0,0.375,,,,,
2025-02-19 19:00:00+05:30,0.243,0.875,0.028,53.8,7.03,17.0,179.0,0.3,,,,,
2025-02-19 20:00:00+05:30,0.357,1.2,0.0371,59.8,8.05,16.4,65.5,0.575,,,,,
2025-02-19 21:00:00+05:30,0.54,0.8,0.0319,64.3,10.4,15.9,19.0,0.3,,,,,
2025-02-19 22:00:00+05:30,0.618,2.45,0.0403,62.0,9.1,16.3,113.0,0.95,,,,,
2025-02-19 23:00:00+05:30,0.705,2.18,0.0469,61.8,8.67,16.0,151.0,0.375,,,,,
2025-02-20 00:00:00+05:30,0.703,3.53,0.0438,66.3,6.33,15.6,12.3,0.367,,,,,
2025-02-20 01:00:00+05:30,0.705,5.35,0.0434,67.5,6.65,15.2,98.0,0.75,,,,,
2025-02-20 02:00:00+05:30,0.657,7.78,0.0442,71.8,6.05,14.9,145.0,1.23,,,,,
2025-02-20 03:00:00+05:30,0.1,3.2,0.0338,81.5,4.0,14.4,223.0,1.0,,,,,
2025-02-20 04:00:00+05:30,0.303,2.68,0.0298,82.3,3.98,14.4,160.0,0.85,,,,,
2025-02-20 05:00:00+05:30,0.363,1.85,0.0262,87.3,4.8,14.0,91.0,1.08,,,,,
2025-02-20 06:00:00+05:30,0.355,1.33,0.0257,79.0,5.9,14.6,96.0,1.38,,,,,
