Local Time,NO,NOX,O3,PM25,NO2,SO2,CO,NH3
2025-09-28 16:00:00+05:30,5.48,0.0167,15.8,,,,,
2025-09-28 17:00:00+05:30,6.78,0.0143,20.3,,,,,
2025-09-28 18:00:00+05:30,5.98,0.0145,17.5,,,,,
2025-09-29 10:00:00+05:30,6.4,0.0158,19.2,,,,,
2025-09-29 11:00:00+05:30,5.54,0.0171,16.0,,,,,
2025-09-29 12:00:00+05:30,6.26,0.0169,18.5,,,,,
2025-09-29 13:00:00+05:30,4.22,0.011,13.6,,,,,
2025-09-29 14:00:00+05:30,5.22,0.0169,16.5,,,,,
2025-09-29 15:00:00+05:30,6.48,0.0151,19.2,,,,,
2025-09-29 16:00:00+05:30,5.99,0.0169,17.6,,,,,
2025-09-29 17:00:00+05:30,6.04,0.0171,17.7,,,,,
2025-09-29 18:00:00+05:30,5.45,0.0176,15.7,,,,,
2025-09-29 19:00:00+05:30,5.6,0.0149,16.2,,,,,
2025-09-29 20:00:00+05:30,5.98,0.0182,17.5,,,,,
2025-09-29 21:00:00+05:30,5.49,0.0169,15.8,,,,,
2025-09-29 22:00:00+05:30,6.02,0.017,17.7,,,,,
2025-09-29 23:00:00+05:30,6.59,0.0135,19.6,,,,,
2025-09-30 00:00:00+05:30,5.45,0.0139,15.7,,,,,
2025-09-30 01:00:00+05:30,5.29,0.0161,15.2,,,,,
2025-09-30 02:00:00+05:30,6.29,0.0164,18.6,,,,,
2025-09-30 03:00:00+05:30,6.7,0.0162,20.0,,,,,
2025-09-30 04:00:00+05:30,6.02,0.0157,17.7,,,,,
2025-09-30 05:00:00+05:30,6.12,0.0151,18.0,,,,,
2025-09-30 06:00:00+05:30,5.9,0.0145,17.2,,,,,
2025-09-30 07:00:00+05:30,6.2,0.0148,18.3,,,,,
2025-09-30 08:00:00+05:30,5.36,0.0157,15.4,,,,,
2025-09-30 09:00:00+05:30,6.32,0.0147,18.7,,,,,
2025-09-30 10:00:00+05:30,5.75,0.0137,16.7,,,,,
2025-09-30 11:00:00+05:30,6.51,0.0154,19.3,,,,,
2025-09-30 12:00:00+05:30,6.01,0.017,17.6,,,,,
2025-09-30 13:00:00+05:30,6.69,0.0155,19.9,,,,,
2025-09-30 14:00:00+05:30,6.22,0.0153,18.3,,,,,
2025-09-30 15:00:00+05:30,6.51,0.0144,19.3,,,,,
2025-09-30 16:00:00+05:30,6.62,0.0153,19.7,,,,,
2025-09-30 17:00:00+05:30,6.79,0.0172,20.3,,,,,
2025-09-30 18:00:00+05:30,6.31,0.0166,18.7,,,,,
2025-09-30 19:00:00+05:30,5.38,0.0164,15.5,,,,,
2025-09-30 20:00:00+05:30,5.16,0.0149,14.7,,,,,
2025-09-30 21:00:00+05:30,6.27,0.0158,18.5,,,,,
2025-09-30 22:00:00+05:30,5.71,0.0191,16.6,,,,,
2025-09-30 23:00:00+05:30,5.55,0.0151,16.0,,,,,
2025-10-01 00:00:00+05:30,5.92,0.0156,17.3,,,,,
2025-10-01 01:00:00+05:30,6.27,0.0167,18.5,,,,,
2025-10-01 02:00:00+05:30,5.51,0.0166,15.9,,,,,
2025-10-01 03:00:00+05:30,6.78,0.016,20.2,,,,,
2025-10-01 04:00:00+05:30,6.33,0.0174,18.7,,,,,
