Local Time,NO,NO2,NOX,PM10
2025-09-30 14:00:00+05:30,23.2,19.2,0.0416,22.4
2025-09-30 15:00:00+05:30,9.59,19.9,0.0282,30.0
2025-10-03 15:00:00+05:30,33.0,17.4,0.0504,27.6
2025-10-03 16:00:00+05:30,26.6,22.0,0.0483,33.7
2025-10-03 18:00:00+05:30,7.05,4.15,0.00588,-50.0
2025-10-03 19:00:00+05:30,0.9,16.9,0.00622,-20.0
2025-10-03 20:00:00+05:30,5.48,13.3,0.0175,80.2
2025-10-03 21:00:00+05:30,3.49,17.7,0.0199,117.0
2025-10-03 22:00:00+05:30,6.98,18.2,0.0252,119.0
2025-10-03 23:00:00+05:30,8.78,18.2,0.027,156.0
2025-10-04 00:00:00+05:30,11.3,18.9,0.0302,164.0
2025-10-04 01:00:00+05:30,14.6,17.5,0.0321,139.0
2025-10-04 02:00:00+05:30,2.78,18.4,0.0199,130.0
2025-10-04 03:00:00+05:30,6.79,18.4,0.0252,123.0
2025-10-04 04:00:00+05:30,7.51,17.1,0.0246,119.0
2025-10-04 05:00:00+05:30,11.8,16.9,0.0287,116.0
2025-10-04 06:00:00+05:30,12.5,18.6,0.0311,105.0
2025-10-04 07:00:00+05:30,2.95,20.4,0.021,91.2
2025-10-04 08:00:00+05:30,4.34,17.3,0.0212,78.7
2025-10-04 09:00:00+05:30,7.52,18.1,0.0257,103.0
2025-10-04 10:00:00+05:30,10.3,18.5,0.0288,106.0
2025-10-04 11:00:00+05:30,13.5,17.7,0.0312,90.5
2025-10-04 12:00:00+05:30,10.1,19.5,0.0296,59.9
2025-10-04 13:00:00+05:30,2.06,17.6,0.0165,49.5
2025-10-04 14:00:00+05:30,10.9,16.6,0.0274,40.8
2025-10-04 15:00:00+05:30,13.0,18.7,0.0317,41.9
2025-10-04 16:00:00+05:30,13.7,20.8,0.0343,38.5
2025-10-04 17:00:00+05:30,8.36,18.3,0.0218,57.8
2025-10-04 18:00:00+05:30,3.11,15.9,0.0168,57.4
2025-10-04 19:00:00+05:30,8.28,17.1,0.0254,61.7
2025-10-04 20:00:00+05:30,8.99,17.9,0.0269,73.0
2025-10-04 21:00:00+05:30,11.0,17.1,0.0281,90.9
2025-10-04 22:00:00+05:30,11.0,19.0,0.03,100.0
2025-10-04 23:00:00+05:30,9.54,18.5,0.0269,103.0
2025-10-05 00:00:00+05:30,3.28,18.4,0.0192,100.0
2025-10-05 01:00:00+05:30,10.3,17.4,0.0278,119.0
2025-10-05 02:00:00+05:30,12.3,17.5,0.0298,110.0
2025-10-05 03:00:00+05:30,12.1,17.4,0.0295,118.0
2025-10-05 04:00:00+05:30,10.7,17.7,0.0283,115.0
2025-10-05 05:00:00+05:30,4.17,19.7,0.023,102.0
2025-10-05 06:00:00+05:30,8.17,17.3,0.0255,99.4
2025-10-05 07:00:00+05:30,6.86,17.9,0.0247,81.0
2025-10-05 08:00:00+05:30,9.92,17.7,0.0276,74.0
2025-10-05 09:00:00+05:30,12.3,18.8,0.0312,68.5
2025-10-05 10:00:00+05:30,3.27,19.1,0.0194,79.2
2025-10-05 11:00:00+05:30,6.78,18.0,0.0247,75.2
2025-10-05 12:00:00+05:30,8.07,18.1,0.0262,70.4
2025-10-05 13:00:00+05:30,10.6,18.8,0.0294,72.4
2025-10-05 14:00:00+05:30,13.1,19.3,0.0324,52.4
2025-10-05 15:00:00+05:30,4.38,19.3,0.0202,60.9
2025-10-05 16:00:00+05:30,3.57,17.7,0.0211,45.6
2025-10-05 17:00:00+05:30,9.01,17.7,0.0268,41.8
2025-10-05 18:00:00+05:30,11.2,18.0,0.0292,52.7
2025-10-05 19:00:00+05:30,9.2,18.2,0.0273,54.5
2025-10-05 20:00:00+05:30,7.06,16.1,0.0225,55.6
2025-10-05 21:00:00+05:30,3.84,16.4,0.0187,65.0
2025-10-05 22:00:00+05:30,6.53,18.2,0.0247,126.0
2025-10-05 23:00:00+05:30,8.55,18.4,0.027,154.0
2025-10-06 00:00:00+05:30,9.75,19.5,0.0293,149.0
2025-10-06 01:00:00+05:30,10.0,19.6,0.029,120.0
2025-10-06 02:00:00+05:30,3.47,17.6,0.0195,80.3
2025-10-06 03:00:00+05:30,5.95,17.2,0.0232,46.8
2025-10-06 04:00:00+05:30,9.28,19.1,0.0283,33.0
2025-10-06 05:00:00+05:30,10.9,16.9,0.0278,23.7
2025-10-06 06:00:00+05:30,8.93,18.1,0.0271,29.8
2025-10-06 07:00:00+05:30,6.7,18.4,0.0249,30.4
2025-10-06 08:00:00+05:30,5.35,17.8,0.0231,22.7
2025-10-06 09:00:00+05:30,8.3,18.3,0.0266,47.6
2025-10-06 10:00:00+05:30,8.96,17.4,0.0264,54.4
2025-10-06 11:00:00+05:30,11.3,17.8,0.0291,55.9
2025-10-06 12:00:00+05:30,11.8,17.6,0.0292,65.8
2025-10-06 13:00:00+05:30,6.52,19.8,0.0253,66.7
2025-10-06 14:00:00+05:30,9.7,17.7,0.0274,49.6
2025-10-06 15:00:00+05:30,8.79,17.9,0.0267,49.0
2025-10-06 16:00:00+05:30,9.27,19.5,0.0285,47.6
2025-10-06 17:00:00+05:30,11.0,18.7,0.0295,41.0
2025-10-06 18:00:00+05:30,4.84,16.0,0.0203,31.4
2025-10-06 19:00:00+05:30,8.25,17.3,0.0256,39.4
2025-10-06 20:00:00+05:30,8.2,19.2,0.0274,42.6
2025-10-06 21:00:00+05:30,9.57,17.6,0.0272,40.0
2025-10-06 22:00:00+05:30,9.82,16.9,0.0264,48.0
2025-10-06 23:00:00+05:30,5.87,16.3,0.02,45.3
2025-10-07 00:00:00+05:30,11.4,19.1,0.0304,44.6
2025-10-07 01:00:00+05:30,8.91,17.6,0.0265,43.7
2025-10-07 02:00:00+05:30,9.57,16.4,0.026,35.9
2025-10-07 03:00:00+05:30,11.9,17.3,0.0292,37.0
