Local Time,NO,NOX,PM10,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,NO2,SO2,CO,O3,NH3
2025-02-19 02:00:00+05:30,30.7,0.0775,122.0,62.0,18.9,4.0,0.3,,,,,
2025-02-19 03:00:00+05:30,30.7,0.0746,110.0,64.8,18.1,111.0,0.3,,,,,
2025-02-19 04:00:00+05:30,28.6,0.0709,90.5,66.3,18.3,156.0,0.3,,,,,
2025-02-19 05:00:00+05:30,37.8,0.0761,83.5,70.3,16.4,126.0,0.3,,,,,
2025-02-19 06:00:00+05:30,17.3,0.0628,82.0,67.0,18.5,64.0,0.3,,,,,
2025-02-19 07:00:00+05:30,52.8,0.0926,86.0,69.3,17.4,103.0,0.3,,,,,
2025-02-19 08:00:00+05:30,22.2,0.064,120.0,65.5,19.7,100.0,0.3,,,,,
2025-02-19 09:00:00+05:30,14.4,0.0524,149.0,56.5,24.4,112.0,0.325,,,,,
2025-02-19 10:00:00+05:30,9.18,0.0466,153.0,50.5,28.6,108.0,0.3,,,,,
2025-02-19 11:00:00+05:30,3.8,0.0398,142.0,42.5,31.9,116.0,0.3,,,,,
2025-02-19 12:00:00+05:30,3.05,0.0306,115.0,37.8,34.5,122.0,0.325,,,,,
2025-02-19 13:00:00+05:30,3.17,0.0259,99.3,35.3,36.8,90.0,0.333,,,,,
2025-02-19 14:00:00+05:30,2.47,0.0176,88.0,33.5,35.5,85.5,0.6,,,,,
2025-02-19 15:00:00+05:30,2.55,0.0153,80.0,32.5,37.6,129.0,0.3,,,,,
2025-02-19 16:00:00+05:30,1.6,0.0136,73.0,33.0,37.3,113.0,0.35,,,,,
2025-02-19 17:00:00+05:30,2.05,0.0207,85.5,38.5,34.2,91.3,0.325,,,,,
2025-02-19 18:00:00+05:30,3.78,0.0313,116.0,41.5,31.9,90.8,0.3,,,,,
2025-02-19 19:00:00+05:30,4.1,0.0536,154.0,45.8,28.7,37.3,0.3,,,,,
2025-02-19 20:00:00+05:30,5.73,0.0705,192.0,45.3,27.9,8.25,0.3,,,,,
2025-02-19 21:00:00+05:30,23.8,0.0938,238.0,47.8,26.8,8.0,0.3,,,,,
2025-02-19 22:00:00+05:30,19.9,0.0784,272.0,50.5,26.2,52.0,0.3,,,,,
2025-02-19 23:00:00+05:30,1.3,0.0429,218.0,49.3,27.1,82.8,0.3,,,,,
2025-02-20 00:00:00+05:30,4.93,0.048,163.0,52.0,25.6,13.0,1.07,,,,,
2025-02-20 01:00:00+05:30,15.5,0.0613,153.0,60.5,22.4,96.0,0.3,,,,,
2025-02-20 02:00:00+05:30,8.93,0.0597,152.0,58.3,24.0,104.0,0.325,,,,,
2025-02-20 03:00:00+05:30,13.7,0.0637,153.0,62.0,23.3,96.3,0.325,,,,,
2025-02-20 04:00:00+05:30,2.7,0.0353,120.0,68.3,21.7,88.0,0.375,,,,,
2025-02-20 05:00:00+05:30,1.98,0.0218,62.0,70.5,21.5,83.5,0.3,,,,,
2025-02-20 06:00:00+05:30,2.35,0.0224,45.0,76.0,20.4,79.3,0.425,,,,,
2025-02-20 07:00:00+05:30,1.63,0.0196,41.5,77.3,20.0,91.3,0.5,,,,,
2025-02-20 08:00:00+05:30,6.28,0.0308,27.5,76.5,20.5,39.3,0.3,,,,,
2025-02-20 09:00:00+05:30,14.6,0.0423,41.5,70.8,24.5,81.5,0.3,,,,,
2025-02-20 10:00:00+05:30,3.88,0.022,51.5,61.5,27.3,81.3,0.3,,,,,
2025-02-20 11:00:00+05:30,3.0,0.0153,41.0,61.5,27.6,64.0,0.325,,,,,
2025-02-20 12:00:00+05:30,2.93,0.0148,45.0,56.0,30.1,80.8,0.9,,,,,
2025-02-20 13:00:00+05:30,1.13,0.0108,52.5,49.8,32.4,82.0,0.875,,,,,
2025-02-20 14:00:00+05:30,1.53,0.0086,58.5,47.8,32.8,83.0,1.33,,,,,
2025-02-20 15:00:00+05:30,1.77,0.00875,59.0,47.0,32.7,86.3,1.78,,,,,
2025-02-20 16:00:00+05:30,2.4,0.00948,53.5,48.3,32.1,83.5,0.925,,,,,
2025-02-20 17:00:00+05:30,2.95,0.0152,49.0,51.3,30.6,82.5,0.725,,,,,
2025-02-20 18:00:00+05:30,2.33,0.014,46.0,53.3,28.6,79.5,0.575,,,,,
2025-02-20 19:00:00+05:30,3.0,0.0192,49.5,56.5,26.6,78.5,0.325,,,,,
2025-02-20 20:00:00+05:30,3.55,0.0218,57.5,57.0,25.6,76.0,0.475,,,,,
2025-02-20 21:00:00+05:30,2.47,0.0183,65.5,57.5,25.5,82.8,0.45,,,,,
2025-02-20 22:00:00+05:30,2.53,0.0188,69.0,58.3,25.1,67.8,0.4,,,,,
2025-02-20 23:00:00+05:30,1.65,0.023,85.0,60.8,24.0,99.8,0.3,,,,,
2025-02-21 00:00:00+05:30,1.7,0.0181,88.7,59.0,23.9,78.3,0.3,,,,,
2025-02-21 01:00:00+05:30,3.75,0.0237,87.0,61.0,21.7,81.0,0.3,,,,,
2025-02-21 02:00:00+05:30,2.6,0.0346,95.5,63.8,20.7,49.3,0.3,,,,,
2025-02-21 03:00:00+05:30,0.85,0.0258,83.0,66.0,19.5,88.8,0.3,,,,,
2025-02-21 04:00:00+05:30,7.73,0.0396,91.0,68.8,19.0,4.0,0.3,,,,,
2025-02-21 05:00:00+05:30,2.35,0.0333,112.0,70.5,18.3,7.0,0.3,,,,,
2025-02-21 06:00:00+05:30,2.37,0.0269,93.5,72.0,18.0,5.0,0.3,,,,,
2025-02-21 07:00:00+05:30,18.6,0.0477,93.0,72.8,17.4,1.75,0.3,,,,,
2025-02-21 08:00:00+05:30,21.7,0.0535,116.0,71.5,18.9,1.25,0.875,,,,,
2025-02-21 09:00:00+05:30,20.1,0.0541,140.0,62.3,24.8,26.0,0.3,,,,,
2025-02-21 10:00:00+05:30,6.8,0.0289,122.0,49.8,29.9,77.5,0.3,,,,,
2025-02-21 11:00:00+05:30,3.1,0.0237,90.7,45.0,32.3,89.7,0.3,,,,,
2025-02-21 12:00:00+05:30,1.9,0.0118,69.3,44.3,33.6,105.0,0.367,,,,,
2025-02-21 13:00:00+05:30,2.33,0.009,65.0,44.3,34.5,103.0,0.325,,,,,
2025-02-21 14:00:00+05:30,2.28,0.0078,68.0,42.8,35.3,84.5,0.3,,,,,
2025-02-21 15:00:00+05:30,0.35,0.00618,68.0,39.0,36.1,110.0,0.3,,,,,
2025-02-21 16:00:00+05:30,2.7,0.0186,90.5,47.3,32.1,98.3,0.5,,,,,
2025-02-21 17:00:00+05:30,1.13,0.0189,116.0,51.3,30.4,108.0,0.4,,,,,
2025-02-21 18:00:00+05:30,1.5,0.0195,113.0,54.0,28.4,89.0,0.375,,,,,
2025-02-21 19:00:00+05:30,1.83,0.0235,98.7,58.0,26.6,117.0,0.3,,,,,
2025-02-21 20:00:00+05:30,1.55,0.0196,92.0,60.8,26.2,106.0,0.325,,,,,
2025-02-21 21:00:00+05:30,2.18,0.0216,87.0,64.0,25.2,110.0,0.3,,,,,
2025-02-21 22:00:00+05:30,1.65,0.0231,83.0,65.8,24.4,113.0,0.3,,,,,
2025-02-21 23:00:00+05:30,2.1,0.0235,80.7,67.0,23.9,111.0,0.333,,,,,
2025-02-22 00:00:00+05:30,0.4,0.0226,76.3,68.3,23.1,97.7,0.367,,,,,
2025-02-22 01:00:00+05:30,4.25,0.0187,68.0,70.0,21.9,103.0,0.3,,,,,
2025-02-22 02:00:00+05:30,2.97,0.0197,66.0,71.5,21.2,85.0,0.3,,,,,
2025-02-22 03:00:00+05:30,1.75,0.0192,62.0,73.0,20.7,84.3,0.425,,,,,
2025-02-22 04:00:00+05:30,1.8,0.0168,56.5,74.3,19.8,88.5,0.3,,,,,
2025-02-22 05:00:00+05:30,1.73,0.0169,54.5,75.8,19.0,80.8,0.3,,,,,
2025-02-22 06:00:00+05:30,2.5,0.0164,55.0,77.0,18.4,81.0,0.325,,,,,
2025-02-22 07:00:00+05:30,1.43,0.016,53.0,77.0,18.1,99.8,0.3,,,,,
2025-02-22 08:00:00+05:30,2.35,0.0179,55.0,75.3,19.3,111.0,0.3,,,,,
