Local Time,CO,NO,NO2,NOX,PM10,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,SO2,O3,NH3
2025-02-19 02:00:00+05:30,0.71,108.0,51.6,0.116,92.0,45.5,15.6,352.0,0.45,,,,
2025-02-19 03:00:00+05:30,1.08,91.3,51.4,0.102,86.0,46.0,15.3,352.0,0.625,,,,
2025-02-19 04:00:00+05:30,0.908,79.5,53.7,0.0932,81.0,47.5,14.9,324.0,0.625,,,,
2025-02-19 05:00:00+05:30,0.735,72.5,52.9,0.0871,88.5,51.0,14.0,329.0,0.725,,,,
2025-02-19 06:00:00+05:30,0.713,72.6,51.2,0.0863,93.5,52.0,13.7,349.0,0.5,,,,
2025-02-19 07:00:00+05:30,0.7,76.0,48.4,0.0875,96.0,52.8,13.4,352.0,0.675,,,,
2025-02-19 08:00:00+05:30,0.705,84.8,44.2,0.0924,96.5,51.3,13.7,352.0,1.05,,,,
2025-02-19 09:00:00+05:30,0.713,79.3,49.7,0.0909,98.5,44.5,15.5,343.0,1.38,,,,
2025-02-19 10:00:00+05:30,0.71,57.4,64.9,0.0813,101.0,38.3,17.5,333.0,1.2,,,,
2025-02-19 11:00:00+05:30,0.653,32.5,77.7,0.0678,98.5,31.5,19.5,312.0,1.33,,,,
2025-02-19 12:00:00+05:30,0.51,10.9,81.8,0.0524,89.5,23.8,21.4,328.0,1.38,,,,
2025-02-19 13:00:00+05:30,0.345,2.8,76.9,0.0432,71.0,19.3,22.4,338.0,1.55,,,,
2025-02-19 14:00:00+05:30,0.25,3.33,78.6,0.0445,58.5,18.5,23.0,332.0,1.43,,,,
2025-02-19 15:00:00+05:30,,,,,52.5,18.3,23.5,339.0,1.48,,,,
2025-02-19 16:00:00+05:30,,0.2,65.9,0.0351,50.3,18.3,23.8,343.0,1.33,,,,
2025-02-19 17:00:00+05:30,0.785,2.88,57.5,0.033,46.5,19.5,23.4,344.0,1.08,,,,
2025-02-19 18:00:00+05:30,0.865,6.0,82.5,0.0488,49.5,22.8,22.4,351.0,0.925,,,,
2025-02-19 19:00:00+05:30,1.14,9.03,96.6,0.0587,72.5,27.3,21.1,289.0,1.0,,,,
2025-02-19 20:00:00+05:30,1.46,9.55,99.4,0.0606,97.5,27.3,20.6,71.3,1.23,,,,
2025-02-19 21:00:00+05:30,1.84,14.1,101.0,0.065,124.0,30.8,20.0,28.0,0.875,,,,
2025-02-19 22:00:00+05:30,2.09,25.5,91.4,0.0694,141.0,33.8,19.2,327.0,1.38,,,,
2025-02-19 23:00:00+05:30,1.48,35.2,82.6,0.0726,130.0,35.0,19.1,219.0,0.95,,,,
2025-02-20 00:00:00+05:30,1.35,38.0,75.5,0.071,117.0,38.0,18.3,303.0,0.933,,,,
2025-02-20 01:00:00+05:30,0.95,38.1,71.3,0.0689,101.0,40.0,17.7,133.0,1.05,,,,
2025-02-20 02:00:00+05:30,0.91,39.8,70.4,0.0698,106.0,43.0,17.5,352.0,1.3,,,,
2025-02-20 03:00:00+05:30,0.89,61.0,60.8,0.0819,98.0,49.8,16.6,293.0,1.1,,,,
2025-02-20 04:00:00+05:30,0.723,66.2,57.9,0.0846,78.0,52.5,16.1,314.0,1.18,,,,
2025-02-20 05:00:00+05:30,0.37,48.8,61.4,0.0724,64.7,58.7,15.1,294.0,1.43,,,,
