Local Time,CO,NO,NOX,O3,PM25,PM10,NO2,SO2,NH3
2025-09-30 11:00:00+05:30,0.565,9.13,0.0253,24.2,36.6,,,,
2025-09-30 12:00:00+05:30,0.55,8.81,0.0254,24.0,35.1,,,,
2025-09-30 13:00:00+05:30,0.555,8.91,0.0246,23.7,35.5,,,,
2025-09-30 14:00:00+05:30,0.565,9.07,0.0251,24.0,36.3,,,,
2025-09-30 18:00:00+05:30,0.56,9.01,0.0246,24.0,36.1,,,,
2025-09-30 19:00:00+05:30,0.573,9.19,0.0257,24.6,36.9,,,,
2025-09-30 20:00:00+05:30,0.563,9.11,0.0246,24.4,36.6,,,,
2025-09-30 21:00:00+05:30,0.563,9.03,0.0252,24.1,36.1,,,,
2025-09-30 22:00:00+05:30,0.568,9.12,0.0249,24.4,36.6,,,,
2025-09-30 23:00:00+05:30,0.573,9.2,0.0246,24.6,37.0,,,,
2025-10-01 00:00:00+05:30,0.565,9.04,0.0255,24.1,36.2,,,,
2025-10-01 01:00:00+05:30,0.575,9.22,0.0246,24.7,37.1,,,,
2025-10-01 02:00:00+05:30,0.563,9.05,0.0251,24.2,36.2,,,,
2025-10-01 03:00:00+05:30,0.553,8.85,0.0247,23.5,35.2,,,,
2025-10-01 04:00:00+05:30,0.56,9.0,0.0248,24.0,36.0,,,,
2025-10-01 05:00:00+05:30,0.553,8.9,0.0253,23.7,35.5,,,,
2025-10-01 06:00:00+05:30,0.565,9.03,0.026,24.1,36.2,,,,
2025-10-01 07:00:00+05:30,0.563,9.04,0.0249,24.1,36.2,,,,
2025-10-01 08:00:00+05:30,0.563,9.02,0.0246,24.1,36.1,,,,
2025-10-01 09:00:00+05:30,0.558,8.94,0.0251,23.8,35.7,,,,
2025-10-01 10:00:00+05:30,0.555,8.91,0.0246,23.7,35.5,,,,
2025-10-01 11:00:00+05:30,0.555,8.91,0.0255,23.7,35.5,,,,
2025-10-01 12:00:00+05:30,0.567,9.16,0.0255,24.5,36.8,,,,
2025-10-01 13:00:00+05:30,0.558,8.9,0.0252,23.7,35.5,,,,
2025-10-01 14:00:00+05:30,0.563,9.11,0.0244,24.4,36.5,,,,
2025-10-01 15:00:00+05:30,0.565,9.1,0.0246,24.3,36.5,,,,
2025-10-01 16:00:00+05:30,0.57,9.16,0.0256,24.5,36.8,,,,
2025-10-01 17:00:00+05:30,0.56,8.94,0.0247,23.9,35.7,,,,
2025-10-01 18:00:00+05:30,0.553,8.87,0.026,23.6,35.3,,,,
2025-10-01 19:00:00+05:30,0.555,8.94,0.025,23.8,35.7,,,,
2025-10-01 20:00:00+05:30,0.56,8.97,0.0257,23.9,35.9,,,,
2025-10-01 21:00:00+05:30,0.555,8.9,0.0253,23.6,35.5,,,,
2025-10-01 22:00:00+05:30,0.557,8.95,0.0246,23.8,35.7,,,,
2025-10-01 23:00:00+05:30,0.563,9.04,0.0248,24.1,36.2,,,,
2025-10-02 00:00:00+05:30,0.56,8.92,0.0248,23.7,35.6,,,,
2025-10-02 12:00:00+05:30,0.567,9.07,0.0254,24.2,36.4,,,,
2025-10-02 13:00:00+05:30,0.555,8.94,0.0251,23.8,35.7,,,,
2025-10-02 14:00:00+05:30,0.563,9.02,0.0251,24.0,36.1,,,,
2025-10-02 15:00:00+05:30,0.55,8.8,0.0251,23.3,35.0,,,,
2025-10-02 18:00:00+05:30,0.565,9.12,0.0251,24.4,36.6,,,,
2025-10-02 19:00:00+05:30,0.555,8.92,0.0252,23.7,35.6,,,,
2025-10-02 20:00:00+05:30,0.563,9.03,0.0249,24.1,36.2,,,,
2025-10-02 21:00:00+05:30,0.553,8.9,0.0252,23.7,35.5,,,,
2025-10-02 22:00:00+05:30,0.565,8.86,0.0255,24.2,35.3,,,,
2025-10-02 23:00:00+05:30,0.555,8.92,0.0251,23.7,35.6,,,,
2025-10-03 00:00:00+05:30,0.54,8.72,0.0253,23.1,34.6,,,,
2025-10-03 01:00:00+05:30,0.545,8.79,0.0251,23.3,35.0,,,,
2025-10-03 02:00:00+05:30,0.555,8.89,0.0252,23.6,35.5,,,,
2025-10-03 03:00:00+05:30,0.548,8.81,0.0253,23.4,35.1,,,,
2025-10-03 04:00:00+05:30,0.563,9.01,0.0247,24.0,36.0,,,,
2025-10-03 05:00:00+05:30,0.558,8.99,0.0246,24.0,35.9,,,,
2025-10-03 06:00:00+05:30,0.56,9.0,0.0252,24.0,36.0,,,,
2025-10-03 07:00:00+05:30,0.56,9.02,0.025,24.1,36.1,,,,
2025-10-03 17:00:00+05:30,0.56,9.0,0.026,24.0,36.0,,,,
2025-10-03 18:00:00+05:30,0.563,9.01,0.0256,24.0,36.1,,,,
2025-10-03 19:00:00+05:30,0.573,9.2,0.0261,24.7,37.0,,,,
2025-10-03 20:00:00+05:30,0.563,9.1,0.0251,24.3,36.5,,,,
2025-10-03 21:00:00+05:30,0.563,9.08,0.0249,24.3,36.4,,,,
2025-10-03 22:00:00+05:30,0.56,8.97,0.0254,23.9,35.9,,,,
2025-10-03 23:00:00+05:30,0.57,9.12,0.0252,24.4,36.6,,,,
2025-10-04 00:00:00+05:30,0.555,8.86,0.025,23.5,35.3,,,,
2025-10-04 01:00:00+05:30,0.56,9.07,0.024,24.2,36.3,,,,
2025-10-04 02:00:00+05:30,0.563,9.1,0.0252,24.3,36.5,,,,
2025-10-04 03:00:00+05:30,0.563,9.02,0.0252,24.1,36.1,,,,
2025-10-04 04:00:00+05:30,0.56,9.0,0.0252,24.0,36.0,,,,
2025-10-04 05:00:00+05:30,0.565,9.04,0.0246,24.1,36.2,,,,
2025-10-04 06:00:00+05:30,0.555,8.95,0.0249,23.8,35.7,,,,
2025-10-04 07:00:00+05:30,0.565,9.07,0.025,24.2,36.4,,,,
2025-10-04 08:00:00+05:30,0.557,8.98,0.0253,23.9,35.9,,,,
2025-10-04 09:00:00+05:30,0.56,9.06,0.0255,24.2,36.3,,,,
2025-10-04 12:00:00+05:30,0.555,8.83,0.0246,23.4,35.1,,,,
2025-10-04 13:00:00+05:30,0.56,8.98,0.025,23.9,35.9,,,,
2025-10-04 14:00:00+05:30,0.563,9.04,0.025,24.1,36.2,,,,
