Local Time,CO,NO,NO2,NOX,O3,PM10,RELATIVEHUMIDITY,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,SO2
2025-02-19 02:00:00+05:30,1.11,2.3,28.1,0.0158,18.5,90.0,61.5,19.1,154.0,0.3,,
2025-02-19 03:00:00+05:30,1.09,1.98,32.0,0.0186,11.7,86.5,64.3,18.4,141.0,0.3,,
2025-02-19 04:00:00+05:30,1.09,1.8,33.3,0.0188,14.6,84.5,65.3,18.4,156.0,0.3,,
2025-02-19 05:00:00+05:30,1.07,2.1,27.5,0.0156,20.0,79.0,65.8,18.1,164.0,0.3,,
2025-02-19 06:00:00+05:30,1.04,2.2,28.5,0.0165,16.8,76.0,68.0,17.2,201.0,0.3,,
2025-02-19 07:00:00+05:30,1.03,2.78,25.2,0.0157,15.3,83.0,69.8,16.3,181.0,0.3,,
2025-02-19 08:00:00+05:30,1.06,2.6,27.4,0.0159,16.0,95.0,67.3,17.6,135.0,0.375,,
2025-02-19 09:00:00+05:30,1.08,1.85,26.2,0.0154,39.4,106.0,59.3,21.7,172.0,1.25,,
2025-02-19 10:00:00+05:30,1.08,3.1,81.6,0.0455,60.2,108.0,54.0,24.8,195.0,1.7,,
2025-02-19 11:00:00+05:30,1.09,1.08,35.8,0.0199,89.7,94.0,45.8,28.3,197.0,1.95,,
2025-02-19 12:00:00+05:30,0.93,1.78,23.8,0.0141,106.0,78.0,38.3,31.5,221.0,2.33,,
2025-02-19 13:00:00+05:30,0.883,2.93,21.6,0.0131,115.0,58.5,36.3,32.6,172.0,2.13,,
2025-02-19 14:00:00+05:30,0.803,4.0,19.3,0.0135,118.0,56.5,35.3,33.5,150.0,2.1,,
2025-02-19 15:00:00+05:30,0.725,3.1,19.3,0.0128,118.0,56.0,34.0,34.0,197.0,2.28,,
2025-02-19 16:00:00+05:30,0.688,1.93,22.4,0.0135,134.0,56.0,33.3,34.0,223.0,1.65,,
2025-02-19 17:00:00+05:30,0.638,2.5,20.4,0.0129,115.0,53.0,31.3,34.1,236.0,1.3,,
2025-02-19 18:00:00+05:30,0.608,2.85,26.0,0.0162,90.3,48.0,34.8,31.1,253.0,0.3,,
2025-02-19 19:00:00+05:30,0.675,2.2,44.2,0.0253,67.2,68.0,37.8,28.8,260.0,0.3,,
2025-02-19 20:00:00+05:30,0.76,1.73,39.9,0.0218,61.1,89.5,41.3,27.0,261.0,0.325,,
2025-02-19 21:00:00+05:30,0.845,1.88,38.7,0.0221,45.4,96.0,45.5,25.2,249.0,0.325,,
2025-02-19 22:00:00+05:30,0.96,2.85,41.7,0.0245,32.9,111.0,48.3,24.8,188.0,0.3,,
2025-02-19 23:00:00+05:30,1.05,2.55,52.8,0.0302,14.5,124.0,54.3,22.7,97.8,0.375,,
2025-02-20 00:00:00+05:30,1.07,1.37,44.7,0.0249,10.3,125.0,57.0,21.7,132.0,0.3,,
2025-02-20 01:00:00+05:30,1.1,2.45,51.6,0.0295,5.4,122.0,58.0,21.4,303.0,0.3,,
2025-02-20 02:00:00+05:30,1.16,2.47,55.2,0.0309,3.73,128.0,58.3,21.5,241.0,0.3,,
2025-02-20 03:00:00+05:30,1.23,3.07,79.8,0.044,2.73,127.0,66.5,19.4,164.0,0.3,,
2025-02-20 04:00:00+05:30,1.28,2.65,47.1,0.0272,5.1,121.0,67.5,19.6,160.0,0.425,,
2025-02-20 05:00:00+05:30,1.32,2.08,42.8,0.0244,4.05,126.0,68.0,20.0,259.0,0.325,,
