Local Time,CO,NO,NO2,NOX,PM10,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,O3,NH3
2025-02-19 02:00:00+05:30,3.6,204.0,50.1,0.192,304.0,88.0,8.55,13.4,308.0,0.3,,,
2025-02-19 03:00:00+05:30,3.46,214.0,53.5,0.202,304.0,86.8,8.3,13.2,308.0,0.3,,,
2025-02-19 04:00:00+05:30,3.5,177.0,43.1,0.167,249.0,90.8,7.55,13.1,308.0,0.3,,,
2025-02-19 05:00:00+05:30,3.3,121.0,51.2,0.126,189.0,91.0,5.1,13.1,307.0,0.3,,,
2025-02-19 06:00:00+05:30,3.04,82.0,54.5,0.0957,174.0,90.5,4.58,13.1,307.0,0.3,,,
2025-02-19 07:00:00+05:30,2.87,60.9,67.9,0.0856,158.0,87.8,4.2,13.7,302.0,0.3,,,
2025-02-19 08:00:00+05:30,2.35,45.6,64.3,0.0713,142.0,82.3,5.57,14.2,268.0,0.3,,,
2025-02-19 09:00:00+05:30,2.45,52.2,65.4,0.0773,170.0,66.0,11.8,17.2,293.0,0.725,,,
2025-02-19 10:00:00+05:30,2.25,26.1,50.1,0.0479,231.0,49.5,19.5,20.5,275.0,0.75,,,
2025-02-19 11:00:00+05:30,2.16,21.6,43.6,0.0407,171.0,44.0,18.2,22.1,263.0,0.975,,,
2025-02-19 12:00:00+05:30,2.37,16.3,33.0,0.0308,163.0,39.3,16.1,23.8,251.0,0.675,,,
2025-02-19 13:00:00+05:30,2.53,13.4,30.7,0.0272,140.0,37.0,13.7,23.8,199.0,0.825,,,
2025-02-19 14:00:00+05:30,2.37,10.7,32.4,0.0259,118.0,35.8,14.1,24.5,245.0,1.0,,,
2025-02-19 15:00:00+05:30,2.41,10.4,30.6,0.0247,99.5,33.5,13.1,24.7,246.0,0.9,,,
2025-02-19 16:00:00+05:30,2.47,9.6,35.5,0.0267,101.0,36.5,15.2,24.4,214.0,0.55,,,
2025-02-19 17:00:00+05:30,3.05,9.58,30.4,0.024,137.0,38.8,14.1,23.4,205.0,0.5,,,
2025-02-19 18:00:00+05:30,3.06,8.78,35.2,0.0258,130.0,43.3,12.5,21.5,289.0,0.3,,,
2025-02-19 19:00:00+05:30,3.02,9.4,45.3,0.0318,129.0,48.5,10.5,19.6,316.0,0.3,,,
2025-02-19 20:00:00+05:30,1.18,9.65,52.2,0.0356,172.0,52.0,9.6,19.2,88.3,0.45,,,
2025-02-19 21:00:00+05:30,1.4,11.2,61.1,0.0416,223.0,57.8,8.45,18.4,153.0,0.3,,,
2025-02-19 22:00:00+05:30,1.42,16.4,71.1,0.0512,197.0,57.8,8.18,18.5,140.0,1.13,,,
2025-02-19 23:00:00+05:30,1.51,14.7,87.1,0.0583,220.0,60.0,7.78,18.0,211.0,0.3,,,
2025-02-20 00:00:00+05:30,1.6,28.7,80.2,0.066,239.0,68.3,6.5,16.8,211.0,0.3,,,
2025-02-20 01:00:00+05:30,2.84,38.2,70.6,0.0686,244.0,71.0,6.65,16.6,176.0,0.35,,,
2025-02-20 02:00:00+05:30,2.85,55.1,76.1,0.0852,259.0,66.5,7.23,17.5,141.0,0.875,,,
2025-02-20 03:00:00+05:30,2.44,33.4,63.8,0.0611,306.0,71.5,4.8,17.1,226.0,0.7,,,
2025-02-20 04:00:00+05:30,2.61,21.3,59.3,0.0489,247.0,77.0,5.1,16.9,248.0,0.725,,,
