Local Time,CO,NO,NOX,O3,RELATIVEHUMIDITY,SO2,TEMPERATURE,WIND_DIRECTION,WIND_SPEED,PM25,PM10,NO2,NH3
2025-02-19 02:00:00+05:30,0.39,92.0,,2.1,71.0,17.0,15.2,284.0,0.5,,,,
2025-02-19 03:00:00+05:30,,82.7,,1.9,71.3,15.4,15.2,251.0,0.6,,,,
2025-02-19 04:00:00+05:30,0.908,80.7,,4.75,71.8,15.2,15.1,253.0,0.625,,,,
2025-02-19 05:00:00+05:30,0.763,45.0,,9.7,72.5,11.1,14.8,266.0,0.7,,,,
2025-02-19 06:00:00+05:30,0.663,55.7,,13.9,74.0,9.0,14.5,268.0,0.575,,,,
2025-02-19 07:00:00+05:30,0.513,29.3,,15.9,72.8,5.78,14.5,284.0,0.975,,,,
2025-02-19 08:00:00+05:30,0.745,29.9,,19.0,70.3,8.13,14.9,259.0,0.675,,,,
2025-02-19 09:00:00+05:30,1.55,54.0,,17.7,61.8,27.9,16.9,244.0,1.5,,,,
2025-02-19 10:00:00+05:30,1.42,14.9,,33.1,52.8,33.0,19.2,241.0,1.95,,,,
2025-02-19 11:00:00+05:30,0.788,12.6,,76.2,48.5,28.0,20.4,251.0,1.83,,,,
2025-02-19 12:00:00+05:30,0.413,7.28,,107.0,45.5,25.1,21.4,266.0,2.4,,,,
2025-02-19 13:00:00+05:30,0.18,5.35,,138.0,42.5,25.1,22.0,265.0,2.43,,,,
2025-02-19 14:00:00+05:30,0.0775,8.03,,164.0,41.3,23.5,22.7,267.0,2.48,,,,
2025-02-19 15:00:00+05:30,0.235,5.73,,181.0,42.0,23.8,22.3,277.0,2.4,,,,
2025-02-19 16:00:00+05:30,1.13,4.75,,182.0,43.3,25.7,22.0,297.0,2.25,,,,
2025-02-19 17:00:00+05:30,0.945,5.47,,154.0,46.0,23.2,20.6,300.0,2.08,,,,
2025-02-19 18:00:00+05:30,1.33,8.05,,90.1,47.5,21.5,19.9,313.0,2.18,,,,
2025-02-19 19:00:00+05:30,2.13,15.7,,14.2,48.8,22.0,19.1,309.0,1.75,,,,
2025-02-19 20:00:00+05:30,2.75,38.1,,6.15,51.0,25.0,18.7,316.0,1.45,,,,
2025-02-19 21:00:00+05:30,2.59,25.8,,12.4,55.3,22.6,18.2,307.0,0.55,,,,
2025-02-19 22:00:00+05:30,1.25,25.9,,27.1,55.3,19.0,18.3,257.0,1.85,,,,
2025-02-19 23:00:00+05:30,0.707,9.18,,39.1,55.8,24.3,18.3,243.0,1.58,,,,
2025-02-20 00:00:00+05:30,0.175,25.9,,20.7,59.3,20.7,17.8,255.0,0.767,,,,
2025-02-20 01:00:00+05:30,,47.2,,10.6,64.5,15.2,16.8,128.0,0.9,,,,
2025-02-20 02:00:00+05:30,0.14,42.5,,7.4,63.0,16.5,17.2,177.0,1.45,,,,
2025-02-20 03:00:00+05:30,,9.5,,,69.5,19.2,16.7,220.0,1.63,,,,
2025-02-20 04:00:00+05:30,0.988,10.8,,,78.0,15.8,15.9,190.0,1.2,,,,
2025-02-20 05:00:00+05:30,1.35,37.5,,12.4,78.8,16.9,16.0,204.0,1.5,,,,
2025-02-20 06:00:00+05:30,1.33,32.3,,14.8,78.3,14.6,15.9,165.0,1.83,,,,
2025-02-20 07:00:00+05:30,1.52,45.4,,21.8,80.0,13.0,15.7,162.0,1.6,,,,
2025-02-20 08:00:00+05:30,1.83,54.2,,26.8,78.3,13.4,15.8,189.0,1.58,,,,
2025-02-20 09:00:00+05:30,2.18,36.6,,24.0,72.0,17.2,16.4,195.0,2.38,,,,
